,Team,Home,Opponent,Victory,Wins,Losses,Ties,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts.1,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks.1,Sack Yards,Interceptions.1,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing.1,First Downs Passing.1,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards.1,Rushing Yards / Attempt.1,Rushing Touchdowns.1,Passing Yards.1,Passing Yards / Attempt.1,Yards / Reception.1,Passing Touchdowns.1,Kickoff Return Yards.1,Punt Return Yards.1,Penalty Yards.1,Turnovers Rank,Turnover +/-,Interceptions.2,Fumbles Opp Recovered.1,Interceptions.3,Fumbles Lost.1,Opponent Wins,Opponent Losses,Opponent Ties,Opponent Passing Rank,Opponent Completions,Opponent Attempts,Opponent Completion %,Opponent Passing Yards,Opponent Passing Yards / Attempt,Opponent Yards / Reception,Opponent Passing Touchdowns,Opponent Interceptions,Opponent QB Rating,Opponent Sacks,Opponent Passing Yardage Lost to Sacks,Opponent First Downs Passing,Opponent Fumbles,Opponent Fumbles Lost,Opponent Rushing Rank,Opponent Attempts.1,Opponent Rushing Yards,Opponent Rushing Yards / Attempt,Opponent Rushing Touchdowns,Opponent First Downs Rushing,Opponent Kicking Rank,Opponent Kicking Points,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Field Goal %,Opponent Longest Field Goal,Opponent Field Goals Blocked,Opponent Extra Points Made,Opponent Extra Points Attempted,Opponent Extra Point %,Opponent Extra Points Blocked,Opponent Punting Rank,Opponent Punts,Opponent Punt Yards,Opponent Punt Yards Avg,Opponent Returning Rank,Opponent Kickoff Returns,Opponent Kickoff Return Yards,Opponent Kickoff Return Avg,Opponent Kickoff Return Touchdowns,Opponent Kickoff Return Long,Opponent Punt Returns,Opponent Punt Return Yards,Opponent Punt Return Avg,Opponent Punt Return Touchdowns,Opponent Punt Return Long,Opponent Defense Rank,Opponent Points Allowed,Opponent Total Tackles,Opponent Solo Tackles,Opponent Assisted Tackles,Opponent Sacks.1,Opponent Sack Yards,Opponent Interceptions.1,Opponent Interception Return Touchdowns,Opponent Forced Fumbles,Opponent Fumbles Opp Recovered,Opponent Fumbles Opp Recovered Touchdowns,Opponent Passes Defended,Opponent Stuffs,Opponent Stuff Yards,Opponent Safeties,Opponent Downs Rank,Opponent First Downs,Opponent First Downs Rushing.1,Opponent First Downs Passing.1,Opponent Third Downs Made,Opponent Third Downs Attempted,Opponent Third Down %,Opponent Fourth Downs Made,Opponent Fourth Downs Attempted,Opponent Fourth Down %,Opponent Penalties,Opponent First Downs Penalty,Opponent Penalty Yards,Opponent Yardage Rank,Opponent Points,Opponent Yards,Opponent Rushing Yards.1,Opponent Rushing Yards / Attempt.1,Opponent Rushing Touchdowns.1,Opponent Passing Yards.1,Opponent Passing Yards / Attempt.1,Opponent Yards / Reception.1,Opponent Passing Touchdowns.1,Opponent Kickoff Return Yards.1,Opponent Punt Return Yards.1,Opponent Penalty Yards.1,Opponent Turnovers Rank,Opponent Turnover +/-,Opponent Interceptions.2,Opponent Fumbles Opp Recovered.1,Opponent Interceptions.3,Opponent Fumbles Lost.1
BAL_17_2016,BAL,0,CIN,0,8,7,0,14.0666666667,27.0666666667,41.8666666667,0.644933333333,255.8,6.16666666667,10.28,1.33333333333,0.933333333333,82.76,2.0,15.1333333333,12.7333333333,0.266666666667,0.133333333333,17.2,23.4,92.7333333333,4.0,0.6,4.8,9.46666666667,9.13333333333,2.46666666667,2.53333333333,0.983333333333,47.6666666667,0.0666666666667,1.73333333333,1.73333333333,1.0,0.0,14.2666666667,5.06666666667,232.666666667,45.2133333333,14.1333333333,1.73333333333,41.1333333333,19.9,0.0,22.9333333333,1.93333333333,13.8666666667,5.82,0.0,8.73333333333,13.1333333333,19.6,53.7333333333,37.0,16.7333333333,2.0,14.3333333333,1.2,0.0,0.933333333333,0.666666666667,0.0666666666667,4.66666666667,2.6,5.53333333333,0.0,15.8,19.6,4.8,12.7333333333,5.2,14.4666666667,0.361333333333,0.466666666667,1.06666666667,0.255333333333,8.06666666667,2.06666666667,71.3333333333,15.8,22.2,348.533333333,92.7333333333,4.0,0.6,255.8,6.16666666667,10.28,1.33333333333,41.1333333333,13.8666666667,71.3333333333,11.2666666667,0.466666666667,1.2,0.666666666667,0.933333333333,0.466666666667,5,9,1,14.7333333333,23.0666666667,35.6666666667,0.654533333333,248.266666667,7.14666666667,11.6133333333,1.13333333333,0.533333333333,91.0333333333,2.66666666667,17.0666666667,12.7333333333,0.266666666667,0.0666666666667,17.8666666667,27.2,107.733333333,3.86666666667,1.0,6.0,16.0,6.93333333333,1.73333333333,2.2,0.6722,29.6,0.0,1.73333333333,2.13333333333,0.8056,0.0,14.0666666667,4.86666666667,224.4,46.2266666667,11.6,2.53333333333,65.9333333333,24.68,0.0,29.9333333333,2.4,15.4,6.23333333333,0.0,8.13333333333,12.5333333333,20.3333333333,58.6,39.0,19.6,2.0,11.2666666667,1.0,0.0,0.4,0.2,0.0,5.2,2.46666666667,5.2,0.0666666666667,13.6666666667,21.0666666667,6.0,12.7333333333,5.4,13.4666666667,0.4,0.466666666667,0.6,0.433333333333,5.73333333333,2.33333333333,47.0666666667,17.7333333333,19.8666666667,356.0,107.733333333,3.86666666667,1.0,248.266666667,7.14666666667,11.6133333333,1.13333333333,65.9333333333,15.4,47.0666666667,13.3333333333,0.0666666666667,1.0,0.2,0.533333333333,0.6
HOU_17_2016,HOU,0,TEN,0,9,6,0,20.7333333333,21.4,35.6666666667,0.601133333333,195.533333333,5.49333333333,9.76666666667,0.933333333333,1.06666666667,71.78,1.86666666667,13.8,10.6666666667,0.2,0.0666666666667,12.4,28.9333333333,120.866666667,4.22,0.466666666667,6.4,11.6666666667,8.13333333333,2.26666666667,2.6,0.764466666667,35.6,0.0,1.33333333333,1.53333333333,0.744466666667,0.0666666666667,9.86666666667,4.6,218.733333333,47.8866666667,17.7333333333,1.86666666667,35.2,16.1,0.0,18.2666666667,2.46666666667,28.0666666667,12.3266666667,0.0666666666667,16.9333333333,12.8,20.2666666667,52.9333333333,35.8,17.1333333333,1.8,12.0666666667,0.666666666667,0.0666666666667,0.466666666667,0.4,0.0,4.4,2.6,5.53333333333,0.0666666666667,17.7333333333,19.0,6.4,10.6666666667,5.6,14.5333333333,0.378666666667,0.333333333333,1.13333333333,0.233333333333,5.4,1.93333333333,55.5333333333,19.4,17.4666666667,316.4,120.866666667,4.22,0.466666666667,195.533333333,5.49333333333,9.76666666667,0.933333333333,35.2,28.0666666667,55.5333333333,16.3333333333,-0.466666666667,0.666666666667,0.4,1.06666666667,0.466666666667,8,7,0,17.1333333333,19.4,31.8666666667,0.6112,227.2,7.39333333333,12.6733333333,1.86666666667,0.666666666667,94.32,1.6,10.8,11.0666666667,0.2,0.133333333333,10.4,29.8,138.933333333,4.56666666667,1.0,7.26666666667,15.7333333333,6.6,1.4,1.53333333333,0.833333333333,36.9333333333,0.0,2.4,2.53333333333,0.966666666667,0.0666666666667,17.2666666667,4.8,212.733333333,44.12,17.6666666667,2.0,40.3333333333,15.4333333333,0.0,17.0,1.8,13.0,7.4,0.0,7.86666666667,15.5333333333,24.0666666667,52.0666666667,39.8666666667,12.2,2.4,16.2,0.8,0.0,0.2,0.333333333333,0.0,4.6,1.93333333333,4.13333333333,0.0,14.6666666667,20.4,7.26666666667,11.0666666667,6.06666666667,13.4666666667,0.448,0.266666666667,0.733333333333,0.222,6.86666666667,2.06666666667,64.1333333333,14.7333333333,23.8,366.133333333,138.933333333,4.56666666667,1.0,227.2,7.39333333333,12.6733333333,1.86666666667,40.3333333333,13.0,64.1333333333,13.3333333333,0.0,0.8,0.333333333333,0.666666666667,0.466666666667
CAR_17_2016,CAR,0,TB,0,6,9,0,16.4666666667,19.2,35.4,0.537066666667,231.866666667,6.59333333333,13.2666666667,1.33333333333,1.06666666667,73.84,2.2,16.4666666667,12.1333333333,0.133333333333,0.133333333333,12.8666666667,28.0666666667,112.4,4.0,1.0,6.2,14.3333333333,7.8,1.93333333333,2.26666666667,0.708933333333,36.2666666667,0.0,2.0,2.2,0.9478,0.133333333333,13.6666666667,4.8,221.066666667,46.3533333333,14.1333333333,2.33333333333,50.8,20.9466666667,0.0,21.2,1.86666666667,13.4666666667,5.40666666667,0.0,6.46666666667,16.2,25.6666666667,59.3333333333,38.7333333333,20.6,2.93333333333,17.0666666667,1.06666666667,0.0666666666667,1.13333333333,0.6,0.133333333333,4.26666666667,2.93333333333,6.93333333333,0.0666666666667,15.6666666667,20.0,6.2,12.1333333333,5.26666666667,13.8666666667,0.37,0.6,1.0,0.416666666667,6.26666666667,1.66666666667,53.6666666667,14.6666666667,23.5333333333,344.266666667,112.4,4.0,1.0,231.866666667,6.59333333333,13.2666666667,1.33333333333,50.8,13.4666666667,53.6666666667,13.6666666667,-0.0666666666667,1.06666666667,0.6,1.06666666667,0.666666666667,8,7,0,15.0666666667,22.3333333333,36.2,0.621333333333,249.2,7.02666666667,11.96,1.86666666667,1.13333333333,87.58,2.13333333333,15.0,13.9333333333,0.333333333333,0.266666666667,17.2,28.5333333333,100.266666667,3.48,0.533333333333,4.86666666667,16.9333333333,6.2,1.4,1.86666666667,0.5956,25.0666666667,0.0,2.0,2.13333333333,0.8778,0.0,15.0666666667,4.33333333333,199.066666667,45.8266666667,23.0666666667,1.4,20.4666666667,10.24,0.0,10.5333333333,1.8,17.2666666667,7.42666666667,0.0,8.93333333333,15.4,23.5333333333,54.6666666667,43.4666666667,11.2,2.33333333333,13.6,0.933333333333,0.2,1.06666666667,0.8,0.0,5.06666666667,2.26666666667,5.0,0.0666666666667,12.4666666667,21.4666666667,4.86666666667,13.9333333333,6.0,13.4666666667,0.437333333333,0.266666666667,0.6,0.166666666667,6.93333333333,2.66666666667,59.7333333333,14.8666666667,22.4666666667,349.466666667,100.266666667,3.48,0.533333333333,249.2,7.02666666667,11.96,1.86666666667,20.4666666667,17.2666666667,59.7333333333,12.9333333333,0.0666666666667,0.933333333333,0.8,1.13333333333,0.533333333333
CLE_17_2016,CLE,0,PIT,0,1,14,0,19.9333333333,20.6,35.1333333333,0.586,203.866666667,5.72,11.2266666667,0.866666666667,0.866666666667,72.0533333333,4.13333333333,26.8666666667,11.2,0.466666666667,0.333333333333,16.4,21.1333333333,98.7333333333,4.40666666667,0.8,4.73333333333,18.2666666667,5.33333333333,1.33333333333,1.66666666667,0.733333333333,29.8,0.0,1.33333333333,1.46666666667,0.911133333333,0.0666666666667,15.8,5.26666666667,238.066666667,45.7,19.2666666667,2.13333333333,38.2666666667,15.98,0.0,15.8,1.8,11.6,5.06666666667,0.0,6.4,21.6,28.3333333333,59.9333333333,39.4,20.5333333333,1.46666666667,9.53333333333,0.6,0.0666666666667,0.4,0.2,0.0,4.13333333333,1.8,3.4,0.0,18.2666666667,17.9333333333,4.73333333333,11.2,4.6,13.1333333333,0.338666666667,0.866666666667,1.2,0.5,6.0,2.0,46.6,22.0666666667,16.0,302.6,98.7333333333,4.40666666667,0.8,203.866666667,5.72,11.2266666667,0.866666666667,38.2666666667,11.6,46.6,16.6666666667,-0.6,0.6,0.2,0.866666666667,0.533333333333,10,5,0,13.0,23.8,37.2666666667,0.641,263.933333333,7.27333333333,11.7,2.0,0.933333333333,92.3266666667,1.13333333333,9.4,13.0,0.4,0.133333333333,14.0666666667,25.4,112.733333333,4.34666666667,0.8,6.13333333333,15.2,7.06666666667,1.6,1.86666666667,0.651133333333,31.2,0.0666666666667,2.26666666667,2.26666666667,0.8,0.0,14.9333333333,4.06666666667,182.133333333,45.5333333333,13.4,1.66666666667,37.2666666667,17.7533333333,0.0,18.4666666667,1.26666666667,11.3333333333,5.61333333333,0.0,7.53333333333,13.0,20.2,56.2,39.6666666667,16.5333333333,2.26666666667,15.5333333333,0.8,0.0,0.866666666667,0.466666666667,0.0666666666667,5.0,2.53333333333,5.46666666667,0.0666666666667,14.2,21.0,6.13333333333,13.0,5.33333333333,12.5333333333,0.430666666667,0.466666666667,0.933333333333,0.333333333333,6.93333333333,1.86666666667,68.3333333333,12.4666666667,24.8,376.666666667,112.733333333,4.34666666667,0.8,263.933333333,7.27333333333,11.7,2.0,37.2666666667,11.3333333333,68.3333333333,11.9333333333,0.133333333333,0.8,0.466666666667,0.933333333333,0.2
DAL_17_2016,DAL,0,PHI,0,13,2,0,16.6,20.6,30.2666666667,0.6934,233.666666667,7.96,12.0133333333,1.6,0.266666666667,106.913333333,1.66666666667,9.53333333333,12.1333333333,0.4,0.266666666667,6.33333333333,31.8666666667,155.133333333,4.88,1.6,9.2,11.8666666667,8.0,1.66666666667,2.0,0.644466666667,30.6,0.0,3.0,3.0,1.0,0.0,14.7333333333,3.6,164.4,45.38,14.3333333333,1.4,29.8,17.88,0.0,18.7333333333,1.66666666667,11.6666666667,5.93333333333,0.0,8.46666666667,10.1333333333,18.6,57.7333333333,39.6666666667,18.0666666667,2.26666666667,13.0666666667,0.6,0.0,1.2,0.733333333333,0.0,4.06666666667,3.0,6.53333333333,0.0,9.93333333333,22.8666666667,9.2,12.1333333333,5.0,11.8,0.425333333333,0.533333333333,0.6,0.366666666667,6.66666666667,1.53333333333,56.2666666667,10.6666666667,27.2,388.8,155.133333333,4.88,1.6,233.666666667,7.96,12.0133333333,1.6,29.8,11.6666666667,56.2666666667,10.4,0.466666666667,0.6,0.733333333333,0.266666666667,0.6,6,9,0,18.6666666667,23.5333333333,37.7333333333,0.622466666667,223.533333333,6.05333333333,10.42,0.933333333333,0.933333333333,78.0533333333,2.06666666667,13.3333333333,11.8666666667,0.733333333333,0.2,13.7333333333,27.2,113.266666667,4.13333333333,1.0,7.06666666667,11.0,8.4,2.2,2.53333333333,0.801133333333,38.2666666667,0.0666666666667,1.8,1.86666666667,0.911133333333,0.0,15.0666666667,3.93333333333,179.2,44.8666666667,10.7333333333,2.2,61.3333333333,28.9066666667,0.133333333333,21.7333333333,1.26666666667,16.4,8.20666666667,0.0,11.6666666667,14.6,21.2,51.9333333333,36.6,15.3333333333,2.06666666667,12.1333333333,0.933333333333,0.2,0.933333333333,0.666666666667,0.0,4.8,3.4,9.53333333333,0.0666666666667,13.4666666667,20.6,7.06666666667,11.8666666667,5.26666666667,14.0,0.373333333333,0.866666666667,1.73333333333,0.345333333333,7.26666666667,1.66666666667,58.9333333333,14.9333333333,22.6666666667,336.8,113.266666667,4.13333333333,1.0,223.533333333,6.05333333333,10.42,0.933333333333,61.3333333333,16.4,58.9333333333,11.8,0.266666666667,0.933333333333,0.666666666667,0.933333333333,0.4
BUF_17_2016,BUF,0,NYJ,0,7,8,0,21.6,18.0666666667,29.5333333333,0.6124,191.6,6.46666666667,11.42,1.13333333333,0.4,87.6866666667,2.86666666667,12.9333333333,9.86666666667,0.0666666666667,0.0666666666667,8.33333333333,30.9333333333,170.8,5.32666666667,1.86666666667,9.26666666667,16.6666666667,6.2,1.2,1.6,0.6722,27.8,0.0,2.6,2.93333333333,0.9056,0.0666666666667,21.3333333333,4.6,195.266666667,42.2066666667,16.2666666667,2.4,49.8666666667,17.56,0.0,19.4666666667,1.73333333333,19.3333333333,11.1333333333,0.0,16.6,15.6,23.2,60.5333333333,41.1333333333,19.4,2.53333333333,16.3333333333,0.8,0.0666666666667,0.733333333333,0.4,0.133333333333,4.73333333333,2.2,4.6,0.0,15.0666666667,20.9333333333,9.26666666667,9.86666666667,5.33333333333,12.9333333333,0.399333333333,0.533333333333,0.933333333333,0.3,7.46666666667,1.8,64.0,12.7333333333,25.9333333333,362.4,170.8,5.32666666667,1.86666666667,191.6,6.46666666667,11.42,1.13333333333,49.8666666667,19.3333333333,64.0,10.6666666667,0.6,0.8,0.4,0.4,0.2,4,11,0,18.7333333333,19.4,34.6666666667,0.5596,217.6,6.39333333333,12.16,0.933333333333,1.66666666667,67.7533333333,2.26666666667,11.4,10.3333333333,0.533333333333,0.133333333333,14.6666666667,25.8666666667,111.666666667,4.22666666667,0.666666666667,6.0,17.2,6.2,1.6,1.86666666667,0.816666666667,34.6666666667,0.2,1.4,1.53333333333,0.633333333333,0.0,20.6,4.73333333333,200.333333333,42.3666666667,13.2,2.8,60.6,20.6866666667,0.0,23.8,1.46666666667,8.33333333333,3.84666666667,0.0,5.4,18.6,26.6,54.6666666667,36.2666666667,18.4,1.6,10.6,0.466666666667,0.0,0.8,0.266666666667,0.0,3.0,3.13333333333,7.2,0.0,18.6666666667,18.2,6.0,10.3333333333,4.8,13.1333333333,0.354,0.533333333333,1.13333333333,0.344666666667,6.06666666667,1.86666666667,54.8,20.1333333333,16.3333333333,329.266666667,111.666666667,4.22666666667,0.666666666667,217.6,6.39333333333,12.16,0.933333333333,60.6,8.33333333333,54.8,19.4,-1.53333333333,0.466666666667,0.266666666667,1.66666666667,0.6
CHI_17_2016,CHI,0,MIN,0,3,12,0,14.1333333333,22.2666666667,35.9333333333,0.6152,255.266666667,7.19333333333,12.3333333333,1.2,1.13333333333,81.0333333333,1.73333333333,10.7333333333,13.5333333333,0.466666666667,0.266666666667,15.7333333333,22.8666666667,103.466666667,4.63333333333,0.666666666667,5.53333333333,18.9333333333,5.4,1.13333333333,1.46666666667,0.65,27.7333333333,0.0666666666667,2.0,2.06666666667,0.966666666667,0.0,17.5333333333,4.33333333333,190.066666667,44.3933333333,14.8,2.6,52.6666666667,18.5266666667,0.0,21.9333333333,1.73333333333,14.3333333333,8.24,0.0666666666667,9.33333333333,16.9333333333,24.0666666667,55.6666666667,43.0,12.6666666667,2.46666666667,15.3333333333,0.466666666667,0.0666666666667,0.733333333333,0.2,0.0666666666667,4.33333333333,2.2,4.06666666667,0.0666666666667,14.8666666667,20.3333333333,5.53333333333,13.5333333333,4.53333333333,11.7333333333,0.374666666667,0.2,0.8,0.155333333333,6.93333333333,1.26666666667,61.2,19.7333333333,17.9333333333,358.733333333,103.466666667,4.63333333333,0.666666666667,255.266666667,7.19333333333,12.3333333333,1.2,52.6666666667,14.3333333333,61.2,18.0,-1.06666666667,0.466666666667,0.2,1.13333333333,0.6,7,8,0,15.3333333333,25.9333333333,36.9333333333,0.7008,239.066666667,6.54,10.12,1.13333333333,0.266666666667,94.94,2.53333333333,18.8666666667,12.9333333333,0.6,0.333333333333,22.7333333333,23.4666666667,72.0666666667,3.19333333333,0.533333333333,4.06666666667,15.4,6.6,1.73333333333,2.0,0.844466666667,35.2666666667,0.0666666666667,1.4,1.86666666667,0.6278,0.0666666666667,18.1333333333,4.8,206.066666667,43.3066666667,11.8666666667,2.13333333333,57.8,29.32,0.0666666666667,31.5333333333,2.13333333333,20.6,7.87333333333,0.133333333333,11.8,12.0,19.8,54.8,36.9333333333,17.8666666667,2.6,20.0666666667,0.8,0.133333333333,0.8,0.666666666667,0.0666666666667,3.66666666667,1.46666666667,3.0,0.0666666666667,17.8,18.8,4.06666666667,12.9333333333,5.0,13.4,0.362666666667,0.533333333333,1.13333333333,0.222,6.73333333333,1.8,57.8,17.4666666667,19.2666666667,311.133333333,72.0666666667,3.19333333333,0.533333333333,239.066666667,6.54,10.12,1.13333333333,57.8,20.6,57.8,10.7333333333,0.466666666667,0.8,0.666666666667,0.266666666667,0.733333333333
JAX_17_2016,JAX,0,IND,0,3,12,0,16.6666666667,22.9333333333,39.1333333333,0.5806,229.333333333,5.82,10.4866666667,1.53333333333,1.06666666667,76.4933333333,2.13333333333,12.2666666667,12.8,0.266666666667,0.2,18.6,24.1333333333,96.6,4.05333333333,0.466666666667,4.53333333333,14.6,6.8,1.66666666667,2.0,0.673333333333,35.7333333333,0.133333333333,1.8,2.0,0.933333333333,0.0,13.5333333333,4.86666666667,226.733333333,46.98,12.5333333333,2.33333333333,56.1333333333,23.36,0.0666666666667,26.6,2.53333333333,14.8,5.56666666667,0.0,9.93333333333,17.9333333333,25.0666666667,53.2,42.8666666667,10.3333333333,1.93333333333,10.1333333333,0.4,0.0666666666667,0.666666666667,0.333333333333,0.0,3.13333333333,3.26666666667,6.53333333333,0.0,15.5333333333,19.8666666667,4.53333333333,12.8,4.93333333333,13.8,0.346,0.466666666667,1.06666666667,0.25,8.06666666667,2.53333333333,74.9333333333,18.0,19.8666666667,325.933333333,96.6,4.05333333333,0.466666666667,229.333333333,5.82,10.4866666667,1.53333333333,56.1333333333,14.8,74.9333333333,19.0,-1.06666666667,0.4,0.333333333333,1.06666666667,0.733333333333,7,8,0,13.1333333333,23.0666666667,36.2,0.640933333333,260.8,7.36,12.22,2.0,0.933333333333,93.6066666667,2.66666666667,17.2,13.4666666667,0.266666666667,0.2,16.1333333333,25.8,102.266666667,4.05333333333,0.8,5.93333333333,12.6,7.93333333333,1.73333333333,1.93333333333,0.8,38.3333333333,0.0,2.73333333333,2.73333333333,1.0,0.0,11.4,3.4,167.2,48.6933333333,12.2,2.13333333333,53.6,24.82,0.0666666666667,29.2,1.46666666667,12.1333333333,8.06666666667,0.0,9.33333333333,17.2666666667,24.8,54.0,40.3333333333,13.6666666667,2.06666666667,13.2,0.533333333333,0.0,0.866666666667,0.466666666667,0.0666666666667,3.66666666667,1.73333333333,3.2,0.0,12.4666666667,21.8,5.93333333333,13.4666666667,5.66666666667,12.8,0.434,0.466666666667,1.13333333333,0.333333333333,6.53333333333,2.4,56.5333333333,12.0666666667,25.8,363.066666667,102.266666667,4.05333333333,0.8,260.8,7.36,12.22,2.0,53.6,12.1333333333,56.5333333333,15.6,-0.333333333333,0.533333333333,0.466666666667,0.933333333333,0.4
NE_17_2016,NE,0,MIA,1,13,2,0,12.4666666667,22.8666666667,34.4,0.663133333333,268.8,7.78,12.1866666667,1.93333333333,0.133333333333,106.026666667,1.6,9.86666666667,12.7333333333,0.4,0.0666666666667,12.6,30.2,116.8,3.87333333333,1.2,6.73333333333,12.3333333333,7.86666666667,1.66666666667,1.93333333333,0.716666666667,31.4,0.0,2.86666666667,3.06666666667,0.883333333333,0.0,16.6,4.6,204.733333333,44.26,15.4666666667,1.8,34.3333333333,17.9,0.0,16.5333333333,2.93333333333,20.6,7.30666666667,0.0,9.33333333333,9.2,15.7333333333,56.6,35.0,21.6,2.26666666667,15.1333333333,0.8,0.0,0.933333333333,0.6,0.0,4.46666666667,1.73333333333,4.0,0.2,11.4,21.9333333333,6.73333333333,12.7333333333,6.46666666667,14.3333333333,0.449333333333,0.533333333333,0.8,0.378,5.73333333333,2.46666666667,50.3333333333,9.8,27.0666666667,385.6,116.8,3.87333333333,1.2,268.8,7.78,12.1866666667,1.93333333333,34.3333333333,20.6,50.3333333333,10.8666666667,0.666666666667,0.8,0.6,0.133333333333,0.6,10,5,0,18.6,19.4666666667,29.5333333333,0.655533333333,219.666666667,7.67333333333,12.6,1.66666666667,0.933333333333,93.5333333333,2.0,14.4,10.2666666667,0.333333333333,0.133333333333,16.5333333333,25.4666666667,116.6,4.38666666667,0.933333333333,5.8,17.8,5.8,1.06666666667,1.4,0.651133333333,23.6666666667,0.133333333333,2.6,2.66666666667,0.92,0.0,17.5333333333,5.66666666667,252.333333333,44.0533333333,12.1333333333,2.2,55.9333333333,23.1333333333,0.0666666666667,30.7333333333,2.26666666667,20.9333333333,8.72666666667,0.0666666666667,12.8,14.7333333333,23.0,62.4666666667,39.9333333333,22.5333333333,2.2,15.0666666667,1.06666666667,0.0666666666667,1.06666666667,0.6,0.0,4.8,3.13333333333,8.0,0.0,18.6666666667,17.4666666667,5.8,10.2666666667,4.13333333333,11.7333333333,0.351333333333,0.0,0.266666666667,0.0,7.73333333333,1.4,71.2,13.5333333333,23.2666666667,336.266666667,116.6,4.38666666667,0.933333333333,219.666666667,7.67333333333,12.6,1.66666666667,55.9333333333,20.9333333333,71.2,12.5333333333,0.266666666667,1.06666666667,0.6,0.933333333333,0.466666666667
KC_17_2016,KC,0,SD,1,11,4,0,17.2,22.9333333333,34.5333333333,0.6742,231.866666667,7.01333333333,10.8133333333,1.13333333333,0.466666666667,92.14,2.06666666667,11.4666666667,12.0,0.333333333333,0.2,15.9333333333,25.4,109.666666667,4.30666666667,0.933333333333,5.4,13.3333333333,7.73333333333,1.86666666667,2.13333333333,0.738933333333,32.4,0.0,2.13333333333,2.33333333333,0.811133333333,0.0666666666667,16.0666666667,5.0,225.533333333,44.7266666667,14.0666666667,2.53333333333,58.8,21.5866666667,0.0666666666667,24.6666666667,2.6,33.1333333333,13.7266666667,0.0666666666667,22.8,11.4666666667,18.9333333333,53.4666666667,42.6,10.8666666667,1.86666666667,10.8,1.06666666667,0.266666666667,1.06666666667,1.0,0.0666666666667,6.53333333333,2.4,4.66666666667,0.0666666666667,17.4,18.6,5.4,12.0,4.86666666667,13.4,0.361333333333,0.666666666667,0.933333333333,0.411333333333,7.0,1.2,55.2666666667,14.5333333333,23.4666666667,341.533333333,109.666666667,4.30666666667,0.933333333333,231.866666667,7.01333333333,10.8133333333,1.13333333333,58.8,33.1333333333,55.2666666667,10.5333333333,1.0,1.06666666667,1.0,0.466666666667,0.6,5,10,0,12.8666666667,21.8,36.1333333333,0.6136,261.933333333,7.35333333333,12.6466666667,2.06666666667,1.26666666667,89.28,2.4,12.5333333333,13.2,0.466666666667,0.333333333333,19.0,24.8,92.0666666667,3.51333333333,0.666666666667,5.46666666667,13.9333333333,7.4,1.6,2.0,0.733333333333,29.9333333333,0.0666666666667,2.6,2.86666666667,0.886666666667,0.2,15.1333333333,3.86666666667,178.8,44.1533333333,19.4666666667,1.6,28.0666666667,13.2866666667,0.0,14.5333333333,2.13333333333,14.1333333333,6.12666666667,0.0,9.2,17.9333333333,25.7333333333,55.4,42.2,13.2,2.26666666667,15.2,1.13333333333,0.133333333333,0.933333333333,0.666666666667,0.133333333333,5.6,3.46666666667,8.4,0.0666666666667,14.8666666667,20.9333333333,5.46666666667,13.2,5.46666666667,12.6666666667,0.425333333333,0.266666666667,0.666666666667,0.2,6.46666666667,2.26666666667,48.6666666667,13.4,25.5333333333,354.0,92.0666666667,3.51333333333,0.666666666667,261.933333333,7.35333333333,12.6466666667,2.06666666667,28.0666666667,14.1333333333,48.6666666667,14.8666666667,-0.4,1.13333333333,0.666666666667,1.26666666667,0.933333333333
