,Team,Home,Opponent,Victory,Wins,Losses,Ties,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts.1,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks.1,Sack Yards,Interceptions.1,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing.1,First Downs Passing.1,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards.1,Rushing Yards / Attempt.1,Rushing Touchdowns.1,Passing Yards.1,Passing Yards / Attempt.1,Yards / Reception.1,Passing Touchdowns.1,Kickoff Return Yards.1,Punt Return Yards.1,Penalty Yards.1,Turnovers Rank,Turnover +/-,Interceptions.2,Fumbles Opp Recovered.1,Interceptions.3,Fumbles Lost.1,Opponent Wins,Opponent Losses,Opponent Ties,Opponent Passing Rank,Opponent Completions,Opponent Attempts,Opponent Completion %,Opponent Passing Yards,Opponent Passing Yards / Attempt,Opponent Yards / Reception,Opponent Passing Touchdowns,Opponent Interceptions,Opponent QB Rating,Opponent Sacks,Opponent Passing Yardage Lost to Sacks,Opponent First Downs Passing,Opponent Fumbles,Opponent Fumbles Lost,Opponent Rushing Rank,Opponent Attempts.1,Opponent Rushing Yards,Opponent Rushing Yards / Attempt,Opponent Rushing Touchdowns,Opponent First Downs Rushing,Opponent Kicking Rank,Opponent Kicking Points,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Field Goal %,Opponent Longest Field Goal,Opponent Field Goals Blocked,Opponent Extra Points Made,Opponent Extra Points Attempted,Opponent Extra Point %,Opponent Extra Points Blocked,Opponent Punting Rank,Opponent Punts,Opponent Punt Yards,Opponent Punt Yards Avg,Opponent Returning Rank,Opponent Kickoff Returns,Opponent Kickoff Return Yards,Opponent Kickoff Return Avg,Opponent Kickoff Return Touchdowns,Opponent Kickoff Return Long,Opponent Punt Returns,Opponent Punt Return Yards,Opponent Punt Return Avg,Opponent Punt Return Touchdowns,Opponent Punt Return Long,Opponent Defense Rank,Opponent Points Allowed,Opponent Total Tackles,Opponent Solo Tackles,Opponent Assisted Tackles,Opponent Sacks.1,Opponent Sack Yards,Opponent Interceptions.1,Opponent Interception Return Touchdowns,Opponent Forced Fumbles,Opponent Fumbles Opp Recovered,Opponent Fumbles Opp Recovered Touchdowns,Opponent Passes Defended,Opponent Stuffs,Opponent Stuff Yards,Opponent Safeties,Opponent Downs Rank,Opponent First Downs,Opponent First Downs Rushing.1,Opponent First Downs Passing.1,Opponent Third Downs Made,Opponent Third Downs Attempted,Opponent Third Down %,Opponent Fourth Downs Made,Opponent Fourth Downs Attempted,Opponent Fourth Down %,Opponent Penalties,Opponent First Downs Penalty,Opponent Penalty Yards,Opponent Yardage Rank,Opponent Points,Opponent Yards,Opponent Rushing Yards.1,Opponent Rushing Yards / Attempt.1,Opponent Rushing Touchdowns.1,Opponent Passing Yards.1,Opponent Passing Yards / Attempt.1,Opponent Yards / Reception.1,Opponent Passing Touchdowns.1,Opponent Kickoff Return Yards.1,Opponent Punt Return Yards.1,Opponent Penalty Yards.1,Opponent Turnovers Rank,Opponent Turnover +/-,Opponent Interceptions.2,Opponent Fumbles Opp Recovered.1,Opponent Interceptions.3,Opponent Fumbles Lost.1
NYJ_2_2016,NYJ,0,BUF,1,0,1,0,24.0,19.0,35.0,0.543,188.0,5.4,9.9,2.0,1.0,76.8,1.0,1.0,11.0,0.0,0.0,4.0,30.0,152.0,5.1,0.0,8.0,7.0,10.0,3.0,4.0,0.75,45.0,1.0,1.0,2.0,0.5,0.0,6.0,3.0,154.0,51.3,2.0,3.0,110.0,36.7,0.0,65.0,2.0,11.0,5.5,0.0,8.0,16.0,23.0,50.0,33.0,17.0,7.0,42.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,0.0,11.0,22.0,8.0,11.0,4.0,12.0,0.33,0.0,0.0,0.0,7.0,3.0,95.0,18.0,22.0,340.0,152.0,5.1,0.0,188.0,5.4,9.9,2.0,110.0,11.0,95.0,14.0,0.0,1.0,0.0,1.0,0.0,0,1,0,32.0,15.0,22.0,0.682,95.0,4.3,7.4,0.0,0.0,76.9,2.0,16.0,5.0,0.0,0.0,24.0,24.0,65.0,2.7,1.0,5.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,21.0,7.0,313.0,44.7,24.0,1.0,13.0,13.0,0.0,13.0,1.0,21.0,21.0,0.0,21.0,6.0,13.0,57.0,37.0,20.0,4.0,33.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,30.0,11.0,5.0,5.0,3.0,13.0,0.23,2.0,2.0,1.0,8.0,1.0,89.0,31.0,7.0,160.0,65.0,2.7,1.0,95.0,4.3,7.4,0.0,13.0,21.0,89.0,5.0,1.0,0.0,1.0,0.0,0.0
SF_2_2016,SF,0,CAR,0,1,0,0,27.0,22.0,35.0,0.629,170.0,4.9,7.7,1.0,0.0,84.2,0.0,0.0,10.0,0.0,0.0,5.0,42.0,150.0,3.6,3.0,11.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,20.0,7.0,319.0,45.6,28.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.5,0.0,7.0,1.0,0.0,46.0,35.0,11.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,1.0,28.0,11.0,10.0,8.0,17.0,0.47,1.0,2.0,0.5,2.0,7.0,10.0,9.0,28.0,320.0,150.0,3.6,3.0,170.0,4.9,7.7,1.0,0.0,11.0,10.0,5.0,1.0,2.0,0.0,0.0,1.0,0,1,0,26.0,18.0,33.0,0.545,176.0,5.3,10.8,1.0,1.0,67.2,3.0,18.0,12.0,0.0,0.0,2.0,32.0,157.0,4.9,1.0,8.0,16.0,8.0,2.0,3.0,0.667,44.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,252.0,63.0,27.0,1.0,9.0,9.0,0.0,9.0,2.0,12.0,6.0,0.0,8.0,13.0,21.0,43.0,41.0,2.0,2.0,19.0,2.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,12.0,21.0,8.0,12.0,9.0,15.0,0.6,0.0,0.0,0.0,8.0,1.0,85.0,21.0,20.0,333.0,157.0,4.9,1.0,176.0,5.3,10.8,1.0,9.0,12.0,85.0,2.0,2.0,2.0,1.0,1.0,0.0
DAL_2_2016,DAL,0,WSH,1,0,1,0,19.0,25.0,45.0,0.556,227.0,5.0,9.1,0.0,0.0,69.4,0.0,0.0,13.0,0.0,0.0,15.0,30.0,101.0,3.4,1.0,10.0,1.0,13.0,4.0,4.0,1.0,56.0,0.0,1.0,1.0,1.0,0.0,11.0,3.0,147.0,49.0,14.0,1.0,21.0,21.0,0.0,21.0,2.0,16.0,8.0,0.0,9.0,11.0,20.0,56.0,30.0,26.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,6.0,0.0,8.0,24.0,10.0,13.0,10.0,17.0,0.59,0.0,0.0,0.0,6.0,1.0,50.0,23.0,19.0,328.0,101.0,3.4,1.0,227.0,5.0,9.1,0.0,21.0,16.0,50.0,5.0,1.0,1.0,0.0,0.0,0.0,0,1,0,5.0,30.0,43.0,0.698,329.0,7.7,11.0,0.0,2.0,72.7,0.0,0.0,14.0,0.0,0.0,30.0,12.0,55.0,4.6,1.0,3.0,7.0,10.0,3.0,3.0,1.0,40.0,0.0,1.0,1.0,1.0,0.0,32.0,1.0,27.0,27.0,4.0,1.0,29.0,29.0,0.0,29.0,1.0,17.0,17.0,0.0,17.0,31.0,38.0,76.0,41.0,35.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,21.0,18.0,3.0,14.0,3.0,10.0,0.3,0.0,2.0,0.0,9.0,1.0,55.0,24.0,16.0,384.0,55.0,4.6,1.0,329.0,7.7,11.0,0.0,29.0,17.0,55.0,20.0,-1.0,1.0,0.0,2.0,0.0
CIN_2_2016,CIN,0,PIT,0,1,0,0,6.0,23.0,30.0,0.767,324.0,10.8,15.9,1.0,1.0,108.2,7.0,42.0,11.0,0.0,0.0,29.0,19.0,57.0,3.0,1.0,5.0,3.0,11.0,3.0,4.0,0.75,47.0,0.0,2.0,2.0,1.0,0.0,14.0,3.0,144.0,48.0,20.0,3.0,50.0,16.7,0.0,19.0,2.0,21.0,10.5,0.0,15.0,15.0,22.0,62.0,34.0,28.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,21.0,18.0,5.0,11.0,3.0,11.0,0.27,0.0,0.0,0.0,5.0,2.0,44.0,14.0,23.0,381.0,57.0,3.0,1.0,324.0,10.8,15.9,1.0,50.0,21.0,44.0,14.0,0.0,1.0,0.0,1.0,0.0,1,0,0,10.0,27.0,37.0,0.73,290.0,7.8,11.1,3.0,1.0,111.3,1.0,10.0,14.0,2.0,0.0,7.0,30.0,147.0,4.9,2.0,9.0,16.0,8.0,1.0,1.0,1.0,46.0,0.0,5.0,5.0,1.0,0.0,4.0,2.0,107.0,53.5,18.0,1.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,55.0,30.0,25.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,5.0,0.0,9.0,23.0,9.0,14.0,9.0,14.0,0.64,2.0,2.0,1.0,4.0,0.0,81.0,2.0,38.0,437.0,147.0,4.9,2.0,290.0,7.8,11.1,3.0,18.0,0.0,81.0,5.0,1.0,2.0,0.0,1.0,0.0
NO_2_2016,NO,0,NYG,0,0,1,0,1.0,28.0,42.0,0.667,419.0,10.0,15.1,4.0,0.0,131.0,1.0,4.0,16.0,1.0,1.0,19.0,22.0,88.0,4.0,0.0,7.0,7.0,10.0,2.0,4.0,0.5,42.0,0.0,4.0,4.0,1.0,0.0,15.0,2.0,95.0,47.5,19.0,5.0,86.0,17.2,0.0,26.0,2.0,11.0,5.5,0.0,6.0,29.0,35.0,53.0,37.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,11.0,0.0,3.0,27.0,7.0,16.0,4.0,11.0,0.36,1.0,1.0,1.0,7.0,4.0,53.0,5.0,34.0,507.0,88.0,4.0,0.0,419.0,10.0,15.1,4.0,86.0,11.0,53.0,20.0,-1.0,0.0,0.0,0.0,1.0,1,0,0,22.0,19.0,28.0,0.679,203.0,7.3,10.9,3.0,1.0,109.7,2.0,4.0,11.0,1.0,0.0,12.0,24.0,113.0,4.7,0.0,6.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,5.0,5.0,257.0,51.4,11.0,2.0,46.0,23.0,0.0,29.0,1.0,17.0,17.0,0.0,17.0,10.0,19.0,66.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,21.0,18.0,6.0,11.0,5.0,10.0,0.5,0.0,0.0,0.0,4.0,1.0,40.0,21.0,20.0,316.0,113.0,4.7,0.0,203.0,7.3,10.9,3.0,46.0,17.0,40.0,20.0,-1.0,0.0,0.0,1.0,0.0
MIA_2_2016,MIA,0,NE,0,0,1,0,30.0,16.0,29.0,0.552,150.0,5.2,11.6,0.0,0.0,69.6,5.0,36.0,7.0,1.0,0.0,27.0,20.0,64.0,3.2,1.0,3.0,23.0,4.0,1.0,2.0,0.5,41.0,1.0,1.0,1.0,1.0,0.0,16.0,7.0,327.0,46.7,6.0,3.0,84.0,28.0,0.0,45.0,4.0,32.0,8.0,0.0,16.0,5.0,12.0,85.0,33.0,52.0,3.0,18.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,7.0,0.0,30.0,11.0,3.0,7.0,3.0,14.0,0.21,0.0,1.0,0.0,4.0,1.0,40.0,29.0,10.0,214.0,64.0,3.2,1.0,150.0,5.2,11.6,0.0,84.0,32.0,40.0,2.0,2.0,1.0,1.0,0.0,0.0,1,0,0,13.0,24.0,33.0,0.727,257.0,7.8,11.0,1.0,0.0,105.2,2.0,7.0,11.0,1.0,1.0,14.0,31.0,106.0,3.4,1.0,7.0,3.0,11.0,3.0,3.0,1.0,53.0,0.0,2.0,2.0,1.0,0.0,22.0,2.0,89.0,44.5,7.0,1.0,26.0,26.0,0.0,26.0,2.0,18.0,9.0,0.0,10.0,13.0,21.0,47.0,37.0,10.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,18.0,19.0,7.0,11.0,10.0,16.0,0.63,0.0,0.0,0.0,8.0,1.0,69.0,14.0,23.0,363.0,106.0,3.4,1.0,257.0,7.8,11.0,1.0,26.0,18.0,69.0,29.0,-2.0,0.0,0.0,0.0,2.0
KC_2_2016,KC,0,HOU,0,1,0,0,4.0,34.0,48.0,0.708,330.0,6.9,10.7,2.0,1.0,95.0,3.0,33.0,19.0,0.0,0.0,20.0,19.0,83.0,4.4,2.0,6.0,11.0,9.0,2.0,2.0,1.0,47.0,0.0,3.0,3.0,1.0,0.0,27.0,5.0,197.0,39.4,28.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,8.8,0.0,14.0,22.0,27.0,56.0,52.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,26.0,6.0,19.0,5.0,14.0,0.36,2.0,2.0,1.0,6.0,1.0,46.0,6.0,33.0,413.0,83.0,4.4,2.0,330.0,6.9,10.7,2.0,0.0,35.0,46.0,20.0,-1.0,0.0,0.0,1.0,0.0,1,0,0,21.0,22.0,35.0,0.629,215.0,6.1,10.5,2.0,1.0,87.2,2.0,16.0,12.0,0.0,0.0,9.0,35.0,129.0,3.7,0.0,5.0,3.0,11.0,3.0,3.0,1.0,38.0,0.0,2.0,2.0,1.0,0.0,13.0,5.0,243.0,48.6,9.0,3.0,73.0,24.3,0.0,28.0,3.0,29.0,9.7,0.0,13.0,7.0,14.0,49.0,36.0,13.0,5.0,31.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,26.0,17.0,5.0,12.0,12.0,20.0,0.6,0.0,0.0,0.0,6.0,0.0,69.0,14.0,23.0,344.0,129.0,3.7,0.0,215.0,6.1,10.5,2.0,73.0,29.0,69.0,14.0,0.0,1.0,0.0,1.0,0.0
TEN_2_2016,TEN,0,DET,1,0,1,0,14.0,25.0,41.0,0.61,252.0,6.1,10.8,2.0,1.0,84.6,2.0,19.0,16.0,0.0,0.0,27.0,22.0,64.0,2.9,0.0,2.0,23.0,4.0,1.0,1.0,1.0,28.0,0.0,1.0,1.0,1.0,0.0,18.0,5.0,231.0,46.2,10.0,5.0,118.0,23.6,0.0,31.0,1.0,14.0,14.0,0.0,14.0,21.0,25.0,50.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,14.0,0.0,18.0,19.0,2.0,16.0,8.0,14.0,0.57,0.0,0.0,0.0,2.0,1.0,10.0,24.0,16.0,316.0,64.0,2.9,0.0,252.0,6.1,10.8,2.0,118.0,14.0,10.0,32.0,-3.0,0.0,0.0,1.0,2.0,1,0,0,3.0,31.0,39.0,0.795,332.0,8.5,11.0,3.0,0.0,127.8,1.0,8.0,20.0,0.0,0.0,11.0,24.0,116.0,4.8,2.0,7.0,18.0,7.0,1.0,1.0,1.0,43.0,0.0,4.0,5.0,0.8,0.0,3.0,4.0,235.0,58.8,12.0,1.0,22.0,22.0,0.0,22.0,1.0,-1.0,-1.0,0.0,-1.0,29.0,35.0,57.0,37.0,20.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,28.0,7.0,20.0,5.0,9.0,0.56,0.0,0.0,0.0,8.0,1.0,70.0,1.0,39.0,448.0,116.0,4.8,2.0,332.0,8.5,11.0,3.0,22.0,-1.0,70.0,14.0,0.0,0.0,0.0,0.0,0.0
BAL_2_2016,BAL,0,CLE,1,1,0,0,20.0,22.0,33.0,0.667,225.0,6.8,11.7,1.0,0.0,96.1,4.0,33.0,11.0,0.0,0.0,20.0,28.0,83.0,3.0,0.0,4.0,18.0,7.0,2.0,2.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,24.0,3.0,128.0,42.7,17.0,2.0,37.0,18.5,0.0,23.0,2.0,1.0,0.5,0.0,8.0,2.0,7.0,39.0,33.0,6.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,18.0,0.0,21.0,18.0,4.0,11.0,6.0,15.0,0.4,0.0,1.0,0.0,6.0,3.0,35.0,27.0,13.0,308.0,83.0,3.0,0.0,225.0,6.8,11.7,1.0,37.0,1.0,35.0,20.0,-1.0,0.0,0.0,0.0,1.0,0,1,0,28.0,12.0,26.0,0.462,168.0,6.5,15.8,0.0,1.0,51.4,3.0,22.0,7.0,1.0,0.0,10.0,21.0,120.0,5.7,1.0,6.0,23.0,4.0,1.0,1.0,1.0,35.0,0.0,1.0,1.0,1.0,0.0,7.0,5.0,251.0,50.2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,29.0,54.0,48.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,28.0,14.0,6.0,7.0,2.0,10.0,0.2,0.0,2.0,0.0,4.0,1.0,15.0,29.0,10.0,288.0,120.0,5.7,1.0,168.0,6.5,15.8,0.0,0.0,0.0,15.0,20.0,-1.0,0.0,0.0,1.0,0.0
SEA_2_2016,SEA,0,LA,0,1,0,0,16.0,27.0,43.0,0.628,240.0,5.6,9.6,1.0,1.0,75.7,3.0,18.0,16.0,0.0,0.0,13.0,32.0,112.0,3.5,0.0,4.0,22.0,6.0,2.0,2.0,1.0,39.0,0.0,0.0,1.0,0.0,1.0,26.0,6.0,253.0,42.2,28.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,13.3,0.0,22.0,3.0,10.0,55.0,25.0,30.0,5.0,36.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,12.0,21.0,4.0,16.0,5.0,16.0,0.31,2.0,3.0,0.67,8.0,1.0,69.0,28.0,12.0,352.0,112.0,3.5,0.0,240.0,5.6,9.6,1.0,0.0,40.0,69.0,29.0,-2.0,0.0,0.0,1.0,1.0,0,1,0,31.0,17.0,35.0,0.486,120.0,3.4,7.6,0.0,2.0,33.0,2.0,10.0,6.0,0.0,0.0,24.0,23.0,65.0,2.8,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,431.0,43.1,3.0,2.0,59.0,29.5,0.0,32.0,4.0,38.0,9.5,0.0,28.0,24.0,28.0,63.0,58.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,5.0,7.0,0.0,32.0,10.0,4.0,6.0,3.0,15.0,0.2,1.0,2.0,0.5,10.0,0.0,102.0,32.0,0.0,185.0,65.0,2.8,0.0,120.0,3.4,7.6,0.0,59.0,38.0,102.0,20.0,-1.0,0.0,1.0,2.0,0.0
