,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,2,29,48,0.604,307,6.4,11.5,1,3,60.0,4,27,17,1,1,22,20,71,3.6,0,5,1,13,4,4,1.0,50,0,1,1,1.0,0,27,1,36,36.0,9,7,177,25.3,0,35,2,11,5.5,0,9,26,33,50,42,8,1,0,0,0,1,0,0,4,7,19,0,5,23,5,17,8,16,0.5,2,3,0.67,9,1,78,16,19,378,71,3.6,0,307,6.4,11.5,1,177,11,78,27,-4,0,0,3,1
ATL,12,22,31,0.71,220,7.1,10.4,1,0,101.5,3,8,13,0,0,5,41,162,4.0,1,11,16,5,1,1,1.0,21,0,2,2,1.0,0,24,3,114,38.0,13,3,72,24.0,0,33,2,1,0.5,0,1,3,10,46,24,22,0,0,1,0,0,0,0,4,4,18,0,2,27,11,13,11,17,0.65,0,1,0.0,4,3,28,17,17,382,162,4.0,1,220,7.1,10.4,1,72,1,28,18,-1,1,0,0,2
BAL,24,19,31,0.613,122,3.9,8.1,0,0,69.6,3,31,6,1,0,10,25,118,4.7,0,9,4,9,3,3,1.0,34,0,0,0,0.0,0,8,3,143,47.7,8,4,105,26.3,0,41,1,-1,-1.0,0,-1,17,21,64,49,15,2,14,0,0,3,1,0,2,3,15,0,16,17,9,6,5,14,0.36,1,2,0.5,7,2,40,27,9,240,118,4.7,0,122,3.9,8.1,0,105,-1,40,12,0,0,1,0,1
CAR,15,11,18,0.611,210,11.7,19.6,1,0,120.1,1,6,9,0,0,21,32,77,2.4,2,3,2,10,2,2,1.0,30,0,4,4,1.0,0,3,6,297,49.5,7,2,53,26.5,0,27,3,46,15.3,0,28,6,14,53,46,7,6,33,2,1,2,2,0,9,2,5,0,23,15,3,9,5,13,0.38,0,0,0.0,5,3,24,2,34,287,77,2.4,2,210,11.7,19.6,1,53,46,24,1,4,2,2,0,0
CHI,23,12,26,0.462,131,5.0,11.4,1,2,42.3,2,6,6,1,1,2,32,183,5.7,1,7,9,8,2,3,0.667,35,0,2,2,1.0,0,6,6,292,48.7,20,3,60,20.0,0,23,4,35,8.8,0,15,10,17,55,49,6,3,20,2,0,2,2,0,6,5,13,0,23,15,7,6,4,15,0.27,0,0,0.0,8,2,60,13,20,314,183,5.7,1,131,5.0,11.4,1,60,35,60,6,1,2,2,2,1
CIN,8,19,26,0.731,234,9.0,13.1,2,0,126.1,2,14,14,0,0,16,35,95,2.7,1,8,22,3,0,1,0.0,0,0,3,3,1.0,0,12,2,93,46.5,18,3,61,20.3,0,29,2,13,6.5,0,9,2,9,62,48,14,3,31,0,0,2,1,0,4,0,0,0,4,25,8,14,7,11,0.64,0,0,0.0,5,3,54,10,21,329,95,2.7,1,234,9.0,13.1,2,61,13,54,12,0,0,1,0,1
CLE,4,18,34,0.529,272,8.0,15.1,1,1,77.1,0,0,10,0,0,3,32,169,5.3,1,5,9,8,2,3,0.667,37,0,2,2,1.0,0,23,5,203,40.6,28,1,4,4.0,0,4,3,11,3.7,0,5,6,14,60,41,19,1,10,1,0,0,0,0,5,4,12,0,21,16,5,10,7,16,0.44,0,1,0.0,9,1,63,13,20,441,169,5.3,1,272,8.0,15.1,1,4,11,63,18,-1,1,0,1,1
DET,9,28,48,0.583,231,4.8,9.4,1,2,60.3,4,32,14,1,1,24,20,58,2.9,1,5,25,2,0,1,0.0,0,0,2,2,1.0,0,2,5,263,52.6,18,6,122,20.3,0,25,2,12,6.0,0,13,23,27,63,45,18,3,15,0,0,1,1,0,1,5,15,0,8,20,5,14,9,17,0.53,0,1,0.0,6,1,31,20,14,289,58,2.9,1,231,4.8,9.4,1,122,12,31,24,-2,0,1,2,1
GB,17,20,35,0.571,203,5.8,10.7,0,1,62.0,1,11,10,1,1,23,29,65,2.2,1,4,19,4,1,2,0.5,40,0,1,1,1.0,0,4,3,147,49.0,25,5,81,16.2,0,20,4,66,16.5,0,36,14,20,58,35,23,1,6,1,0,1,0,0,2,3,5,0,21,16,4,10,8,17,0.47,0,2,0.0,8,2,74,24,10,268,65,2.2,1,203,5.8,10.7,0,81,66,74,24,-2,1,0,1,2
HOU,18,22,30,0.733,191,6.4,10.0,1,0,100.8,6,28,10,3,1,19,23,88,3.8,1,7,25,2,0,0,0.0,0,0,2,2,1.0,0,17,5,220,44.0,20,4,80,20.0,0,28,2,0,0.0,0,0,17,21,46,43,3,2,4,0,0,0,0,0,2,3,7,0,16,17,7,10,4,12,0.33,1,2,0.5,4,0,30,20,14,279,88,3.8,1,191,6.4,10.0,1,80,0,30,18,-1,0,0,0,1
