,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CHI,CHI,4,3,0,0,DET,19,1
CLE,CLE,2,5,0,0,HOU,16,0
GB,GB,1,6,0,0,CIN,14,0
JAX,JAX,4,3,0,0,STL,21,0
ARZ,ARZ,2,5,0,0,DAL,13,0
MIN,MIN,2,5,0,0,CAR,13,0
WSH,WSH,4,3,0,0,NYG,0,0
OAK,OAK,3,4,0,0,TEN,34,1
KC,KC,4,3,0,0,SD,20,0
MIA,MIA,3,4,0,0,NO,21,1
PHI,PHI,4,3,0,0,DEN,21,0
TB,TB,5,2,0,0,SF,10,0
BUF,BUF,3,5,0,0,NE,16,0
BAL,BAL,2,5,0,0,PIT,19,0
DET,DET,3,4,0,1,CHI,13,0
HOU,HOU,1,6,0,1,CLE,19,1
CIN,CIN,6,2,0,1,GB,21,1
STL,STL,4,4,0,1,JAX,24,1
DAL,DAL,5,3,0,1,ARZ,34,1
CAR,CAR,5,2,0,1,MIN,38,1
NYG,NYG,5,2,0,1,WSH,36,1
TEN,TEN,2,6,0,1,OAK,25,0
SD,SD,4,4,0,1,KC,28,1
NO,NO,2,6,0,1,MIA,6,0
DEN,DEN,6,2,0,1,PHI,49,1
SF,SF,2,5,0,1,TB,15,1
NE,NE,4,3,0,1,BUF,21,1
PIT,PIT,5,2,0,1,BAL,20,1
