,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DEN,DEN,13,3,0,0,SD,23,1
NYG,NYG,11,5,0,0,OAK,30,1
CAR,CAR,11,5,0,0,ATL,44,1
MIA,MIA,9,7,0,0,NE,28,1
ARZ,ARZ,5,11,0,0,IND,13,0
BAL,BAL,6,10,0,0,CLE,16,0
BUF,BUF,5,11,0,0,NYJ,26,0
NO,NO,3,13,0,0,TB,13,0
SEA,SEA,13,3,0,0,GB,17,0
CIN,CIN,11,5,0,0,KC,3,0
DET,DET,5,11,0,0,PIT,21,0
TEN,TEN,4,12,0,0,JAX,13,0
HOU,HOU,2,14,0,0,SF,17,0
CHI,CHI,11,5,0,0,MIN,10,0
WSH,WSH,10,6,0,0,PHI,31,1
STL,STL,6,10,0,0,DAL,20,1
SD,SD,9,7,0,1,DEN,7,0
OAK,OAK,4,12,0,1,NYG,21,0
ATL,ATL,8,8,0,1,CAR,11,0
NE,NE,10,6,0,1,MIA,26,0
IND,IND,14,2,0,1,ARZ,17,1
CLE,CLE,6,10,0,1,BAL,20,1
NYJ,NYJ,4,12,0,1,BUF,30,1
TB,TB,11,5,0,1,NO,27,1
GB,GB,4,12,0,1,SEA,23,1
KC,KC,10,6,0,1,CIN,37,1
PIT,PIT,11,5,0,1,DET,35,1
JAX,JAX,12,4,0,1,TEN,40,1
SF,SF,4,12,0,1,HOU,20,1
MIN,MIN,9,7,0,1,CHI,34,1
PHI,PHI,6,10,0,1,WSH,20,0
DAL,DAL,9,7,0,1,STL,10,0
