,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NE,NE,1,1,0,0,CAR,17,0
PIT,PIT,2,0,0,0,HOU,27,1
SF,SF,1,1,0,0,PHI,3,0
DET,DET,1,1,0,0,CHI,6,0
JAX,JAX,1,1,0,0,IND,3,0
MIN,MIN,0,2,0,0,CIN,8,0
BUF,BUF,1,1,0,0,TB,3,0
BAL,BAL,0,2,0,0,TEN,10,0
STL,STL,1,1,0,0,ARZ,17,1
ATL,ATL,1,1,0,0,SEA,18,0
SD,SD,0,2,0,0,DEN,17,0
MIA,MIA,1,1,0,0,NYJ,7,0
CLE,CLE,1,1,0,0,GB,26,1
KC,KC,2,0,0,0,OAK,23,1
NYG,NYG,2,0,0,0,NO,27,1
WSH,WSH,2,0,0,0,DAL,14,1
CAR,CAR,1,1,0,1,NE,27,1
HOU,HOU,0,2,0,1,PIT,7,0
PHI,PHI,1,1,0,1,SF,42,1
CHI,CHI,1,1,0,1,DET,38,1
IND,IND,2,0,0,1,JAX,10,1
CIN,CIN,2,0,0,1,MIN,37,1
TB,TB,2,0,0,1,BUF,19,1
TEN,TEN,1,1,0,1,BAL,25,1
ARZ,ARZ,0,2,0,1,STL,12,0
SEA,SEA,1,1,0,1,ATL,21,1
DEN,DEN,1,1,0,1,SD,20,1
NYJ,NYJ,1,1,0,1,MIA,17,1
GB,GB,0,2,0,1,CLE,24,0
OAK,OAK,0,2,0,1,KC,17,0
NO,NO,1,1,0,1,NYG,10,0
DAL,DAL,1,1,0,1,WSH,13,0
