,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
ATL,ATL,7,4,0,0,DET,27,1
DEN,DEN,9,2,0,0,DAL,24,1
CLE,CLE,4,7,0,0,MIN,12,0
NE,NE,6,5,0,0,KC,16,0
SD,SD,7,4,0,0,WSH,23,1
STL,STL,5,6,0,0,HOU,33,1
CHI,CHI,8,3,0,0,TB,13,1
BAL,BAL,3,8,0,0,CIN,29,0
CAR,CAR,8,3,0,0,BUF,13,1
SF,SF,2,9,0,0,TEN,22,0
JAX,JAX,8,3,0,0,ARZ,24,1
MIA,MIA,4,7,0,0,OAK,33,1
GB,GB,2,9,0,0,PHI,14,0
NYG,NYG,7,4,0,0,SEA,21,0
NO,NO,3,8,0,0,NYJ,21,1
PIT,PIT,7,4,0,0,IND,7,0
DET,DET,4,7,0,1,ATL,7,0
DAL,DAL,7,4,0,1,DEN,21,0
MIN,MIN,6,5,0,1,CLE,24,1
KC,KC,7,4,0,1,NE,26,1
WSH,WSH,5,6,0,1,SD,17,0
HOU,HOU,1,10,0,1,STL,27,0
TB,TB,7,4,0,1,CHI,10,0
CIN,CIN,8,3,0,1,BAL,42,1
BUF,BUF,4,7,0,1,CAR,9,0
TEN,TEN,3,8,0,1,SF,33,1
ARZ,ARZ,3,8,0,1,JAX,17,0
OAK,OAK,4,7,0,1,MIA,21,0
PHI,PHI,5,6,0,1,GB,19,1
SEA,SEA,9,2,0,1,NYG,24,1
NYJ,NYJ,2,9,0,1,NO,19,0
IND,IND,11,0,0,1,PIT,26,1
