,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
GB,GB,2,10,0,0,CHI,7,0
HOU,HOU,1,11,0,0,BAL,15,0
JAX,JAX,9,3,0,0,CLE,20,1
MIN,MIN,7,5,0,0,DET,21,1
TB,TB,8,4,0,0,NO,10,1
TEN,TEN,3,9,0,0,IND,3,0
ATL,ATL,7,5,0,0,CAR,6,0
BUF,BUF,4,8,0,0,MIA,23,0
DAL,DAL,7,5,0,0,NYG,10,0
CIN,CIN,9,3,0,0,PIT,38,1
ARZ,ARZ,4,8,0,0,SF,17,1
WSH,WSH,6,6,0,0,STL,24,1
NYJ,NYJ,2,10,0,0,NE,3,0
DEN,DEN,9,3,0,0,KC,27,0
OAK,OAK,4,8,0,0,SD,10,0
SEA,SEA,10,2,0,0,PHI,42,1
CHI,CHI,9,3,0,1,GB,19,1
BAL,BAL,4,8,0,1,HOU,16,1
CLE,CLE,4,8,0,1,JAX,14,0
DET,DET,4,8,0,1,MIN,16,0
NO,NO,3,9,0,1,TB,3,0
IND,IND,12,0,0,1,TEN,35,1
CAR,CAR,9,3,0,1,ATL,24,1
MIA,MIA,5,7,0,1,BUF,24,1
NYG,NYG,8,4,0,1,DAL,17,1
PIT,PIT,7,5,0,1,CIN,31,0
SF,SF,2,10,0,1,ARZ,10,0
STL,STL,5,7,0,1,WSH,9,0
NE,NE,7,5,0,1,NYJ,16,1
KC,KC,8,4,0,1,DEN,31,1
SD,SD,8,4,0,1,OAK,34,1
PHI,PHI,5,7,0,1,SEA,0,0
