,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,18,20,30,0.667,215,7.2,11.6,1,0,98.6,2,16,12,0,0,9,36,145,4.0,2,11,4,13,3,3,1.0,47,0,4,4,1.0,0,2,4,212,53.0,13,3,72,24.0,0,28,0,0,0.0,0,0,26,34,61,45,16,3,8,2,1,1,1,0,7,3,8,0,10,24,11,12,6,12,0.5,0,0,0.0,9,1,69,4,37,360,145,4.0,2,215,7.2,11.6,1,72,0,69,4,3,2,1,0,0
ATL,22,29,38,0.763,189,5.0,7.2,1,1,84.2,3,21,10,1,1,29,21,54,2.6,2,5,12,9,2,2,1.0,51,0,3,3,1.0,0,8,6,296,49.3,8,3,78,26.0,0,33,3,25,8.3,0,25,15,26,65,27,38,1,8,2,0,3,5,0,5,2,3,0,20,19,5,10,5,14,0.36,0,1,0.0,7,4,73,14,27,243,54,2.6,2,189,5.0,7.2,1,78,25,73,2,5,2,5,1,1
BAL,18,20,38,0.526,215,5.7,11.1,0,0,69.5,1,7,11,1,0,21,21,90,4.3,0,4,1,18,6,6,1.0,61,0,0,0,0.0,0,12,5,240,48.0,2,2,60,30.0,0,36,1,24,24.0,0,24,4,16,53,39,14,1,5,3,0,0,0,0,7,2,4,0,28,18,4,11,4,14,0.29,0,0,0.0,7,3,60,27,18,305,90,4.3,0,215,5.7,11.1,0,60,24,60,4,3,3,0,0,0
BUF,26,17,24,0.708,168,7.0,11.4,2,1,100.7,4,25,10,1,1,1,44,198,4.5,1,12,12,9,2,3,0.667,42,0,3,3,1.0,0,21,4,180,45.0,18,2,38,19.0,0,19,2,4,2.0,0,3,7,20,57,53,4,5,42,2,0,3,2,0,7,3,8,0,8,25,12,10,5,13,0.38,0,0,0.0,7,3,67,14,27,366,198,4.5,1,168,7.0,11.4,2,38,4,67,7,2,2,2,1,1
CAR,14,16,24,0.667,261,10.9,17.1,1,0,116.8,2,12,12,0,0,13,36,131,3.6,1,9,5,12,3,3,1.0,40,0,3,3,1.0,0,18,2,92,46.0,23,3,49,16.3,0,32,1,0,0.0,0,0,7,20,52,34,18,4,27,1,1,0,0,0,1,1,1,0,16,21,9,12,5,11,0.45,0,1,0.0,6,0,59,11,30,392,131,3.6,1,261,10.9,17.1,1,49,0,59,9,1,1,0,0,0
CHI,14,22,31,0.71,261,8.4,12.0,3,2,101.7,2,4,11,0,0,3,31,179,5.8,1,10,16,8,1,1,1.0,23,0,5,5,1.0,0,31,3,110,36.7,12,4,97,24.3,0,40,1,21,21.0,0,21,23,31,42,34,8,0,0,2,1,0,0,0,5,2,4,0,12,23,10,11,9,14,0.64,0,0,0.0,7,2,40,3,38,440,179,5.8,1,261,8.4,12.0,3,97,21,40,20,-1,2,0,2,1
CIN,17,25,44,0.568,222,5.0,9.2,2,0,85.6,1,8,13,0,0,28,22,57,2.6,1,5,30,2,0,0,0.0,0,0,2,2,1.0,0,27,4,166,41.5,2,5,150,30.0,0,52,0,0,0.0,0,0,20,30,69,46,23,1,7,1,0,0,0,0,2,1,3,0,20,19,5,13,4,14,0.29,3,5,0.6,6,1,50,22,20,279,57,2.6,1,222,5.0,9.2,2,150,0,50,14,0,1,0,0,1
CLE,13,23,39,0.59,273,7.0,11.9,1,2,67.6,0,0,12,0,0,20,17,93,5.5,1,7,23,7,1,1,1.0,35,0,4,4,1.0,0,24,5,211,42.2,26,4,44,11.0,0,23,0,0,0.0,0,0,30,38,58,40,18,2,4,2,1,1,1,1,6,7,14,0,18,20,7,12,3,9,0.33,0,0,0.0,9,1,90,9,31,366,93,5.5,1,273,7.0,11.9,1,44,0,90,9,1,2,1,2,0
DAL,7,29,48,0.604,332,6.9,12.3,2,2,77.8,3,26,17,0,0,11,18,134,7.4,1,6,1,18,5,5,1.0,50,0,3,3,1.0,0,4,2,103,51.5,14,2,46,23.0,0,24,1,7,7.0,0,7,28,37,58,40,18,2,16,1,0,0,0,0,5,3,12,0,5,27,6,17,2,9,0.22,0,0,0.0,7,4,79,6,36,466,134,7.4,1,332,6.9,12.3,2,46,7,79,20,-1,1,0,2,0
DEN,12,27,41,0.659,277,6.8,10.7,2,1,91.2,1,12,16,0,0,32,11,18,1.6,0,1,16,8,2,2,1.0,42,0,2,2,1.0,0,17,4,186,46.5,4,4,108,27.0,0,39,0,0,0.0,0,0,16,27,58,45,13,2,6,0,0,0,0,0,1,4,6,0,20,19,1,16,2,9,0.22,1,1,1.0,6,2,43,22,20,295,18,1.6,0,277,6.8,10.7,2,108,0,43,20,-1,0,0,1,0
