,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,7,26,38,0.684,290,7.6,12.1,2,0,108.4,3,24,18,1,0,7,30,120,4.0,1,5,1,16,4,5,0.8,50,1,4,4,1.0,0,27,2,72,36.0,27,0,0,0.0,0,0,3,23,7.7,0,12,4,11,39,31,8,1,4,1,1,0,0,0,8,1,3,0,5,27,5,18,7,14,0.5,0,0,0.0,9,4,84,3,40,410,120,4.0,1,290,7.6,12.1,2,0,23,84,7,1,1,0,0,0
ATL,12,30,39,0.769,264,6.8,9.7,0,0,94.4,5,28,15,0,0,19,22,91,4.1,1,5,15,7,2,3,0.667,39,0,1,1,1.0,0,10,3,136,45.3,27,0,0,0.0,0,0,1,10,10.0,0,10,9,17,56,32,24,1,7,0,0,0,0,0,4,2,14,0,11,22,5,15,6,12,0.5,0,0,0.0,3,2,25,22,13,355,91,4.1,1,264,6.8,9.7,0,0,10,25,18,-1,0,0,0,1
BAL,14,17,27,0.63,245,9.1,16.1,1,1,89.3,4,28,9,0,0,25,31,67,2.2,0,5,3,13,4,4,1.0,53,0,1,1,1.0,0,9,6,273,45.5,20,2,38,19.0,0,22,5,108,21.6,0,37,1,3,47,31,16,3,22,2,0,0,1,0,8,1,1,0,21,15,5,9,3,13,0.23,0,0,0.0,5,1,41,18,19,312,67,2.2,0,245,9.1,16.1,1,38,108,41,4,2,2,1,1,0
CAR,21,19,38,0.5,159,4.2,9.2,1,1,59.0,3,15,10,0,0,6,28,136,4.9,1,9,12,8,2,3,0.667,52,1,2,2,1.0,0,1,7,397,56.7,22,1,17,17.0,0,17,1,41,41.0,0,41,8,16,47,43,4,3,30,1,0,0,0,0,4,2,11,0,14,20,9,10,6,17,0.35,2,2,1.0,8,1,56,17,20,295,136,4.9,1,159,4.2,9.2,1,17,41,56,12,0,1,0,1,0
CHI,2,36,47,0.766,344,7.3,9.8,2,1,101.7,1,8,19,1,1,21,26,80,3.1,1,7,24,3,0,0,0.0,0,0,3,3,1.0,0,22,3,121,40.3,11,4,90,22.5,0,26,1,0,0.0,0,0,28,42,34,34,0,2,19,0,0,1,0,0,1,0,0,0,1,30,7,19,6,10,0.6,0,1,0.0,10,4,84,14,21,424,80,3.1,1,344,7.3,9.8,2,90,0,84,26,-3,0,0,1,2
CLE,4,27,52,0.519,312,6.0,12.3,1,1,68.8,5,21,15,2,2,26,16,55,3.4,0,4,24,3,1,2,0.5,49,0,0,0,0.0,0,24,5,195,39.0,21,5,91,18.2,0,32,1,6,6.0,0,6,21,27,68,36,32,0,0,0,0,0,0,0,5,3,10,0,16,19,4,15,6,17,0.35,1,2,0.5,2,0,10,24,11,367,55,3.4,0,312,6.0,12.3,1,91,6,10,27,-4,0,0,1,3
DAL,20,23,38,0.605,204,5.4,10.2,2,1,81.5,4,30,15,0,0,13,20,107,5.4,0,4,19,6,1,1,1.0,35,0,3,3,1.0,0,13,7,313,44.7,12,3,65,21.7,0,25,4,15,3.8,0,10,13,21,63,46,17,2,20,0,0,1,1,1,3,1,6,0,9,24,4,15,4,11,0.36,0,0,0.0,11,5,85,11,24,311,107,5.4,0,204,5.4,10.2,2,65,15,85,12,0,0,1,1,0
DEN,26,19,36,0.528,132,3.7,7.9,2,1,68.3,2,18,11,1,0,1,48,280,5.8,1,15,15,7,1,1,1.0,27,0,4,4,1.0,0,21,8,325,40.6,26,3,36,12.0,0,12,4,13,3.3,0,12,24,34,82,46,36,3,20,0,0,5,3,1,2,2,4,0,3,28,15,11,9,18,0.5,0,0,0.0,9,2,85,6,31,412,280,5.8,1,132,3.7,7.9,2,36,13,85,18,-1,0,3,1,3
DET,8,26,46,0.565,286,6.2,11.4,3,4,60.6,2,11,16,0,0,14,24,104,4.3,0,4,24,3,0,0,0.0,0,0,3,3,1.0,0,25,4,151,37.8,8,2,49,24.5,0,26,2,42,21.0,0,42,17,24,43,29,14,4,40,0,0,1,0,0,3,4,12,0,8,25,4,16,8,15,0.53,1,1,1.0,5,5,39,14,21,390,104,4.3,0,286,6.2,11.4,3,49,42,39,28,-5,0,0,4,1
GB,6,28,53,0.528,298,5.6,11.3,1,0,75.8,2,18,16,0,0,5,34,196,5.8,2,11,12,8,2,2,1.0,27,0,2,2,1.0,0,20,8,326,40.8,15,3,63,21.0,0,22,3,8,2.7,0,8,19,26,80,59,21,6,18,0,0,1,1,0,2,6,18,0,1,30,11,16,3,16,0.19,2,2,1.0,7,3,50,9,26,494,196,5.8,2,298,5.6,11.3,1,63,8,50,7,1,0,1,0,0
