,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
KC,KC,1,0,0,0,NE,42,1
PIT,PIT,1,0,0,0,CLE,21,1
ARZ,ARZ,0,1,0,0,DET,23,0
JAX,JAX,1,0,0,0,HOU,29,1
OAK,OAK,1,0,0,0,TEN,26,1
PHI,PHI,1,0,0,0,WSH,30,1
BAL,BAL,1,0,0,0,CIN,20,1
ATL,ATL,1,0,0,0,CHI,23,1
NYJ,NYJ,0,1,0,0,BUF,12,0
IND,IND,0,1,0,0,LA,9,0
SEA,SEA,0,1,0,0,GB,9,0
CAR,CAR,1,0,0,0,SF,23,1
NYG,NYG,0,1,0,0,DAL,3,0
NO,NO,0,1,0,0,MIN,19,0
LAC,LAC,0,1,0,0,DEN,21,0
NE,NE,0,1,0,1,KC,27,0
CLE,CLE,0,1,0,1,PIT,18,0
DET,DET,1,0,0,1,ARZ,35,1
HOU,HOU,0,1,0,1,JAX,7,0
TEN,TEN,0,1,0,1,OAK,16,0
WSH,WSH,0,1,0,1,PHI,17,0
CIN,CIN,0,1,0,1,BAL,0,0
CHI,CHI,0,1,0,1,ATL,17,0
BUF,BUF,1,0,0,1,NYJ,21,1
LA,LA,1,0,0,1,IND,46,1
GB,GB,1,0,0,1,SEA,17,1
SF,SF,0,1,0,1,CAR,3,0
DAL,DAL,1,0,0,1,NYG,19,1
MIN,MIN,1,0,0,1,NO,29,1
DEN,DEN,1,0,0,1,LAC,24,1
