,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
WSH,WSH,3,6,0,0,MIN,27,0
PHI,PHI,5,5,0,0,GB,27,1
JAX,JAX,1,8,0,0,TEN,29,1
BUF,BUF,3,7,0,0,PIT,10,0
OAK,OAK,3,6,0,0,NYG,20,0
STL,STL,4,6,0,0,IND,38,1
SEA,SEA,9,1,0,0,ATL,33,1
CIN,CIN,6,4,0,0,BAL,17,0
DET,DET,6,3,0,0,CHI,21,1
CAR,CAR,6,3,0,0,SF,10,1
HOU,HOU,2,7,0,0,ARZ,24,0
DEN,DEN,8,1,0,0,SD,28,1
DAL,DAL,5,5,0,0,NO,17,0
MIA,MIA,4,5,0,0,TB,19,0
MIN,MIN,2,7,0,1,WSH,34,1
GB,GB,5,4,0,1,PHI,13,0
TEN,TEN,4,5,0,1,JAX,27,0
PIT,PIT,3,6,0,1,BUF,23,1
NYG,NYG,3,6,0,1,OAK,24,1
IND,IND,6,3,0,1,STL,8,0
ATL,ATL,2,7,0,1,SEA,10,0
BAL,BAL,4,5,0,1,CIN,20,1
CHI,CHI,5,4,0,1,DET,19,0
SF,SF,6,3,0,1,CAR,9,0
ARZ,ARZ,5,4,0,1,HOU,27,1
SD,SD,4,5,0,1,DEN,20,0
NO,NO,7,2,0,1,DAL,49,1
TB,TB,1,8,0,1,MIA,22,1
