,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
BAL,BAL,0,1,0,0,DEN,27,0
MIA,MIA,1,0,0,0,CLE,23,1
MIN,MIN,0,1,0,0,DET,24,0
OAK,OAK,0,1,0,0,IND,17,0
KC,KC,1,0,0,0,JAX,28,1
TB,TB,0,1,0,0,NYJ,17,0
ATL,ATL,0,1,0,0,NO,17,0
TEN,TEN,1,0,0,0,PIT,16,1
CIN,CIN,0,1,0,0,CHI,21,0
SEA,SEA,1,0,0,0,CAR,12,1
NE,NE,1,0,0,0,BUF,23,1
GB,GB,0,1,0,0,SF,28,0
ARZ,ARZ,0,1,0,0,STL,24,0
NYG,NYG,0,1,0,0,DAL,31,0
PHI,PHI,1,0,0,0,WSH,33,1
HOU,HOU,1,0,0,0,SD,31,1
DEN,DEN,1,0,0,1,BAL,49,1
CLE,CLE,0,1,0,1,MIA,10,0
DET,DET,1,0,0,1,MIN,34,1
IND,IND,1,0,0,1,OAK,21,1
JAX,JAX,0,1,0,1,KC,2,0
NYJ,NYJ,1,0,0,1,TB,18,1
NO,NO,1,0,0,1,ATL,23,1
PIT,PIT,0,1,0,1,TEN,9,0
CHI,CHI,1,0,0,1,CIN,24,1
CAR,CAR,0,1,0,1,SEA,7,0
BUF,BUF,0,1,0,1,NE,21,0
SF,SF,1,0,0,1,GB,34,1
STL,STL,1,0,0,1,ARZ,27,1
DAL,DAL,1,0,0,1,NYG,36,1
WSH,WSH,0,1,0,1,PHI,27,0
SD,SD,0,1,0,1,HOU,28,0
