,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CAR,CAR,4,3,0,0,TB,31,1
SF,SF,6,2,0,0,JAX,42,1
CLE,CLE,3,5,0,0,KC,17,0
MIA,MIA,3,4,0,0,NE,17,0
BUF,BUF,3,5,0,0,NO,17,0
DAL,DAL,4,4,0,0,DET,30,0
NYG,NYG,2,6,0,0,PHI,15,1
PIT,PIT,2,5,0,0,OAK,18,0
NYJ,NYJ,4,4,0,0,CIN,9,0
ATL,ATL,2,5,0,0,ARZ,13,0
WSH,WSH,2,5,0,0,DEN,21,0
GB,GB,5,2,0,0,MIN,44,1
SEA,SEA,7,1,0,0,STL,14,1
TB,TB,0,7,0,1,CAR,13,0
JAX,JAX,0,8,0,1,SF,10,0
KC,KC,8,0,0,1,CLE,23,1
NE,NE,6,2,0,1,MIA,27,1
NO,NO,6,1,0,1,BUF,35,1
DET,DET,5,3,0,1,DAL,31,1
PHI,PHI,3,5,0,1,NYG,7,0
OAK,OAK,3,4,0,1,PIT,21,1
CIN,CIN,6,2,0,1,NYJ,49,1
ARZ,ARZ,4,4,0,1,ATL,27,1
DEN,DEN,7,1,0,1,WSH,45,1
MIN,MIN,1,6,0,1,GB,31,0
STL,STL,3,5,0,1,SEA,9,0
