,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CLE,CLE,4,12,0,0,PIT,7,0
WSH,WSH,3,13,0,0,NYG,6,0
BAL,BAL,8,8,0,0,CIN,17,0
HOU,HOU,2,14,0,0,TEN,10,0
JAX,JAX,4,12,0,0,IND,10,0
NYJ,NYJ,8,8,0,0,MIA,20,1
DET,DET,7,9,0,0,MIN,13,0
CAR,CAR,12,4,0,0,ATL,21,1
TB,TB,4,12,0,0,NO,17,0
BUF,BUF,6,10,0,0,NE,20,0
STL,STL,7,9,0,0,SEA,9,0
GB,GB,8,7,1,0,CHI,33,1
SF,SF,12,4,0,0,ARZ,23,1
DEN,DEN,13,3,0,0,OAK,34,1
KC,KC,11,5,0,0,SD,24,0
PHI,PHI,10,6,0,0,DAL,24,1
PIT,PIT,8,8,0,1,CLE,20,1
NYG,NYG,7,9,0,1,WSH,20,1
CIN,CIN,11,5,0,1,BAL,34,1
TEN,TEN,7,9,0,1,HOU,16,1
IND,IND,11,5,0,1,JAX,30,1
MIA,MIA,8,8,0,1,NYJ,7,0
MIN,MIN,5,10,1,1,DET,14,1
ATL,ATL,4,12,0,1,CAR,20,0
NO,NO,11,5,0,1,TB,42,1
NE,NE,12,4,0,1,BUF,34,1
SEA,SEA,13,3,0,1,STL,27,1
CHI,CHI,8,8,0,1,GB,28,0
ARZ,ARZ,10,6,0,1,SF,20,0
OAK,OAK,4,12,0,1,DEN,14,0
SD,SD,9,7,0,1,KC,27,1
DAL,DAL,8,8,0,1,PHI,22,0
