,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NYG,NYG,0,6,0,0,CHI,21,0
GB,GB,3,2,0,0,BAL,19,1
CIN,CIN,4,2,0,0,BUF,27,1
DET,DET,4,2,0,0,CLE,31,1
STL,STL,3,3,0,0,HOU,38,1
OAK,OAK,2,4,0,0,KC,7,0
CAR,CAR,2,3,0,0,MIN,35,1
PHI,PHI,3,3,0,0,TB,31,1
PIT,PIT,1,4,0,0,NYJ,19,1
JAX,JAX,0,6,0,0,DEN,19,0
TEN,TEN,3,3,0,0,SEA,13,0
NO,NO,5,1,0,0,NE,27,0
ARZ,ARZ,3,3,0,0,SF,20,0
WSH,WSH,1,4,0,0,DAL,16,0
IND,IND,4,2,0,0,SD,9,0
CHI,CHI,4,2,0,1,NYG,27,1
BAL,BAL,3,3,0,1,GB,17,0
BUF,BUF,2,4,0,1,CIN,24,0
CLE,CLE,3,3,0,1,DET,17,0
HOU,HOU,2,4,0,1,STL,13,0
KC,KC,6,0,0,1,OAK,24,1
MIN,MIN,1,4,0,1,CAR,10,0
TB,TB,0,5,0,1,PHI,20,0
NYJ,NYJ,3,3,0,1,PIT,6,0
DEN,DEN,6,0,0,1,JAX,35,1
SEA,SEA,5,1,0,1,TEN,20,1
NE,NE,5,1,0,1,NO,30,1
SF,SF,4,2,0,1,ARZ,32,1
DAL,DAL,3,3,0,1,WSH,31,1
SD,SD,3,3,0,1,IND,19,1
