,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,30,16,36,0.444,115,3.2,7.2,0,1,40.9,0,0,8,0,0,17,34,107,3.1,0,3,4,12,4,6,0.667,45,0,0,0,0.0,0,7,7,301,43.0,14,2,41,20.5,0,23,3,45,15.0,0,31,2,7,46,37,9,4,37,2,0,1,2,0,5,3,4,0,30,12,3,8,3,18,0.17,0,0,0.0,10,1,70,28,12,222,107,3.1,0,115,3.2,7.2,0,41,45,70,2,3,2,2,1,0
ATL,23,20,29,0.69,150,5.2,8.4,2,1,89.7,3,18,9,1,0,2,38,204,5.4,0,12,8,8,2,3,0.667,40,0,2,2,1.0,0,32,2,62,31.0,21,4,75,18.8,0,24,2,0,0.0,0,0,24,28,53,42,11,4,21,1,1,0,0,0,2,3,6,0,5,22,12,9,9,17,0.53,2,2,1.0,8,1,53,10,26,354,204,5.4,0,150,5.2,8.4,2,75,0,53,15,0,1,0,1,0
BAL,26,14,27,0.519,142,5.3,10.1,1,0,79.6,0,0,10,0,0,3,41,190,4.6,1,10,4,12,3,3,1.0,33,0,3,3,1.0,0,21,6,232,38.7,19,4,78,19.5,0,24,2,32,16.0,0,23,18,23,44,36,8,3,16,3,1,2,0,0,8,4,8,0,7,21,10,10,7,16,0.44,0,0,0.0,6,1,50,5,30,332,190,4.6,1,142,5.3,10.1,1,78,32,50,2,3,3,0,0,0
BUF,19,16,30,0.533,171,5.7,11.8,0,1,56.4,3,18,6,1,1,21,21,96,4.6,2,8,13,6,1,2,0.5,37,0,3,3,1.0,0,3,6,268,44.7,11,7,149,21.3,0,40,2,3,1.5,0,3,26,29,79,50,29,2,15,2,1,2,1,0,8,6,16,0,22,16,8,6,2,12,0.17,1,1,1.0,12,2,108,11,24,267,96,4.6,2,171,5.7,11.8,0,149,3,108,15,0,2,1,1,2
CAR,5,24,50,0.48,274,5.5,12.8,2,0,78.3,6,33,15,2,2,31,13,46,3.5,0,2,19,4,1,2,0.5,54,1,1,1,1.0,0,14,8,321,40.1,5,4,113,28.3,0,49,6,48,8.0,0,14,14,21,59,47,12,3,20,0,0,1,0,0,2,4,11,0,7,21,2,15,2,12,0.17,0,0,0.0,6,4,45,21,18,320,46,3.5,0,274,5.5,12.8,2,113,48,45,28,-3,0,0,0,3
CHI,28,20,29,0.69,136,4.7,9.8,0,1,64.7,9,60,8,1,0,16,27,110,4.1,2,7,28,2,0,0,0.0,0,0,2,2,1.0,0,24,6,225,37.5,16,6,121,20.2,0,25,2,31,15.5,0,20,29,31,51,41,10,0,0,0,0,0,0,0,6,5,19,0,20,17,7,8,3,15,0.2,1,3,0.33,4,2,29,24,14,246,110,4.1,2,136,4.7,9.8,0,121,31,29,19,-1,0,0,1,0
CIN,22,16,27,0.593,160,5.9,10.0,1,0,88.5,0,0,6,0,0,8,35,148,4.2,3,9,8,8,1,2,0.5,50,0,5,5,1.0,0,11,7,292,41.7,28,3,48,16.0,0,22,1,4,4.0,0,4,4,10,52,44,8,3,25,3,1,3,2,0,14,1,3,0,22,16,9,6,5,15,0.33,1,1,1.0,4,1,35,1,38,308,148,4.2,3,160,5.9,10.0,1,48,4,35,1,5,3,2,0,0
CLE,11,20,29,0.69,227,7.8,11.4,1,2,74.9,1,1,11,0,0,12,32,137,4.3,0,7,2,16,5,5,1.0,45,0,1,1,1.0,0,31,3,98,32.7,9,1,24,24.0,0,24,2,16,8.0,0,9,7,14,56,43,13,6,28,0,0,1,1,0,7,2,4,0,15,18,7,11,5,13,0.38,0,0,0.0,6,0,46,16,22,364,137,4.3,0,227,7.8,11.4,1,24,16,46,19,-1,0,1,2,0
DAL,12,23,31,0.742,220,7.1,10.0,1,1,90.8,3,11,12,1,1,9,31,147,4.7,1,9,7,10,3,3,1.0,45,0,1,1,1.0,0,7,3,129,43.0,32,5,65,13.0,0,21,3,21,7.0,0,11,24,28,55,40,15,1,7,1,0,1,0,0,5,0,0,0,7,21,9,12,6,13,0.46,2,2,1.0,6,0,93,11,24,367,147,4.7,1,220,7.1,10.0,1,65,21,93,19,-1,1,0,1,1
DEN,9,17,30,0.567,239,8.0,14.5,2,0,104.7,1,7,12,0,0,1,42,214,5.1,1,11,3,15,4,4,1.0,45,0,3,3,1.0,0,23,4,152,38.0,9,3,72,24.0,0,34,5,69,13.8,0,39,7,14,36,30,6,1,8,0,0,1,1,0,7,3,8,0,2,23,11,12,6,14,0.43,0,0,0.0,2,0,25,2,33,453,214,5.1,1,239,8.0,14.5,2,72,69,25,10,1,0,1,0,0
