,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CLE,CLE,3,5,0,0,NE,3,0
DEN,DEN,5,3,0,0,BAL,6,0
NYG,NYG,3,4,0,0,MIN,29,1
DAL,DAL,5,2,0,0,TB,0,0
DET,DET,1,6,0,0,CHI,16,0
TEN,TEN,6,2,0,0,JAX,30,1
CAR,CAR,6,1,0,0,NO,23,1
SEA,SEA,5,2,0,0,CIN,24,0
STL,STL,5,2,0,0,PIT,33,1
SF,SF,3,5,0,0,ARZ,13,0
HOU,HOU,2,5,0,0,IND,21,0
NYJ,NYJ,2,5,0,0,PHI,17,0
BUF,BUF,4,4,0,0,KC,5,0
MIA,MIA,5,2,0,0,SD,26,1
NE,NE,6,2,0,1,CLE,9,1
BAL,BAL,4,3,0,1,DEN,26,1
MIN,MIN,6,1,0,1,NYG,17,0
TB,TB,4,3,0,1,DAL,16,1
CHI,CHI,2,5,0,1,DET,24,1
JAX,JAX,1,6,0,1,TEN,17,0
NO,NO,3,5,0,1,CAR,20,0
CIN,CIN,3,4,0,1,SEA,27,1
PIT,PIT,2,5,0,1,STL,21,0
ARZ,ARZ,2,5,0,1,SF,16,1
IND,IND,6,1,0,1,HOU,30,1
PHI,PHI,4,3,0,1,NYJ,24,1
KC,KC,8,0,0,1,BUF,38,1
SD,SD,1,6,0,1,MIA,10,0
