,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NE,NE,2,2,0,0,WSH,17,0
TEN,TEN,3,1,0,0,PIT,30,1
PHI,PHI,1,2,0,0,BUF,23,1
CIN,CIN,1,3,0,0,CLE,21,1
ARZ,ARZ,1,3,0,0,STL,13,0
SF,SF,1,3,0,0,MIN,7,0
JAX,JAX,0,4,0,0,HOU,20,0
KC,KC,4,0,0,0,BAL,17,1
SD,SD,0,4,0,0,OAK,31,0
DAL,DAL,2,1,0,0,NYJ,17,1
ATL,ATL,1,3,0,0,CAR,3,0
DET,DET,1,3,0,0,DEN,16,0
IND,IND,4,0,0,0,NO,55,1
GB,GB,2,2,0,0,CHI,38,1
WSH,WSH,3,1,0,1,NE,20,1
PIT,PIT,2,2,0,1,TEN,13,0
BUF,BUF,2,2,0,1,PHI,13,0
CLE,CLE,1,3,0,1,CIN,14,0
STL,STL,2,2,0,1,ARZ,37,1
MIN,MIN,4,0,0,1,SF,35,1
HOU,HOU,2,2,0,1,JAX,24,1
BAL,BAL,2,2,0,1,KC,10,0
OAK,OAK,2,2,0,1,SD,34,1
NYJ,NYJ,0,4,0,1,DAL,6,0
CAR,CAR,3,0,0,1,ATL,23,1
DEN,DEN,4,0,0,1,DET,20,1
NO,NO,1,3,0,1,IND,21,0
CHI,CHI,0,3,0,1,GB,23,0
