,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
IND,IND,10,3,0,0,TEN,29,1
SD,SD,3,10,0,0,DET,14,1
CIN,CIN,7,6,0,0,BAL,13,0
HOU,HOU,5,8,0,0,JAX,0,0
OAK,OAK,3,10,0,0,PIT,7,0
SEA,SEA,8,5,0,0,MIN,7,0
TB,TB,6,7,0,0,NO,14,1
WSH,WSH,5,8,0,0,NYG,20,1
CHI,CHI,5,8,0,0,GB,21,0
DAL,DAL,8,5,0,0,PHI,10,0
ARZ,ARZ,3,10,0,0,SF,14,0
KC,KC,11,2,0,0,DEN,27,0
MIA,MIA,8,5,0,0,NE,0,0
NYJ,NYJ,5,8,0,0,BUF,6,0
CAR,CAR,8,5,0,0,ATL,14,0
STL,STL,10,3,0,0,CLE,26,1
TEN,TEN,9,4,0,1,IND,27,0
DET,DET,4,9,0,1,SD,7,0
BAL,BAL,8,5,0,1,CIN,31,1
JAX,JAX,4,9,0,1,HOU,27,1
PIT,PIT,5,8,0,1,OAK,27,1
MIN,MIN,8,5,0,1,SEA,34,1
NO,NO,6,7,0,1,TB,7,0
NYG,NYG,4,9,0,1,WSH,7,0
GB,GB,7,6,0,1,CHI,34,1
PHI,PHI,10,3,0,1,DAL,36,1
SF,SF,6,7,0,1,ARZ,50,1
DEN,DEN,8,5,0,1,KC,45,1
NE,NE,11,2,0,1,MIA,12,1
BUF,BUF,6,7,0,1,NYJ,17,1
ATL,ATL,3,10,0,1,CAR,20,1
CLE,CLE,4,9,0,1,STL,20,0
