,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
HOU,HOU,5,9,0,0,TB,3,0
MIN,MIN,8,6,0,0,CHI,10,0
JAX,JAX,4,10,0,0,NE,13,0
SF,SF,6,8,0,0,CIN,38,0
PIT,PIT,5,9,0,0,NYJ,0,0
BUF,BUF,6,8,0,0,TEN,26,0
DET,DET,4,10,0,0,KC,17,0
ATL,ATL,3,11,0,0,IND,7,0
SEA,SEA,8,6,0,0,STL,22,0
BAL,BAL,8,6,0,0,OAK,12,0
CLE,CLE,4,10,0,0,DEN,20,0
DAL,DAL,9,5,0,0,WSH,27,1
GB,GB,8,6,0,0,SD,38,1
CAR,CAR,9,5,0,0,ARZ,20,1
NYG,NYG,4,10,0,0,NO,7,0
PHI,PHI,11,3,0,0,MIA,34,1
TB,TB,7,7,0,1,HOU,16,1
CHI,CHI,6,8,0,1,MIN,13,1
NE,NE,12,2,0,1,JAX,27,1
CIN,CIN,8,6,0,1,SF,41,1
NYJ,NYJ,6,8,0,1,PIT,6,1
TEN,TEN,10,4,0,1,BUF,28,1
KC,KC,12,2,0,1,DET,45,1
IND,IND,11,3,0,1,ATL,38,1
STL,STL,11,3,0,1,SEA,27,1
OAK,OAK,4,10,0,1,BAL,20,1
DEN,DEN,9,5,0,1,CLE,23,1
WSH,WSH,5,9,0,1,DAL,0,0
SD,SD,3,11,0,1,GB,21,0
ARZ,ARZ,3,11,0,1,CAR,17,0
NO,NO,7,7,0,1,NYG,45,1
MIA,MIA,8,6,0,1,PHI,27,0
