,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
ATL,ATL,4,11,0,0,TB,30,1
KC,KC,12,3,0,0,MIN,20,0
NE,NE,13,2,0,0,NYJ,21,1
NO,NO,7,8,0,0,JAX,19,0
MIA,MIA,9,6,0,0,BUF,20,1
CIN,CIN,8,7,0,0,STL,10,0
WSH,WSH,5,10,0,0,CHI,24,0
BAL,BAL,9,6,0,0,CLE,35,1
DET,DET,4,11,0,0,CAR,14,0
NYG,NYG,4,11,0,0,DAL,3,0
TEN,TEN,11,4,0,0,HOU,27,1
SD,SD,3,12,0,0,PIT,24,0
SF,SF,7,8,0,0,PHI,31,1
ARZ,ARZ,3,12,0,0,SEA,10,0
DEN,DEN,10,5,0,0,IND,31,1
GB,GB,9,6,0,0,OAK,41,1
TB,TB,7,8,0,1,ATL,28,0
MIN,MIN,9,6,0,1,KC,45,1
NYJ,NYJ,6,9,0,1,NE,16,0
JAX,JAX,5,10,0,1,NO,20,1
BUF,BUF,6,9,0,1,MIA,3,0
STL,STL,12,3,0,1,CIN,27,1
CHI,CHI,7,8,0,1,WSH,27,1
CLE,CLE,4,11,0,1,BAL,0,0
CAR,CAR,10,5,0,1,DET,20,1
DAL,DAL,10,5,0,1,NYG,19,1
HOU,HOU,5,10,0,1,TEN,24,0
PIT,PIT,6,9,0,1,SD,40,1
PHI,PHI,11,4,0,1,SF,28,0
SEA,SEA,9,6,0,1,ARZ,28,1
IND,IND,11,4,0,1,DEN,17,0
OAK,OAK,4,11,0,1,GB,7,0
