,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
MIA,MIA,4,1,0,0,JAX,24,1
PHI,PHI,2,3,0,0,DAL,21,0
OAK,OAK,2,4,0,0,CLE,7,0
TB,TB,3,2,0,0,WSH,35,1
NYG,NYG,2,3,0,0,NE,6,0
CAR,CAR,5,0,0,0,IND,23,1
CHI,CHI,1,4,0,0,NO,13,0
KC,KC,6,0,0,0,GB,40,1
HOU,HOU,2,3,0,0,TEN,17,0
BAL,BAL,3,2,0,0,ARZ,26,1
BUF,BUF,3,3,0,0,NYJ,3,0
PIT,PIT,2,4,0,0,DEN,14,0
SF,SF,2,4,0,0,SEA,19,0
ATL,ATL,1,5,0,0,STL,0,0
JAX,JAX,1,5,0,1,MIA,10,0
DAL,DAL,4,1,0,1,PHI,23,1
CLE,CLE,3,3,0,1,OAK,13,1
WSH,WSH,3,3,0,1,TB,13,0
NE,NE,4,2,0,1,NYG,17,1
IND,IND,5,1,0,1,CAR,20,0
NO,NO,2,4,0,1,CHI,20,1
GB,GB,3,3,0,1,KC,34,0
TEN,TEN,4,2,0,1,HOU,38,1
ARZ,ARZ,1,5,0,1,BAL,18,0
NYJ,NYJ,1,4,0,1,BUF,30,1
DEN,DEN,5,1,0,1,PIT,17,1
SEA,SEA,4,1,0,1,SF,20,1
STL,STL,3,2,0,1,ATL,36,1
