,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
BAL,BAL,3,3,0,0,CIN,26,0
NE,NE,5,2,0,0,MIA,19,1
PHI,PHI,3,3,0,0,NYG,14,1
NO,NO,3,4,0,0,ATL,45,1
SD,SD,1,5,0,0,CLE,26,1
DAL,DAL,5,1,0,0,DET,38,1
GB,GB,3,4,0,0,STL,24,0
DEN,DEN,5,2,0,0,MIN,20,0
TEN,TEN,5,2,0,0,CAR,37,1
NYJ,NYJ,2,4,0,0,HOU,19,1
CHI,CHI,1,5,0,0,SEA,17,0
WSH,WSH,3,4,0,0,BUF,7,0
TB,TB,3,3,0,0,SF,7,0
KC,KC,7,0,0,0,OAK,17,1
CIN,CIN,2,4,0,1,BAL,34,1
MIA,MIA,4,2,0,1,NE,13,0
NYG,NYG,2,4,0,1,PHI,10,0
ATL,ATL,1,6,0,1,NO,17,0
CLE,CLE,3,4,0,1,SD,20,0
DET,DET,1,5,0,1,DAL,7,0
STL,STL,4,2,0,1,GB,34,1
MIN,MIN,6,0,0,1,DEN,28,1
CAR,CAR,5,1,0,1,TEN,17,0
HOU,HOU,2,4,0,1,NYJ,14,0
SEA,SEA,5,1,0,1,CHI,24,1
BUF,BUF,4,3,0,1,WSH,24,1
SF,SF,3,4,0,1,TB,24,1
OAK,OAK,2,5,0,1,KC,10,0
