,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
PIT,PIT,2,3,0,0,TEN,23,0
KC,KC,1,5,0,0,TB,10,0
IND,IND,2,3,0,0,NYJ,9,0
CIN,CIN,3,3,0,0,CLE,24,0
DET,DET,2,3,0,0,PHI,26,1
OAK,OAK,1,4,0,0,ATL,20,0
STL,STL,3,3,0,0,MIA,14,0
DAL,DAL,2,3,0,0,BAL,29,0
BUF,BUF,3,3,0,0,ARZ,19,1
NE,NE,3,3,0,0,SEA,23,0
NYG,NYG,4,2,0,0,SF,26,1
MIN,MIN,4,2,0,0,WSH,26,0
GB,GB,3,3,0,0,HOU,42,1
DEN,DEN,3,3,0,0,SD,35,1
TEN,TEN,2,4,0,1,PIT,26,1
TB,TB,2,3,0,1,KC,38,1
NYJ,NYJ,3,3,0,1,IND,35,1
CLE,CLE,1,5,0,1,CIN,34,1
PHI,PHI,3,3,0,1,DET,23,0
ATL,ATL,6,0,0,1,OAK,23,1
MIA,MIA,3,3,0,1,STL,17,1
BAL,BAL,5,1,0,1,DAL,31,1
ARZ,ARZ,4,2,0,1,BUF,16,0
SEA,SEA,4,2,0,1,NE,24,1
SF,SF,4,2,0,1,NYG,3,0
WSH,WSH,3,3,0,1,MIN,38,1
HOU,HOU,5,1,0,1,GB,24,0
SD,SD,3,3,0,1,DEN,24,0
