,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NYG,NYG,2,1,0,0,CAR,36,1
TB,TB,1,2,0,0,DAL,10,0
JAX,JAX,1,2,0,0,IND,22,1
BUF,BUF,2,1,0,0,CLE,24,1
NYJ,NYJ,2,1,0,0,MIA,23,1
KC,KC,1,2,0,0,NO,27,1
CIN,CIN,2,1,0,0,WSH,38,1
STL,STL,1,2,0,0,CHI,6,0
SF,SF,2,1,0,0,MIN,13,0
DET,DET,1,2,0,0,TEN,41,0
ATL,ATL,3,0,0,0,SD,27,1
PHI,PHI,2,1,0,0,ARZ,6,0
PIT,PIT,1,2,0,0,OAK,31,0
HOU,HOU,3,0,0,0,DEN,31,1
NE,NE,1,2,0,0,BAL,30,0
GB,GB,1,2,0,0,SEA,12,0
CAR,CAR,1,2,0,1,NYG,7,0
DAL,DAL,2,1,0,1,TB,16,1
IND,IND,1,2,0,1,JAX,17,0
CLE,CLE,0,3,0,1,BUF,14,0
MIA,MIA,1,2,0,1,NYJ,20,0
NO,NO,0,3,0,1,KC,24,0
WSH,WSH,1,2,0,1,CIN,31,0
CHI,CHI,2,1,0,1,STL,23,1
MIN,MIN,2,1,0,1,SF,24,1
TEN,TEN,1,2,0,1,DET,44,1
SD,SD,2,1,0,1,ATL,3,0
ARZ,ARZ,3,0,0,1,PHI,27,1
OAK,OAK,1,2,0,1,PIT,34,1
DEN,DEN,1,2,0,1,HOU,25,0
BAL,BAL,2,1,0,1,NE,31,1
SEA,SEA,2,1,0,1,GB,14,1
