,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
ATL,ATL,13,2,0,0,DET,31,1
TEN,TEN,5,10,0,0,GB,7,0
MIN,MIN,9,6,0,0,HOU,23,1
STL,STL,7,7,1,0,TB,28,1
WSH,WSH,9,6,0,0,PHI,27,1
NO,NO,7,8,0,0,DAL,34,1
SD,SD,6,9,0,0,NYJ,27,1
OAK,OAK,4,11,0,0,CAR,6,0
BUF,BUF,5,10,0,0,MIA,10,0
CIN,CIN,9,6,0,0,PIT,13,1
NE,NE,11,4,0,0,JAX,23,1
IND,IND,10,5,0,0,KC,20,1
CLE,CLE,5,10,0,0,DEN,12,0
NYG,NYG,8,7,0,0,BAL,14,0
CHI,CHI,9,6,0,0,ARZ,28,1
SF,SF,10,4,1,0,SEA,13,0
DET,DET,4,11,0,1,ATL,18,0
GB,GB,11,4,0,1,TEN,55,1
HOU,HOU,12,3,0,1,MIN,6,0
TB,TB,6,9,0,1,STL,13,0
PHI,PHI,4,11,0,1,WSH,20,0
DAL,DAL,8,7,0,1,NO,31,0
NYJ,NYJ,6,9,0,1,SD,17,0
CAR,CAR,6,9,0,1,OAK,17,1
MIA,MIA,7,8,0,1,BUF,24,1
PIT,PIT,7,8,0,1,CIN,10,0
JAX,JAX,2,13,0,1,NE,16,0
KC,KC,2,13,0,1,IND,13,0
DEN,DEN,12,3,0,1,CLE,34,1
BAL,BAL,10,5,0,1,NYG,33,1
ARZ,ARZ,5,10,0,1,CHI,13,0
SEA,SEA,10,5,0,1,SF,42,1
