,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SEA,SEA,4,3,0,0,SF,6,0
ARZ,ARZ,4,3,0,0,MIN,14,0
DAL,DAL,3,3,0,0,CAR,19,1
NO,NO,2,4,0,0,TB,35,1
GB,GB,4,3,0,0,STL,30,1
WSH,WSH,3,4,0,0,NYG,23,0
BAL,BAL,5,2,0,0,HOU,13,0
TEN,TEN,3,4,0,0,BUF,35,1
CLE,CLE,1,6,0,0,IND,13,0
NYJ,NYJ,3,4,0,0,NE,26,0
JAX,JAX,1,5,0,0,OAK,23,0
PIT,PIT,3,3,0,0,CIN,24,1
DET,DET,2,4,0,0,CHI,7,0
SF,SF,5,2,0,1,SEA,13,1
MIN,MIN,5,2,0,1,ARZ,21,1
CAR,CAR,1,5,0,1,DAL,14,0
TB,TB,2,4,0,1,NO,28,0
STL,STL,3,4,0,1,GB,20,0
NYG,NYG,5,2,0,1,WSH,27,1
HOU,HOU,6,1,0,1,BAL,43,1
BUF,BUF,3,4,0,1,TEN,34,0
IND,IND,3,3,0,1,CLE,17,1
NE,NE,4,3,0,1,NYJ,29,1
OAK,OAK,2,4,0,1,JAX,26,1
CIN,CIN,3,4,0,1,PIT,17,0
CHI,CHI,5,1,0,1,DET,13,1
