,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DEN,DEN,10,3,0,0,OAK,26,1
BAL,BAL,9,4,0,0,WSH,28,0
DAL,DAL,7,6,0,0,CIN,20,1
STL,STL,6,6,1,0,BUF,15,1
PHI,PHI,4,9,0,0,TB,23,1
ATL,ATL,11,2,0,0,CAR,20,0
KC,KC,2,11,0,0,CLE,7,0
SD,SD,5,8,0,0,PIT,34,1
TEN,TEN,4,9,0,0,IND,23,0
NYJ,NYJ,6,7,0,0,JAX,17,1
CHI,CHI,8,5,0,0,MIN,14,0
MIA,MIA,5,8,0,0,SF,13,0
ARZ,ARZ,4,9,0,0,SEA,0,0
NO,NO,5,8,0,0,NYG,27,0
DET,DET,4,9,0,0,GB,20,0
HOU,HOU,11,2,0,0,NE,14,0
OAK,OAK,3,10,0,1,DEN,13,0
WSH,WSH,7,6,0,1,BAL,31,1
CIN,CIN,7,6,0,1,DAL,19,0
BUF,BUF,5,8,0,1,STL,12,0
TB,TB,6,7,0,1,PHI,21,0
CAR,CAR,4,9,0,1,ATL,30,1
CLE,CLE,5,8,0,1,KC,30,1
PIT,PIT,7,6,0,1,SD,24,0
IND,IND,9,4,0,1,TEN,27,1
JAX,JAX,2,11,0,1,NYJ,10,0
MIN,MIN,7,6,0,1,CHI,21,1
SF,SF,9,3,1,1,MIA,27,1
SEA,SEA,8,5,0,1,ARZ,58,1
NYG,NYG,8,5,0,1,NO,52,1
GB,GB,9,4,0,1,DET,27,1
NE,NE,10,3,0,1,HOU,42,1
