,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
MIA,MIA,4,6,0,0,BUF,14,0
GB,GB,7,3,0,0,DET,24,1
ARZ,ARZ,4,6,0,0,ATL,19,0
TB,TB,6,4,0,0,CAR,27,1
CLE,CLE,2,8,0,0,DAL,20,0
PHI,PHI,3,7,0,0,WSH,6,0
NYJ,NYJ,4,6,0,0,STL,27,1
CIN,CIN,5,5,0,0,KC,28,1
JAX,JAX,1,9,0,0,HOU,37,0
NO,NO,5,5,0,0,OAK,38,1
SD,SD,4,6,0,0,DEN,23,0
IND,IND,6,4,0,0,NE,24,0
BAL,BAL,8,2,0,0,PIT,13,1
CHI,CHI,7,3,0,0,SF,7,0
BUF,BUF,4,6,0,1,MIA,19,1
DET,DET,4,6,0,1,GB,20,0
ATL,ATL,9,1,0,1,ARZ,23,1
CAR,CAR,2,8,0,1,TB,21,0
DAL,DAL,5,5,0,1,CLE,23,1
WSH,WSH,4,6,0,1,PHI,31,1
STL,STL,3,6,1,1,NYJ,13,0
KC,KC,1,9,0,1,CIN,6,0
HOU,HOU,9,1,0,1,JAX,43,1
OAK,OAK,3,7,0,1,NO,17,0
DEN,DEN,7,3,0,1,SD,30,1
NE,NE,7,3,0,1,IND,59,1
PIT,PIT,6,4,0,1,BAL,10,0
SF,SF,7,2,1,1,CHI,32,1
