,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
TB,TB,7,9,0,0,ATL,22,1
NYJ,NYJ,6,10,0,0,BUF,9,0
BAL,BAL,10,6,0,0,CIN,17,0
CLE,CLE,5,11,0,0,PIT,10,0
CHI,CHI,10,6,0,0,DET,26,1
JAX,JAX,2,14,0,0,TEN,20,0
PHI,PHI,4,12,0,0,NYG,7,0
CAR,CAR,7,9,0,0,NO,44,1
HOU,HOU,12,4,0,0,IND,16,0
GB,GB,11,5,0,0,MIN,34,0
STL,STL,7,8,1,0,SEA,13,0
MIA,MIA,7,9,0,0,NE,0,0
KC,KC,2,14,0,0,DEN,3,0
OAK,OAK,4,12,0,0,SD,21,0
ARZ,ARZ,5,11,0,0,SF,13,0
DAL,DAL,8,8,0,0,WSH,18,0
ATL,ATL,13,3,0,1,TB,17,0
BUF,BUF,6,10,0,1,NYJ,28,1
CIN,CIN,10,6,0,1,BAL,23,1
PIT,PIT,8,8,0,1,CLE,24,1
DET,DET,4,12,0,1,CHI,24,0
TEN,TEN,6,10,0,1,JAX,38,1
NYG,NYG,9,7,0,1,PHI,42,1
NO,NO,7,9,0,1,CAR,38,0
IND,IND,11,5,0,1,HOU,28,1
MIN,MIN,10,6,0,1,GB,37,1
SEA,SEA,11,5,0,1,STL,20,1
NE,NE,12,4,0,1,MIA,28,1
DEN,DEN,13,3,0,1,KC,38,1
SD,SD,7,9,0,1,OAK,24,1
SF,SF,11,4,1,1,ARZ,27,1
WSH,WSH,10,6,0,1,DAL,28,1
