,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
ARZ,ARZ,4,1,0,0,STL,3,0
PHI,PHI,3,2,0,0,PIT,14,0
GB,GB,2,3,0,0,IND,27,0
CLE,CLE,0,5,0,0,NYG,27,0
ATL,ATL,5,0,0,0,WSH,24,1
MIA,MIA,2,3,0,0,CIN,17,1
BAL,BAL,4,1,0,0,KC,9,1
SEA,SEA,3,2,0,0,CAR,16,1
CHI,CHI,4,1,0,0,JAX,41,1
DEN,DEN,2,3,0,0,NE,21,0
BUF,BUF,2,3,0,0,SF,3,0
TEN,TEN,1,4,0,0,MIN,7,0
SD,SD,3,2,0,0,NO,24,0
HOU,HOU,5,0,0,0,NYJ,23,1
STL,STL,3,2,0,1,ARZ,17,1
PIT,PIT,2,2,0,1,PHI,16,1
IND,IND,2,2,0,1,GB,30,1
NYG,NYG,3,2,0,1,CLE,41,1
WSH,WSH,2,3,0,1,ATL,17,0
CIN,CIN,3,2,0,1,MIA,13,0
KC,KC,1,4,0,1,BAL,6,0
CAR,CAR,1,4,0,1,SEA,12,0
JAX,JAX,1,4,0,1,CHI,3,0
NE,NE,3,2,0,1,DEN,31,1
SF,SF,4,1,0,1,BUF,45,1
MIN,MIN,4,1,0,1,TEN,30,1
NO,NO,1,4,0,1,SD,31,1
NYJ,NYJ,2,3,0,1,HOU,17,0
