,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
IND,IND,6,3,0,0,JAX,27,1
SD,SD,4,5,0,0,TB,24,0
TEN,TEN,4,6,0,0,MIA,37,1
BUF,BUF,3,6,0,0,NE,31,0
OAK,OAK,3,6,0,0,BAL,20,0
DEN,DEN,6,3,0,0,CAR,36,1
NYG,NYG,6,4,0,0,CIN,13,0
DET,DET,4,5,0,0,MIN,24,0
ATL,ATL,8,1,0,0,NO,27,0
NYJ,NYJ,3,6,0,0,SEA,7,0
DAL,DAL,4,5,0,0,PHI,38,1
STL,STL,3,5,1,0,SF,24,0
HOU,HOU,8,1,0,0,CHI,13,1
KC,KC,1,8,0,0,PIT,13,0
JAX,JAX,1,8,0,1,IND,10,0
TB,TB,5,4,0,1,SD,34,1
MIA,MIA,4,5,0,1,TEN,3,0
NE,NE,6,3,0,1,BUF,37,1
BAL,BAL,7,2,0,1,OAK,55,1
CAR,CAR,2,7,0,1,DEN,14,0
CIN,CIN,4,5,0,1,NYG,31,1
MIN,MIN,6,4,0,1,DET,34,1
NO,NO,4,5,0,1,ATL,31,1
SEA,SEA,6,4,0,1,NYJ,28,1
PHI,PHI,3,6,0,1,DAL,23,0
SF,SF,6,2,1,1,STL,24,1
CHI,CHI,7,2,0,1,HOU,6,0
PIT,PIT,6,3,0,1,KC,16,1
