,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CAR,CAR,2,14,0,0,ATL,10,0
PIT,PIT,12,4,0,0,CLE,41,1
MIN,MIN,6,10,0,0,DET,13,0
CIN,CIN,4,12,0,0,BAL,7,0
MIA,MIA,7,9,0,0,NE,7,0
BUF,BUF,4,12,0,0,NYJ,7,0
OAK,OAK,8,8,0,0,KC,31,1
TB,TB,10,6,0,0,NO,23,1
CHI,CHI,11,5,0,0,GB,3,0
NYG,NYG,10,6,0,0,WSH,17,1
TEN,TEN,6,10,0,0,IND,20,0
JAX,JAX,8,8,0,0,HOU,17,0
DAL,DAL,6,10,0,0,PHI,14,1
SD,SD,9,7,0,0,DEN,33,1
ARZ,ARZ,5,11,0,0,SF,7,0
STL,STL,7,9,0,0,SEA,6,0
ATL,ATL,13,3,0,1,CAR,31,1
CLE,CLE,5,11,0,1,PIT,9,0
DET,DET,6,10,0,1,MIN,20,1
BAL,BAL,12,4,0,1,CIN,13,1
NE,NE,14,2,0,1,MIA,38,1
NYJ,NYJ,11,5,0,1,BUF,38,1
KC,KC,10,6,0,1,OAK,10,0
NO,NO,11,5,0,1,TB,13,0
GB,GB,10,6,0,1,CHI,10,1
WSH,WSH,6,10,0,1,NYG,14,0
IND,IND,10,6,0,1,TEN,23,1
HOU,HOU,6,10,0,1,JAX,34,1
PHI,PHI,10,6,0,1,DAL,13,0
DEN,DEN,4,12,0,1,SD,28,0
SF,SF,6,10,0,1,ARZ,38,1
SEA,SEA,7,9,0,1,STL,16,1
