,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DEN,DEN,2,3,0,0,BAL,17,0
KC,KC,3,1,0,0,IND,9,0
GB,GB,3,2,0,0,WSH,13,0
STL,STL,2,3,0,0,DET,6,0
CHI,CHI,4,1,0,0,CAR,23,1
ATL,ATL,4,1,0,0,CLE,20,1
NYG,NYG,3,2,0,0,HOU,34,1
JAX,JAX,3,2,0,0,BUF,36,1
TB,TB,3,1,0,0,CIN,24,1
NO,NO,3,2,0,0,ARZ,20,0
TEN,TEN,3,2,0,0,DAL,34,1
SD,SD,2,3,0,0,OAK,27,0
PHI,PHI,3,2,0,0,SF,27,1
MIN,MIN,1,3,0,0,NYJ,20,0
BAL,BAL,4,1,0,1,DEN,31,1
IND,IND,3,2,0,1,KC,19,1
WSH,WSH,3,2,0,1,GB,16,1
DET,DET,1,4,0,1,STL,44,1
CAR,CAR,0,5,0,1,CHI,6,0
CLE,CLE,1,4,0,1,ATL,10,0
HOU,HOU,3,2,0,1,NYG,10,0
BUF,BUF,0,5,0,1,JAX,26,0
CIN,CIN,2,3,0,1,TB,21,0
ARZ,ARZ,3,2,0,1,NO,30,1
DAL,DAL,1,3,0,1,TEN,27,0
OAK,OAK,2,3,0,1,SD,35,1
SF,SF,0,5,0,1,PHI,24,0
NYJ,NYJ,4,1,0,1,MIN,29,1
