,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NE,NE,9,2,0,0,DET,45,1
NO,NO,8,3,0,0,DAL,30,1
CIN,CIN,2,9,0,0,NYJ,10,0
TEN,TEN,5,6,0,0,HOU,0,0
CAR,CAR,1,10,0,0,CLE,23,0
GB,GB,7,4,0,0,ATL,17,0
MIN,MIN,4,7,0,0,WSH,17,1
PIT,PIT,8,3,0,0,BUF,19,1
JAX,JAX,6,5,0,0,NYG,20,0
KC,KC,7,4,0,0,SEA,42,1
MIA,MIA,6,5,0,0,OAK,33,1
PHI,PHI,7,4,0,0,CHI,26,0
TB,TB,7,4,0,0,BAL,10,0
STL,STL,5,6,0,0,DEN,36,1
SD,SD,6,5,0,0,IND,36,1
SF,SF,4,7,0,0,ARZ,27,1
DET,DET,2,9,0,1,NE,24,0
DAL,DAL,3,8,0,1,NO,27,0
NYJ,NYJ,9,2,0,1,CIN,26,1
HOU,HOU,5,6,0,1,TEN,20,1
CLE,CLE,4,7,0,1,CAR,24,1
ATL,ATL,9,2,0,1,GB,20,1
WSH,WSH,5,6,0,1,MIN,13,0
BUF,BUF,2,9,0,1,PIT,16,0
NYG,NYG,7,4,0,1,JAX,24,1
SEA,SEA,5,6,0,1,KC,24,0
OAK,OAK,5,6,0,1,MIA,17,0
CHI,CHI,8,3,0,1,PHI,31,1
BAL,BAL,8,3,0,1,TB,17,1
DEN,DEN,3,8,0,1,STL,33,0
IND,IND,6,5,0,1,SD,14,0
ARZ,ARZ,3,8,0,1,SF,6,0
