,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CHI,CHI,7,3,0,0,MIA,16,1
BAL,BAL,7,3,0,0,CAR,37,1
ARZ,ARZ,3,7,0,0,KC,13,0
WSH,WSH,5,5,0,0,TEN,19,1
GB,GB,7,3,0,0,MIN,31,1
DET,DET,2,8,0,0,DAL,19,0
CLE,CLE,3,7,0,0,JAX,20,0
HOU,HOU,4,6,0,0,NYJ,27,0
BUF,BUF,2,8,0,0,CIN,49,1
OAK,OAK,5,5,0,0,PIT,3,0
ATL,ATL,8,2,0,0,STL,34,1
SEA,SEA,5,5,0,0,NO,19,0
TB,TB,7,3,0,0,SF,21,1
IND,IND,6,4,0,0,NE,28,0
NYG,NYG,6,4,0,0,PHI,17,0
DEN,DEN,3,7,0,0,SD,14,0
MIA,MIA,5,5,0,1,CHI,0,0
CAR,CAR,1,9,0,1,BAL,13,0
KC,KC,6,4,0,1,ARZ,31,1
TEN,TEN,5,5,0,1,WSH,16,0
MIN,MIN,3,7,0,1,GB,3,0
DAL,DAL,3,7,0,1,DET,35,1
JAX,JAX,6,4,0,1,CLE,24,1
NYJ,NYJ,8,2,0,1,HOU,30,1
CIN,CIN,2,8,0,1,BUF,31,0
PIT,PIT,7,3,0,1,OAK,35,1
STL,STL,4,6,0,1,ATL,17,0
NO,NO,7,3,0,1,SEA,34,1
SF,SF,3,7,0,1,TB,0,0
NE,NE,8,2,0,1,IND,31,1
PHI,PHI,7,3,0,1,NYG,27,1
SD,SD,5,5,0,1,DEN,35,1
