,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
SF,SF,5,9,0,0,SD,7,0
KC,KC,9,5,0,0,STL,27,1
NO,NO,10,4,0,0,BAL,24,0
DET,DET,4,10,0,0,TB,23,1
ARZ,ARZ,4,10,0,0,CAR,12,0
PHI,PHI,10,4,0,0,NYG,38,1
BUF,BUF,4,10,0,0,MIA,17,1
CLE,CLE,5,9,0,0,CIN,17,0
JAX,JAX,8,6,0,0,IND,24,0
HOU,HOU,5,9,0,0,TEN,17,0
WSH,WSH,5,9,0,0,DAL,30,0
ATL,ATL,12,2,0,0,SEA,34,1
DEN,DEN,3,11,0,0,OAK,23,0
NYJ,NYJ,10,4,0,0,PIT,22,1
GB,GB,8,6,0,0,NE,27,0
CHI,CHI,10,4,0,0,MIN,40,1
SD,SD,8,6,0,1,SF,34,1
STL,STL,6,8,0,1,KC,13,0
BAL,BAL,10,4,0,1,NO,30,1
TB,TB,8,6,0,1,DET,20,0
CAR,CAR,2,12,0,1,ARZ,19,1
NYG,NYG,9,5,0,1,PHI,31,0
MIA,MIA,7,7,0,1,BUF,14,0
CIN,CIN,3,11,0,1,CLE,19,1
IND,IND,8,6,0,1,JAX,34,1
TEN,TEN,6,8,0,1,HOU,31,1
DAL,DAL,5,9,0,1,WSH,33,1
SEA,SEA,6,8,0,1,ATL,18,0
OAK,OAK,7,7,0,1,DEN,39,1
PIT,PIT,10,4,0,1,NYJ,17,0
NE,NE,12,2,0,1,GB,31,1
MIN,MIN,5,9,0,1,CHI,14,0
