,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
KC,KC,2,14,0,0,CIN,6,0
OAK,OAK,5,11,0,0,TB,31,1
CLE,CLE,4,12,0,0,PIT,0,0
NE,NE,11,5,0,0,BUF,13,1
STL,STL,2,14,0,0,ATL,27,0
CHI,CHI,9,7,0,0,HOU,24,0
TEN,TEN,13,3,0,0,IND,0,0
NYG,NYG,12,4,0,0,MIN,19,0
CAR,CAR,12,4,0,0,NO,33,1
DET,DET,0,16,0,0,GB,21,0
SEA,SEA,4,12,0,0,ARZ,21,0
DAL,DAL,9,7,0,0,PHI,6,0
MIA,MIA,11,5,0,0,NYJ,24,1
WSH,WSH,8,8,0,0,SF,24,0
JAX,JAX,5,11,0,0,BAL,7,0
DEN,DEN,8,8,0,0,SD,21,0
CIN,CIN,4,11,1,1,KC,16,1
TB,TB,9,7,0,1,OAK,24,0
PIT,PIT,12,4,0,1,CLE,31,1
BUF,BUF,7,9,0,1,NE,0,0
ATL,ATL,11,5,0,1,STL,31,1
HOU,HOU,8,8,0,1,CHI,31,1
IND,IND,12,4,0,1,TEN,23,1
MIN,MIN,10,6,0,1,NYG,20,1
NO,NO,8,8,0,1,CAR,31,0
GB,GB,6,10,0,1,DET,31,1
ARZ,ARZ,9,7,0,1,SEA,34,1
PHI,PHI,9,6,1,1,DAL,44,1
NYJ,NYJ,9,7,0,1,MIA,17,0
SF,SF,7,9,0,1,WSH,27,1
BAL,BAL,11,5,0,1,JAX,27,1
SD,SD,8,8,0,1,DEN,52,1
