,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
TEN,TEN,11,1,0,0,DET,47,1
SEA,SEA,2,10,0,0,DAL,9,0
ARZ,ARZ,7,5,0,0,PHI,20,0
IND,IND,8,4,0,0,CLE,10,1
NYG,NYG,11,1,0,0,WSH,23,1
NO,NO,6,6,0,0,TB,20,0
MIA,MIA,7,5,0,0,STL,16,1
SF,SF,4,8,0,0,BUF,10,1
BAL,BAL,8,4,0,0,CIN,34,1
CAR,CAR,9,3,0,0,GB,35,1
ATL,ATL,8,4,0,0,SD,22,1
DEN,DEN,7,5,0,0,NYJ,34,1
PIT,PIT,9,3,0,0,NE,33,1
KC,KC,2,10,0,0,OAK,20,1
CHI,CHI,6,6,0,0,MIN,14,0
JAX,JAX,4,8,0,0,HOU,17,0
DET,DET,0,12,0,1,TEN,10,0
DAL,DAL,8,4,0,1,SEA,34,1
PHI,PHI,6,5,1,1,ARZ,48,1
CLE,CLE,4,8,0,1,IND,6,0
WSH,WSH,7,5,0,1,NYG,7,0
TB,TB,9,3,0,1,NO,23,1
STL,STL,2,10,0,1,MIA,12,0
BUF,BUF,6,6,0,1,SF,3,0
CIN,CIN,1,10,1,1,BAL,3,0
GB,GB,5,7,0,1,CAR,31,0
SD,SD,4,8,0,1,ATL,16,0
NYJ,NYJ,8,4,0,1,DEN,17,0
NE,NE,7,5,0,1,PIT,10,0
OAK,OAK,3,9,0,1,KC,13,0
MIN,MIN,7,5,0,1,CHI,34,1
HOU,HOU,5,7,0,1,JAX,30,1
