,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DET,DET,0,8,0,0,CHI,23,0
JAX,JAX,3,5,0,0,CIN,19,0
BAL,BAL,5,3,0,0,CLE,37,1
TB,TB,6,3,0,0,KC,30,1
HOU,HOU,3,5,0,0,MIN,21,0
GB,GB,4,4,0,0,TEN,16,0
NYJ,NYJ,5,3,0,0,BUF,26,1
ARZ,ARZ,5,3,0,0,STL,34,1
MIA,MIA,4,4,0,0,DEN,26,1
DAL,DAL,5,4,0,0,NYG,14,0
ATL,ATL,5,3,0,0,OAK,24,1
PHI,PHI,5,3,0,0,SEA,26,1
NE,NE,5,3,0,0,IND,15,0
PIT,PIT,6,2,0,0,WSH,23,1
CHI,CHI,5,3,0,1,DET,27,1
CIN,CIN,1,8,0,1,JAX,21,1
CLE,CLE,3,5,0,1,BAL,27,0
KC,KC,1,7,0,1,TB,27,0
MIN,MIN,4,4,0,1,HOU,28,1
TEN,TEN,8,0,0,1,GB,19,1
BUF,BUF,5,3,0,1,NYJ,17,0
STL,STL,2,6,0,1,ARZ,13,0
DEN,DEN,4,4,0,1,MIA,17,0
NYG,NYG,7,1,0,1,DAL,35,1
OAK,OAK,2,6,0,1,ATL,0,0
SEA,SEA,2,6,0,1,PHI,7,0
IND,IND,4,4,0,1,NE,18,1
WSH,WSH,6,3,0,1,PIT,6,0
