,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CIN,CIN,1,9,1,0,PIT,10,0
TB,TB,8,3,0,0,DET,38,1
PHI,PHI,5,5,1,0,BAL,7,0
HOU,HOU,4,7,0,0,CLE,16,1
SF,SF,3,8,0,0,DAL,22,0
NYJ,NYJ,8,3,0,0,TEN,34,1
MIN,MIN,6,5,0,0,JAX,30,1
BUF,BUF,6,5,0,0,KC,54,1
NE,NE,7,4,0,0,MIA,48,1
CHI,CHI,6,5,0,0,STL,27,1
OAK,OAK,3,8,0,0,DEN,31,1
CAR,CAR,8,3,0,0,ATL,28,0
WSH,WSH,7,4,0,0,SEA,20,1
NYG,NYG,10,1,0,0,ARZ,37,1
IND,IND,7,4,0,0,SD,23,1
GB,GB,5,6,0,0,NO,29,0
PIT,PIT,8,3,0,1,CIN,27,1
DET,DET,0,11,0,1,TB,20,0
BAL,BAL,7,4,0,1,PHI,36,1
CLE,CLE,4,7,0,1,HOU,6,0
DAL,DAL,7,4,0,1,SF,35,1
TEN,TEN,10,1,0,1,NYJ,13,0
JAX,JAX,4,7,0,1,MIN,12,0
KC,KC,1,10,0,1,BUF,31,0
MIA,MIA,6,5,0,1,NE,28,0
STL,STL,2,9,0,1,CHI,3,0
DEN,DEN,6,5,0,1,OAK,10,0
ATL,ATL,7,4,0,1,CAR,45,1
SEA,SEA,2,9,0,1,WSH,17,0
ARZ,ARZ,7,4,0,1,NYG,29,0
SD,SD,4,7,0,1,IND,20,0
NO,NO,6,5,0,1,GB,51,1
