,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DEN,DEN,5,4,0,0,CLE,34,1
JAX,JAX,4,5,0,0,DET,38,1
STL,STL,2,7,0,0,NYJ,3,0
BUF,BUF,5,4,0,0,NE,10,0
GB,GB,4,5,0,0,MIN,27,0
SEA,SEA,2,7,0,0,MIA,19,0
NO,NO,4,5,0,0,ATL,20,0
TEN,TEN,9,0,0,0,CHI,21,1
BAL,BAL,6,3,0,0,HOU,41,1
CAR,CAR,7,2,0,0,OAK,17,1
IND,IND,5,4,0,0,PIT,24,1
KC,KC,1,8,0,0,SD,19,0
NYG,NYG,8,1,0,0,PHI,36,1
SF,SF,2,7,0,0,ARZ,24,0
CLE,CLE,3,6,0,1,DEN,30,0
DET,DET,0,9,0,1,JAX,14,0
NYJ,NYJ,6,3,0,1,STL,47,1
NE,NE,6,3,0,1,BUF,20,1
MIN,MIN,5,4,0,1,GB,28,1
MIA,MIA,5,4,0,1,SEA,21,1
ATL,ATL,6,3,0,1,NO,34,1
CHI,CHI,5,4,0,1,TEN,14,0
HOU,HOU,3,6,0,1,BAL,13,0
OAK,OAK,2,7,0,1,CAR,6,0
PIT,PIT,6,3,0,1,IND,20,0
SD,SD,4,5,0,1,KC,20,1
PHI,PHI,5,4,0,1,NYG,31,0
ARZ,ARZ,6,3,0,1,SF,29,1
