,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NO,NO,7,7,0,0,CHI,24,0
TB,TB,9,5,0,0,ATL,10,0
SEA,SEA,3,11,0,0,STL,23,1
BUF,BUF,6,8,0,0,NYJ,27,0
SF,SF,5,9,0,0,MIA,9,0
SD,SD,6,8,0,0,KC,22,1
GB,GB,5,9,0,0,JAX,16,0
WSH,WSH,7,7,0,0,CIN,13,0
TEN,TEN,12,2,0,0,HOU,12,0
DET,DET,0,14,0,0,IND,21,0
MIN,MIN,9,5,0,0,ARZ,35,1
NE,NE,9,5,0,0,OAK,49,1
DEN,DEN,8,6,0,0,CAR,10,0
PIT,PIT,11,3,0,0,BAL,13,1
NYG,NYG,11,3,0,0,DAL,8,0
CLE,CLE,4,10,0,0,PHI,10,0
CHI,CHI,8,6,0,1,NO,27,1
ATL,ATL,9,5,0,1,TB,13,1
STL,STL,2,12,0,1,SEA,20,0
NYJ,NYJ,9,5,0,1,BUF,31,1
MIA,MIA,9,5,0,1,SF,14,1
KC,KC,2,12,0,1,SD,21,0
JAX,JAX,5,9,0,1,GB,20,1
CIN,CIN,2,11,1,1,WSH,20,1
HOU,HOU,7,7,0,1,TEN,13,1
IND,IND,10,4,0,1,DET,31,1
ARZ,ARZ,8,6,0,1,MIN,14,0
OAK,OAK,3,11,0,1,NE,26,0
CAR,CAR,11,3,0,1,DEN,30,1
BAL,BAL,9,5,0,1,PIT,9,0
DAL,DAL,9,5,0,1,NYG,20,1
PHI,PHI,8,5,1,1,CLE,30,1
