,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
OAK,OAK,3,10,0,0,SD,7,0
CLE,CLE,4,9,0,0,TEN,9,0
JAX,JAX,4,9,0,0,CHI,10,0
MIN,MIN,8,5,0,0,DET,20,1
HOU,HOU,6,7,0,0,GB,24,1
CIN,CIN,1,11,1,0,IND,3,0
ATL,ATL,8,5,0,0,NO,25,0
PHI,PHI,7,5,1,0,NYG,20,1
NE,NE,8,5,0,0,SEA,24,1
NYJ,NYJ,8,5,0,0,SF,14,0
KC,KC,2,11,0,0,DEN,17,0
MIA,MIA,8,5,0,0,BUF,16,1
DAL,DAL,8,5,0,0,PIT,13,0
STL,STL,2,11,0,0,ARZ,10,0
WSH,WSH,7,6,0,0,BAL,10,0
TB,TB,9,4,0,0,CAR,23,0
SD,SD,5,8,0,1,OAK,34,1
TEN,TEN,12,1,0,1,CLE,28,1
CHI,CHI,7,6,0,1,JAX,23,1
DET,DET,0,13,0,1,MIN,16,0
GB,GB,5,8,0,1,HOU,21,0
IND,IND,9,4,0,1,CIN,35,1
NO,NO,7,6,0,1,ATL,29,1
NYG,NYG,11,2,0,1,PHI,14,0
SEA,SEA,2,11,0,1,NE,21,0
SF,SF,5,8,0,1,NYJ,24,1
DEN,DEN,8,5,0,1,KC,24,1
BUF,BUF,6,7,0,1,MIA,3,0
PIT,PIT,10,3,0,1,DAL,20,1
ARZ,ARZ,8,5,0,1,STL,34,1
BAL,BAL,9,4,0,1,WSH,24,1
CAR,CAR,10,3,0,1,TB,38,1
