,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
KC,KC,1,4,0,0,CAR,0,0
CHI,CHI,3,2,0,0,DET,34,1
ATL,ATL,3,2,0,0,GB,27,1
IND,IND,2,2,0,0,HOU,31,1
SD,SD,2,3,0,0,MIA,10,0
WSH,WSH,4,1,0,0,PHI,23,1
TEN,TEN,5,0,0,0,BAL,13,1
SEA,SEA,1,3,0,0,NYG,6,0
TB,TB,3,2,0,0,DEN,13,0
BUF,BUF,4,1,0,0,ARZ,17,0
CIN,CIN,0,5,0,0,DAL,22,0
NE,NE,3,1,0,0,SF,30,1
PIT,PIT,4,1,0,0,JAX,26,1
MIN,MIN,2,3,0,0,NO,30,1
CAR,CAR,4,1,0,1,KC,34,1
DET,DET,0,4,0,1,CHI,7,0
GB,GB,2,3,0,1,ATL,24,0
HOU,HOU,0,4,0,1,IND,27,0
MIA,MIA,2,2,0,1,SD,17,1
PHI,PHI,2,3,0,1,WSH,17,0
BAL,BAL,2,2,0,1,TEN,10,0
NYG,NYG,4,0,0,1,SEA,44,1
DEN,DEN,4,1,0,1,TB,16,1
ARZ,ARZ,3,2,0,1,BUF,41,1
DAL,DAL,4,1,0,1,CIN,31,1
SF,SF,2,3,0,1,NE,21,0
JAX,JAX,2,3,0,1,PIT,21,0
NO,NO,2,3,0,1,MIN,27,0
