,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
IND,IND,11,4,0,0,JAX,31,1
BAL,BAL,10,5,0,0,DAL,33,1
CIN,CIN,3,11,1,0,CLE,14,1
NO,NO,8,7,0,0,DET,42,1
MIA,MIA,10,5,0,0,KC,38,1
SD,SD,7,8,0,0,TB,41,1
ARZ,ARZ,8,7,0,0,NE,7,0
PIT,PIT,11,4,0,0,TEN,14,0
SF,SF,6,9,0,0,STL,17,1
BUF,BUF,7,8,0,0,DEN,30,1
NYJ,NYJ,9,6,0,0,SEA,3,0
HOU,HOU,7,8,0,0,OAK,16,0
PHI,PHI,8,6,1,0,WSH,3,0
ATL,ATL,10,5,0,0,MIN,24,1
CAR,CAR,11,4,0,0,NYG,28,0
GB,GB,5,10,0,0,CHI,17,0
JAX,JAX,5,10,0,1,IND,24,0
DAL,DAL,9,6,0,1,BAL,24,0
CLE,CLE,4,11,0,1,CIN,0,0
DET,DET,0,15,0,1,NO,7,0
KC,KC,2,13,0,1,MIA,31,0
TB,TB,9,6,0,1,SD,24,0
NE,NE,10,5,0,1,ARZ,47,1
TEN,TEN,13,2,0,1,PIT,31,1
STL,STL,2,13,0,1,SF,16,0
DEN,DEN,8,7,0,1,BUF,23,0
SEA,SEA,4,11,0,1,NYJ,13,1
OAK,OAK,4,11,0,1,HOU,27,1
WSH,WSH,8,7,0,1,PHI,10,1
MIN,MIN,9,6,0,1,ATL,17,0
NYG,NYG,12,3,0,1,CAR,34,1
CHI,CHI,9,6,0,1,GB,20,1
