,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
DET,DET,0,5,0,0,MIN,10,0
STL,STL,1,4,0,0,WSH,19,1
CAR,CAR,4,2,0,0,TB,3,0
CIN,CIN,0,6,0,0,NYJ,14,0
OAK,OAK,1,4,0,0,NO,3,0
CHI,CHI,3,3,0,0,ATL,20,0
MIA,MIA,2,3,0,0,HOU,28,0
BAL,BAL,2,3,0,0,IND,3,0
JAX,JAX,3,3,0,0,DEN,24,1
DAL,DAL,4,2,0,0,ARZ,24,0
PHI,PHI,3,3,0,0,SF,40,1
GB,GB,3,3,0,0,SEA,27,1
NE,NE,3,2,0,0,SD,10,0
NYG,NYG,4,1,0,0,CLE,14,0
MIN,MIN,3,3,0,1,DET,12,1
WSH,WSH,4,2,0,1,STL,17,0
TB,TB,4,2,0,1,CAR,27,1
NYJ,NYJ,3,2,0,1,CIN,26,1
NO,NO,3,3,0,1,OAK,34,1
ATL,ATL,4,2,0,1,CHI,22,1
HOU,HOU,1,4,0,1,MIA,29,1
IND,IND,3,2,0,1,BAL,31,1
DEN,DEN,4,2,0,1,JAX,17,0
ARZ,ARZ,4,2,0,1,DAL,30,1
SF,SF,2,4,0,1,PHI,26,0
SEA,SEA,1,4,0,1,GB,17,0
SD,SD,3,3,0,1,NE,30,1
CLE,CLE,2,3,0,1,NYG,35,1
