,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
JAX,JAX,4,10,0,0,ATL,14,0
DAL,DAL,8,6,0,0,TB,31,1
SEA,SEA,7,7,0,0,CHI,38,1
GB,GB,13,1,0,0,KC,14,0
CAR,CAR,5,9,0,0,HOU,28,1
NO,NO,11,3,0,0,MIN,42,1
CIN,CIN,8,6,0,0,STL,20,1
MIA,MIA,5,9,0,0,BUF,30,1
TEN,TEN,7,7,0,0,IND,13,0
WSH,WSH,5,9,0,0,NYG,23,1
DET,DET,9,5,0,0,OAK,28,1
NYJ,NYJ,8,6,0,0,PHI,19,0
CLE,CLE,4,10,0,0,ARZ,17,0
NE,NE,11,3,0,0,DEN,41,1
BAL,BAL,10,4,0,0,SD,14,0
PIT,PIT,10,4,0,0,SF,3,0
ATL,ATL,9,5,0,1,JAX,41,1
TB,TB,4,10,0,1,DAL,15,0
CHI,CHI,7,7,0,1,SEA,14,0
KC,KC,6,8,0,1,GB,19,1
HOU,HOU,10,4,0,1,CAR,13,0
MIN,MIN,2,12,0,1,NO,20,0
STL,STL,2,12,0,1,CIN,13,0
BUF,BUF,5,9,0,1,MIA,23,0
IND,IND,1,13,0,1,TEN,27,1
NYG,NYG,7,7,0,1,WSH,10,0
OAK,OAK,7,7,0,1,DET,27,0
PHI,PHI,6,8,0,1,NYJ,45,1
ARZ,ARZ,7,7,0,1,CLE,20,1
DEN,DEN,8,6,0,1,NE,23,0
SD,SD,7,7,0,1,BAL,34,1
SF,SF,11,3,0,1,PIT,20,1
