,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
OAK,OAK,5,4,0,0,SD,24,1
BUF,BUF,5,4,0,0,DAL,7,0
STL,STL,2,7,0,0,CLE,13,1
WSH,WSH,3,6,0,0,MIA,9,0
NO,NO,7,3,0,0,ATL,26,1
ARZ,ARZ,3,6,0,0,PHI,21,1
TEN,TEN,5,4,0,0,CAR,30,1
HOU,HOU,7,3,0,0,TB,37,1
PIT,PIT,7,3,0,0,CIN,24,1
JAX,JAX,3,6,0,0,IND,17,1
DEN,DEN,4,5,0,0,KC,17,1
BAL,BAL,6,3,0,0,SEA,17,0
DET,DET,6,3,0,0,CHI,13,0
NYG,NYG,6,3,0,0,SF,20,0
NE,NE,6,3,0,0,NYJ,37,1
MIN,MIN,2,7,0,0,GB,7,0
SD,SD,4,5,0,1,OAK,17,0
DAL,DAL,5,4,0,1,BUF,44,1
CLE,CLE,3,6,0,1,STL,12,0
MIA,MIA,2,7,0,1,WSH,20,1
ATL,ATL,5,4,0,1,NO,23,0
PHI,PHI,3,6,0,1,ARZ,17,0
CAR,CAR,2,7,0,1,TEN,3,0
TB,TB,4,5,0,1,HOU,9,0
CIN,CIN,6,3,0,1,PIT,17,0
IND,IND,0,10,0,1,JAX,3,0
KC,KC,4,5,0,1,DEN,10,0
SEA,SEA,3,6,0,1,BAL,22,1
CHI,CHI,6,3,0,1,DET,37,1
SF,SF,8,1,0,1,NYG,27,1
NYJ,NYJ,5,4,0,1,NE,16,0
GB,GB,9,0,0,1,MIN,45,1
