,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NE,NE,2,1,0,0,BUF,31,0
MIA,MIA,0,3,0,0,CLE,16,0
DEN,DEN,1,2,0,0,TEN,14,0
NYG,NYG,2,1,0,0,PHI,29,1
DET,DET,3,0,0,0,MIN,26,1
SF,SF,2,1,0,0,CIN,13,1
JAX,JAX,1,2,0,0,CAR,10,0
HOU,HOU,2,1,0,0,NO,33,0
KC,KC,0,3,0,0,SD,17,0
BAL,BAL,2,1,0,0,STL,37,1
NYJ,NYJ,2,1,0,0,OAK,24,0
GB,GB,3,0,0,0,CHI,27,1
ARZ,ARZ,1,2,0,0,SEA,10,0
ATL,ATL,1,2,0,0,TB,13,0
PIT,PIT,2,1,0,0,IND,23,1
WSH,WSH,2,1,0,0,DAL,16,0
BUF,BUF,3,0,0,1,NE,34,1
CLE,CLE,2,1,0,1,MIA,17,1
TEN,TEN,2,1,0,1,DEN,17,1
PHI,PHI,1,2,0,1,NYG,16,0
MIN,MIN,0,3,0,1,DET,23,0
CIN,CIN,1,2,0,1,SF,8,0
CAR,CAR,1,2,0,1,JAX,16,1
NO,NO,2,1,0,1,HOU,40,1
SD,SD,2,1,0,1,KC,20,1
STL,STL,0,3,0,1,BAL,7,0
OAK,OAK,2,1,0,1,NYJ,34,1
CHI,CHI,1,2,0,1,GB,17,0
SEA,SEA,1,2,0,1,ARZ,13,1
TB,TB,2,1,0,1,ATL,16,1
IND,IND,0,3,0,1,PIT,20,0
DAL,DAL,2,1,0,1,WSH,18,1
