,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
OAK,OAK,3,2,0,0,HOU,25,1
KC,KC,2,3,0,0,IND,28,1
CIN,CIN,3,2,0,0,JAX,30,1
SEA,SEA,2,3,0,0,NYG,36,1
ARZ,ARZ,1,4,0,0,MIN,10,0
PHI,PHI,1,4,0,0,BUF,24,0
TEN,TEN,3,2,0,0,PIT,17,0
NO,NO,4,1,0,0,CAR,30,1
TB,TB,3,2,0,0,SF,3,0
NYJ,NYJ,2,3,0,0,NE,21,0
SD,SD,4,1,0,0,DEN,29,1
GB,GB,5,0,0,0,ATL,25,1
CHI,CHI,2,3,0,0,DET,13,0
HOU,HOU,3,2,0,1,OAK,20,0
IND,IND,0,5,0,1,KC,24,0
JAX,JAX,1,4,0,1,CIN,20,0
NYG,NYG,3,2,0,1,SEA,25,0
MIN,MIN,1,4,0,1,ARZ,34,1
BUF,BUF,4,1,0,1,PHI,31,1
PIT,PIT,3,2,0,1,TEN,38,1
CAR,CAR,1,4,0,1,NO,27,0
SF,SF,4,1,0,1,TB,48,1
NE,NE,4,1,0,1,NYJ,30,1
DEN,DEN,1,4,0,1,SD,24,0
ATL,ATL,2,3,0,1,GB,14,0
DET,DET,5,0,0,1,CHI,24,1
