,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NYJ,NYJ,5,5,0,0,DEN,13,0
OAK,OAK,6,4,0,0,MIN,27,1
DAL,DAL,6,4,0,0,WSH,27,1
TB,TB,4,6,0,0,GB,26,0
CAR,CAR,2,8,0,0,DET,35,0
CIN,CIN,6,4,0,0,BAL,24,0
JAX,JAX,3,7,0,0,CLE,10,0
BUF,BUF,5,5,0,0,MIA,8,0
SEA,SEA,4,6,0,0,STL,24,1
ARZ,ARZ,3,7,0,0,SF,7,0
SD,SD,4,6,0,0,CHI,20,0
TEN,TEN,5,5,0,0,ATL,17,0
PHI,PHI,4,6,0,0,NYG,17,1
KC,KC,4,6,0,0,NE,3,0
DEN,DEN,5,5,0,1,NYJ,17,1
MIN,MIN,2,8,0,1,OAK,21,0
WSH,WSH,3,7,0,1,DAL,24,0
GB,GB,10,0,0,1,TB,35,1
DET,DET,7,3,0,1,CAR,49,1
BAL,BAL,7,3,0,1,CIN,31,1
CLE,CLE,4,6,0,1,JAX,14,1
MIA,MIA,3,7,0,1,BUF,35,1
STL,STL,2,8,0,1,SEA,7,0
SF,SF,9,1,0,1,ARZ,23,1
CHI,CHI,7,3,0,1,SD,31,1
ATL,ATL,6,4,0,1,TEN,23,1
NYG,NYG,6,4,0,1,PHI,10,0
NE,NE,7,3,0,1,KC,34,1
