,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NO,NO,0,1,0,0,GB,34,0
TEN,TEN,0,1,0,0,JAX,14,0
BUF,BUF,1,0,0,0,KC,41,1
ATL,ATL,0,1,0,0,CHI,12,0
DET,DET,1,0,0,0,TB,27,1
PHI,PHI,1,0,0,0,STL,31,1
IND,IND,0,1,0,0,HOU,7,0
CIN,CIN,1,0,0,0,CLE,27,1
PIT,PIT,0,1,0,0,BAL,7,0
CAR,CAR,0,1,0,0,ARZ,21,0
SEA,SEA,0,1,0,0,SF,17,0
MIN,MIN,0,1,0,0,SD,17,0
NYG,NYG,0,1,0,0,WSH,14,0
DAL,DAL,0,1,0,0,NYJ,24,0
NE,NE,1,0,0,0,MIA,38,1
OAK,OAK,1,0,0,0,DEN,23,1
GB,GB,1,0,0,1,NO,42,1
JAX,JAX,1,0,0,1,TEN,16,1
KC,KC,0,1,0,1,BUF,7,0
CHI,CHI,1,0,0,1,ATL,30,1
TB,TB,0,1,0,1,DET,20,0
STL,STL,0,1,0,1,PHI,13,0
HOU,HOU,1,0,0,1,IND,34,1
CLE,CLE,0,1,0,1,CIN,17,0
BAL,BAL,1,0,0,1,PIT,35,1
ARZ,ARZ,1,0,0,1,CAR,28,1
SF,SF,1,0,0,1,SEA,33,1
SD,SD,1,0,0,1,MIN,24,1
WSH,WSH,1,0,0,1,NYG,28,1
NYJ,NYJ,1,0,0,1,DAL,27,1
MIA,MIA,0,1,0,1,NE,24,0
DEN,DEN,0,1,0,1,OAK,20,0
