,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NYJ,NYJ,8,8,0,0,MIA,17,0
BUF,BUF,6,10,0,0,NE,21,0
SF,SF,13,3,0,0,STL,34,1
CAR,CAR,6,10,0,0,NO,17,0
CHI,CHI,8,8,0,0,MIN,17,1
DET,DET,10,6,0,0,GB,41,0
WSH,WSH,5,11,0,0,PHI,10,0
IND,IND,2,14,0,0,JAX,13,0
TEN,TEN,9,7,0,0,HOU,23,1
TB,TB,4,12,0,0,ATL,24,0
SD,SD,8,8,0,0,OAK,38,1
KC,KC,7,9,0,0,DEN,7,1
PIT,PIT,12,4,0,0,CLE,13,1
BAL,BAL,12,4,0,0,CIN,24,1
SEA,SEA,7,9,0,0,ARZ,20,0
DAL,DAL,8,8,0,0,NYG,14,0
MIA,MIA,6,10,0,1,NYJ,19,1
NE,NE,13,3,0,1,BUF,49,1
STL,STL,2,14,0,1,SF,27,0
NO,NO,13,3,0,1,CAR,45,1
MIN,MIN,3,13,0,1,CHI,13,0
GB,GB,15,1,0,1,DET,45,1
PHI,PHI,8,8,0,1,WSH,34,1
JAX,JAX,5,11,0,1,IND,19,1
HOU,HOU,10,6,0,1,TEN,22,0
ATL,ATL,10,6,0,1,TB,45,1
OAK,OAK,8,8,0,1,SD,26,0
DEN,DEN,8,8,0,1,KC,3,0
CLE,CLE,4,12,0,1,PIT,9,0
CIN,CIN,9,7,0,1,BAL,16,0
ARZ,ARZ,8,8,0,1,SEA,23,1
NYG,NYG,9,7,0,1,DAL,31,1
