,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
BAL,BAL,8,8,0,0,CIN,10,0
HOU,HOU,9,7,0,0,TEN,17,0
CAR,CAR,6,10,0,0,TB,16,0
CLE,CLE,1,15,0,0,PIT,24,0
DAL,DAL,13,3,0,0,PHI,13,0
BUF,BUF,7,9,0,0,NYJ,10,0
CHI,CHI,3,13,0,0,MIN,10,0
JAX,JAX,3,13,0,0,IND,20,0
NE,NE,14,2,0,0,MIA,35,1
KC,KC,12,4,0,0,SD,37,1
ARZ,ARZ,7,8,1,0,LA,44,1
OAK,OAK,12,4,0,0,DEN,6,0
NYG,NYG,11,5,0,0,WSH,19,1
SEA,SEA,10,5,1,0,SF,25,1
NO,NO,7,9,0,0,ATL,32,0
GB,GB,10,6,0,0,DET,31,1
CIN,CIN,6,9,1,1,BAL,27,1
TEN,TEN,9,7,0,1,HOU,24,1
TB,TB,9,7,0,1,CAR,17,1
PIT,PIT,11,5,0,1,CLE,27,1
PHI,PHI,7,9,0,1,DAL,27,1
NYJ,NYJ,5,11,0,1,BUF,30,1
MIN,MIN,8,8,0,1,CHI,38,1
IND,IND,8,8,0,1,JAX,24,1
MIA,MIA,10,6,0,1,NE,14,0
SD,SD,5,11,0,1,KC,27,0
LA,LA,4,12,0,1,ARZ,6,0
DEN,DEN,9,7,0,1,OAK,24,1
WSH,WSH,8,7,1,1,NYG,10,0
SF,SF,2,14,0,1,SEA,23,0
ATL,ATL,11,5,0,1,NO,38,1
DET,DET,9,7,0,1,GB,24,0
