,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
NO,NO,4,6,0,0,CAR,20,0
PIT,PIT,5,5,0,0,CLE,24,1
BAL,BAL,5,5,0,0,DAL,17,0
JAX,JAX,2,8,0,0,DET,19,0
TEN,TEN,5,6,0,0,IND,17,0
BUF,BUF,5,5,0,0,CIN,16,1
TB,TB,5,5,0,0,KC,19,1
CHI,CHI,2,8,0,0,NYG,16,0
ARZ,ARZ,4,5,1,0,MIN,24,0
MIA,MIA,6,4,0,0,LA,14,1
NE,NE,8,2,0,0,SF,30,1
PHI,PHI,5,5,0,0,SEA,15,0
GB,GB,4,6,0,0,WSH,24,0
HOU,HOU,6,4,0,0,OAK,20,0
CAR,CAR,4,6,0,1,NO,23,1
CLE,CLE,0,11,0,1,PIT,9,0
DAL,DAL,9,1,0,1,BAL,27,1
DET,DET,6,4,0,1,JAX,26,1
IND,IND,5,5,0,1,TEN,24,1
CIN,CIN,3,6,1,1,BUF,12,0
KC,KC,7,3,0,1,TB,17,0
NYG,NYG,7,3,0,1,CHI,22,1
MIN,MIN,6,4,0,1,ARZ,30,1
LA,LA,4,6,0,1,MIA,10,0
SF,SF,1,9,0,1,NE,17,0
SEA,SEA,7,2,1,1,PHI,26,1
WSH,WSH,6,3,1,1,GB,42,1
OAK,OAK,8,2,0,1,HOU,27,1
