,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CLE,CLE,0,10,0,0,BAL,7,0
HOU,HOU,6,3,0,0,JAX,24,1
DEN,DEN,7,3,0,0,NO,25,1
LA,LA,4,5,0,0,NYJ,9,1
ATL,ATL,6,4,0,0,PHI,15,0
KC,KC,7,2,0,0,CAR,20,1
CHI,CHI,2,7,0,0,TB,10,0
MIN,MIN,5,4,0,0,WSH,20,0
GB,GB,4,5,0,0,TEN,25,0
MIA,MIA,5,4,0,0,SD,31,1
SF,SF,1,8,0,0,ARZ,20,0
DAL,DAL,8,1,0,0,PIT,35,1
SEA,SEA,6,2,1,0,NE,31,1
CIN,CIN,3,5,1,0,NYG,20,0
BAL,BAL,5,4,0,1,CLE,28,1
JAX,JAX,2,7,0,1,HOU,21,0
NO,NO,4,5,0,1,DEN,23,0
NYJ,NYJ,3,7,0,1,LA,6,0
PHI,PHI,5,4,0,1,ATL,24,1
CAR,CAR,3,6,0,1,KC,17,0
TB,TB,4,5,0,1,CHI,36,1
WSH,WSH,5,3,1,1,MIN,26,1
TEN,TEN,5,5,0,1,GB,47,1
SD,SD,4,6,0,1,MIA,24,0
ARZ,ARZ,4,4,1,1,SF,23,1
PIT,PIT,4,5,0,1,DAL,30,0
NE,NE,7,2,0,1,SEA,24,0
NYG,NYG,6,3,0,1,CIN,21,1
