,Team,Wins,Losses,Ties,Home,Opponent,Points,Victory
CAR,CAR,0,1,0,0,DEN,20,0
GB,GB,1,0,0,0,JAX,27,1
SD,SD,0,1,0,0,KC,27,0
OAK,OAK,1,0,0,0,NO,35,1
CIN,CIN,1,0,0,0,NYJ,23,1
CLE,CLE,0,1,0,0,PHI,10,0
MIN,MIN,1,0,0,0,TEN,25,1
CHI,CHI,0,1,0,0,HOU,14,0
BUF,BUF,0,1,0,0,BAL,7,0
TB,TB,1,0,0,0,ATL,31,1
MIA,MIA,0,1,0,0,SEA,10,0
NYG,NYG,1,0,0,0,DAL,20,1
DET,DET,1,0,0,0,IND,39,1
NE,NE,1,0,0,0,ARZ,23,1
PIT,PIT,1,0,0,0,WSH,38,1
LA,LA,0,1,0,0,SF,0,0
DEN,DEN,1,0,0,1,CAR,21,1
JAX,JAX,0,1,0,1,GB,23,0
KC,KC,1,0,0,1,SD,33,1
NO,NO,0,1,0,1,OAK,34,0
NYJ,NYJ,0,1,0,1,CIN,22,0
PHI,PHI,1,0,0,1,CLE,29,1
TEN,TEN,0,1,0,1,MIN,16,0
HOU,HOU,1,0,0,1,CHI,23,1
BAL,BAL,1,0,0,1,BUF,13,1
ATL,ATL,0,1,0,1,TB,24,0
SEA,SEA,1,0,0,1,MIA,12,1
DAL,DAL,0,1,0,1,NYG,19,0
IND,IND,0,1,0,1,DET,35,0
ARZ,ARZ,0,1,0,1,NE,21,0
WSH,WSH,0,1,0,1,PIT,16,0
SF,SF,1,0,0,1,LA,28,1
