,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,12,22,42,0.524,260,6.2,12.0,3,2,75.5,1,3,15,0,0,21,24,84,3.5,1,3,1,14,3,3,1.0,47,0,5,5,1.0,0,31,4,147,36.8,25,0,0,0.0,0,0,4,26,6.5,0,17,1,6,54,44,10,7,72,2,1,4,1,0,6,4,10,0,14,21,3,15,4,14,0.29,1,2,0.5,4,3,51,1,44,344,84,3.5,1,260,6.2,12.0,3,0,26,51,10,1,2,1,2,0
ATL,3,27,36,0.75,323,9.0,12.3,4,0,139.0,1,8,19,0,0,8,22,142,6.5,1,4,9,8,1,1,1.0,22,0,5,5,1.0,0,15,4,185,46.3,22,1,10,10.0,0,10,3,39,13.0,0,16,27,32,56,46,10,2,9,1,0,1,0,0,12,2,2,0,6,25,4,19,6,11,0.55,0,0,0.0,9,2,63,2,38,465,142,6.5,1,323,9.0,12.3,4,10,39,63,10,1,1,0,0,0
BAL,10,33,51,0.647,263,5.2,8.5,0,2,61.2,3,16,14,0,0,24,16,72,4.5,1,7,24,4,1,1,1.0,30,0,1,1,1.0,0,23,4,175,43.8,23,2,19,9.5,0,19,3,38,12.7,0,17,21,27,73,27,46,1,8,0,0,0,0,0,1,2,2,0,12,22,7,14,8,16,0.5,1,3,0.33,4,1,41,27,10,335,72,4.5,1,263,5.2,8.5,0,19,38,41,24,-2,0,0,2,0
BUF,28,15,31,0.484,162,5.2,12.1,0,1,50.7,3,20,7,1,1,27,28,68,2.4,1,7,24,4,1,1,1.0,34,0,1,1,1.0,0,24,6,254,42.3,7,3,81,27.0,0,42,2,24,12.0,0,23,25,30,60,36,24,1,8,0,0,0,0,0,3,5,11,0,29,14,7,7,6,16,0.38,0,1,0.0,0,0,0,27,10,230,68,2.4,1,162,5.2,12.1,0,81,24,0,29,-3,0,0,1,2
CAR,19,18,32,0.563,207,6.5,13.2,1,3,47.3,3,30,12,0,0,11,32,128,4.0,1,6,24,4,1,4,0.25,54,0,1,1,1.0,0,27,4,164,41.0,3,2,66,33.0,0,35,1,0,0.0,0,0,10,17,53,46,7,3,14,1,0,1,1,0,6,1,1,0,19,18,6,12,4,15,0.27,2,2,1.0,4,0,45,24,16,335,128,4.0,1,207,6.5,13.2,1,66,0,45,19,-1,1,1,3,0
CHI,29,13,20,0.65,140,7.0,11.5,1,2,62.5,2,9,9,1,1,2,37,183,4.9,0,10,24,4,1,1,1.0,29,0,1,1,1.0,0,11,3,143,47.7,1,3,107,35.7,0,64,1,0,0.0,0,0,30,38,49,39,10,0,0,1,0,0,0,0,5,3,5,0,18,19,10,9,2,9,0.22,1,2,0.5,6,0,49,27,10,323,183,4.9,0,140,7.0,11.5,1,107,0,49,32,-4,1,0,2,3
CIN,18,18,28,0.643,218,7.8,12.6,1,0,100.0,1,8,13,0,0,5,38,153,4.0,2,10,5,9,2,2,1.0,24,0,3,3,1.0,0,6,5,247,49.4,19,1,14,14.0,0,14,2,15,7.5,0,15,3,10,65,38,27,3,16,2,0,0,0,0,7,2,3,0,6,25,10,13,1,8,0.13,0,0,0.0,2,2,20,9,27,371,153,4.0,2,218,7.8,12.6,1,14,15,20,5,2,2,0,0,0
CLE,20,29,40,0.725,206,5.2,8.0,2,1,90.2,4,26,13,1,0,1,33,231,7.0,1,12,15,6,1,2,0.5,34,0,3,3,1.0,0,12,4,190,47.5,6,2,60,30.0,0,36,3,26,8.7,0,17,21,27,58,49,9,4,34,1,0,0,0,0,5,4,19,0,2,27,12,13,8,15,0.53,0,0,0.0,5,2,37,14,24,437,231,7.0,1,206,5.2,8.0,2,60,26,37,29,-3,1,0,1,3
DAL,31,16,29,0.552,126,4.3,9.4,1,2,48.9,3,25,9,0,0,25,21,69,3.3,0,4,13,7,2,2,1.0,49,0,1,1,1.0,0,29,5,195,39.0,16,3,45,15.0,0,20,3,23,7.7,0,12,21,27,61,49,12,2,13,0,0,0,0,0,2,6,18,0,28,15,4,9,5,12,0.42,0,0,0.0,5,2,35,26,13,195,69,3.3,0,126,4.3,9.4,1,45,23,35,24,-2,0,0,2,0
DEN,20,17,27,0.63,206,7.6,12.1,2,1,95.6,0,0,8,0,0,7,40,143,3.6,1,5,15,6,1,2,0.5,22,0,3,3,1.0,0,21,5,224,44.8,21,2,24,12.0,0,12,4,50,12.5,0,25,1,6,45,35,10,2,7,1,0,3,2,0,4,1,1,0,19,18,5,8,5,15,0.33,1,3,0.33,5,5,43,14,24,349,143,3.6,1,206,7.6,12.1,2,24,50,43,5,2,1,2,1,0
