,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,27,11,28,0.393,116,4.1,11.3,2,0,75.9,1,8,6,0,0,4,37,172,4.6,2,10,11,7,1,1,1.0,36,0,4,4,1.0,0,20,9,382,42.4,3,2,53,26.5,0,39,4,25,6.3,0,10,13,21,67,48,19,7,27,2,0,2,1,0,5,4,4,1,21,17,10,6,5,16,0.31,0,0,0.0,7,1,50,2,33,288,172,4.6,2,116,4.1,11.3,2,53,25,50,2,3,2,1,0,0
ATL,10,15,28,0.536,250,8.9,17.8,1,0,95.8,2,17,10,0,0,9,32,122,3.8,1,8,4,11,3,3,1.0,46,0,2,2,1.0,0,2,3,185,61.7,20,1,17,17.0,0,17,1,7,7.0,0,7,7,16,65,40,25,6,40,1,0,3,0,0,3,0,0,0,16,19,8,10,2,12,0.17,2,3,0.67,7,1,78,12,23,372,122,3.8,1,250,8.9,17.8,1,17,7,78,14,0,1,0,0,1
BAL,19,30,47,0.638,188,4.0,7.0,1,0,79.0,3,22,12,0,0,10,19,118,6.2,0,5,22,4,1,1,1.0,31,0,1,1,1.0,0,9,8,381,47.6,18,1,19,19.0,0,19,1,0,0.0,0,0,7,16,53,37,16,1,10,1,0,1,1,0,1,3,4,0,17,18,5,12,3,15,0.2,1,3,0.33,9,1,65,28,10,306,118,6.2,0,188,4.0,7.0,1,19,0,65,6,1,1,1,0,1
BUF,28,12,23,0.522,112,4.9,10.3,2,0,94.8,2,12,6,0,0,2,27,193,7.1,1,8,18,6,1,1,1.0,23,0,3,4,0.75,1,13,6,276,46.0,11,4,90,22.5,0,27,2,-2,-1.0,0,0,12,19,59,46,13,4,28,2,1,2,1,0,4,2,9,0,26,15,8,6,4,12,0.33,0,0,0.0,7,1,60,7,30,305,193,7.1,1,112,4.9,10.3,2,90,-2,60,2,3,2,1,0,0
CAR,7,18,28,0.643,278,9.9,15.4,0,2,67.3,0,0,14,0,0,7,25,136,5.4,2,5,26,2,0,1,0.0,0,0,2,2,1.0,0,17,4,177,44.3,15,1,21,21.0,0,0,2,6,3.0,0,0,10,17,72,36,36,2,17,0,0,1,0,0,1,6,12,0,12,20,5,14,1,8,0.13,1,1,1.0,7,1,60,23,14,414,136,5.4,2,278,9.9,15.4,0,21,6,60,28,-4,0,0,2,2
CHI,2,33,43,0.767,397,9.2,12.0,2,0,120.0,0,0,17,0,0,8,19,125,6.6,0,7,4,11,3,4,0.75,49,0,2,2,1.0,0,13,2,92,46.0,5,3,73,24.3,0,32,0,0,0.0,0,0,20,29,56,42,14,5,24,0,0,1,0,0,5,1,1,0,3,25,7,17,2,9,0.22,0,1,0.0,10,1,80,12,23,522,125,6.6,0,397,9.2,12.0,2,73,0,80,16,-1,0,0,0,1
CIN,12,29,41,0.707,249,6.1,9.3,2,0,102.6,4,20,16,0,0,16,19,96,5.1,0,7,26,2,0,1,0.0,0,0,2,2,1.0,0,23,5,196,39.2,8,3,69,23.0,0,24,1,0,0.0,0,0,19,28,45,33,12,1,5,0,0,1,1,0,2,3,10,0,2,27,7,16,5,12,0.42,1,1,1.0,6,4,49,23,14,345,96,5.1,0,249,6.1,9.3,2,69,0,49,6,1,0,1,0,0
CLE,15,20,35,0.571,235,6.7,12.5,2,1,84.8,2,14,12,0,0,28,22,27,1.2,0,2,28,1,0,0,0.0,0,0,1,1,1.0,0,16,6,267,44.5,24,4,63,15.8,0,21,3,25,8.3,0,12,26,33,69,45,24,1,3,0,0,0,0,0,3,1,3,0,21,17,2,12,5,13,0.38,0,1,0.0,5,3,35,25,13,262,27,1.2,0,235,6.7,12.5,2,63,25,35,16,-1,0,0,1,0
DAL,17,18,24,0.75,222,9.3,12.6,1,0,117.0,1,5,12,1,1,3,29,180,6.2,3,8,22,4,0,0,0.0,0,0,4,4,1.0,0,18,2,87,43.5,11,2,45,22.5,0,30,2,10,5.0,0,10,5,14,63,39,24,4,20,0,0,0,0,0,4,1,1,0,10,21,8,12,4,8,0.5,0,0,0.0,7,1,45,10,28,402,180,6.2,3,222,9.3,12.6,1,45,10,45,16,-1,0,0,0,1
DEN,20,23,35,0.657,183,5.2,9.7,1,1,76.3,6,40,10,2,0,19,24,84,3.5,0,5,8,10,3,3,1.0,46,0,1,1,1.0,0,8,6,290,48.3,13,3,65,21.7,0,23,1,17,17.0,0,17,14,23,57,37,20,2,17,0,0,1,1,0,4,2,5,0,17,18,5,10,4,16,0.25,4,4,1.0,8,3,57,20,16,267,84,3.5,0,183,5.2,9.7,1,65,17,57,14,0,0,1,1,0
DET,22,19,25,0.76,164,6.6,9.5,3,0,132.3,4,16,10,1,1,20,27,80,3.0,0,6,18,6,1,1,1.0,29,0,3,3,1.0,0,4,3,159,53.0,23,2,33,16.5,0,21,0,0,0.0,0,0,14,23,48,44,4,3,8,1,0,2,1,0,6,0,0,0,10,21,6,10,3,9,0.33,2,2,1.0,2,5,18,11,24,244,80,3.0,0,164,6.6,9.5,3,33,0,18,6,1,1,1,0,1
GB,8,23,45,0.511,259,5.8,11.3,2,2,65.0,0,0,13,0,0,6,32,147,4.6,0,9,4,11,3,3,1.0,44,0,2,2,1.0,0,26,4,146,36.5,15,2,42,21.0,0,24,1,3,3.0,0,3,7,16,46,29,17,4,21,0,0,1,1,0,8,3,3,0,6,23,9,13,9,19,0.47,0,0,0.0,6,1,57,12,23,406,147,4.6,0,259,5.8,11.3,2,42,3,57,16,-1,0,1,2,0
HOU,24,19,42,0.452,155,3.7,9.7,1,1,53.2,4,29,8,1,0,25,14,59,4.2,0,4,11,7,2,3,0.667,38,0,1,1,1.0,0,5,5,257,51.4,10,3,68,22.7,0,33,3,47,15.7,0,18,23,31,68,42,26,2,16,0,0,0,0,0,4,6,14,0,24,16,4,8,1,13,0.08,0,1,0.0,4,4,15,25,13,214,59,4.2,0,155,3.7,9.7,1,68,47,15,16,-1,0,0,1,0
IND,6,28,39,0.718,298,7.6,11.5,2,0,110.8,5,24,14,0,0,14,21,98,4.7,0,5,1,17,5,5,1.0,54,0,2,2,1.0,0,1,3,190,63.3,5,3,73,24.3,0,39,1,20,20.0,0,20,14,23,53,43,10,0,0,0,0,3,1,0,1,1,2,0,12,20,5,14,3,12,0.25,1,1,1.0,9,1,68,9,29,396,98,4.7,0,298,7.6,11.5,2,73,20,68,6,1,0,1,0,0
LA,14,21,31,0.677,243,7.8,12.9,0,2,64.3,4,28,11,0,0,13,29,102,3.5,1,9,3,13,4,4,1.0,54,0,1,1,1.0,0,3,2,109,54.5,14,4,85,21.3,0,23,2,2,1.0,0,5,21,30,42,35,7,2,12,0,0,0,0,0,4,3,6,0,6,23,9,11,4,12,0.33,0,2,0.0,6,3,40,17,19,345,102,3.5,1,243,7.8,12.9,0,85,2,40,25,-3,0,0,2,1
MIA,25,12,18,0.667,149,8.3,15.9,0,2,52.5,6,42,5,0,0,26,17,51,3.0,1,3,21,5,1,1,1.0,24,0,2,2,1.0,0,7,6,298,49.7,7,2,47,23.5,0,26,2,86,43.0,1,74,21,30,65,45,20,0,0,0,0,1,0,0,0,4,9,0,28,8,3,5,4,11,0.36,0,0,0.0,8,0,83,18,17,200,51,3.0,1,149,8.3,15.9,0,47,86,83,24,-2,0,0,2,0
MIN,9,22,30,0.733,255,8.5,12.3,2,0,120.8,2,16,13,0,0,16,37,96,2.6,1,8,11,7,1,1,1.0,19,0,4,4,1.0,0,12,5,231,46.2,22,3,50,16.7,0,17,4,100,25.0,1,79,2,13,42,28,14,4,29,1,0,1,0,0,8,0,0,0,9,22,8,13,7,14,0.5,0,0,0.0,9,1,97,4,31,351,96,2.6,1,255,8.5,12.3,2,50,100,97,6,1,1,0,0,0
NE,1,28,41,0.683,403,9.8,14.5,3,0,124.3,1,3,15,0,0,14,35,98,2.8,1,7,11,7,1,2,0.5,31,0,4,4,1.0,0,22,5,209,41.8,26,2,18,9.0,0,9,2,12,6.0,0,12,2,13,44,34,10,2,14,1,0,1,0,0,3,4,11,1,5,24,7,15,9,17,0.53,0,1,0.0,5,2,61,2,33,501,98,2.8,1,403,9.8,14.5,3,18,12,61,6,1,1,0,0,0
NYG,21,18,35,0.514,178,5.1,11.1,1,0,75.7,4,21,12,1,1,27,15,43,2.9,0,2,8,10,3,3,1.0,47,0,1,1,1.0,0,24,6,235,39.2,2,4,140,35.0,0,42,1,6,6.0,0,6,14,23,62,43,19,0,0,2,0,0,0,0,10,3,5,0,27,14,2,12,4,13,0.31,0,0,0.0,6,0,51,20,16,221,43,2.9,0,178,5.1,11.1,1,140,6,51,6,1,2,0,0,1
NYJ,13,25,38,0.658,244,6.4,10.2,1,0,92.4,3,11,12,1,0,21,17,72,4.2,0,4,11,7,2,2,1.0,48,0,1,1,1.0,0,19,6,260,43.3,4,1,25,25.0,0,25,0,0,0.0,0,0,23,31,61,47,14,1,5,0,0,2,1,0,5,1,3,0,24,16,4,12,2,11,0.18,0,1,0.0,4,0,18,25,13,316,72,4.2,0,244,6.4,10.2,1,25,0,18,6,1,0,1,0,0
OAK,5,25,40,0.625,300,7.5,12.7,2,1,91.7,3,17,12,0,0,18,25,89,3.6,1,6,2,14,4,5,0.8,56,0,2,2,1.0,0,10,3,139,46.3,27,0,0,0.0,0,0,0,0,0.0,0,0,23,31,44,30,14,2,8,2,0,3,2,0,5,2,2,0,12,20,6,12,5,14,0.36,1,1,1.0,6,2,36,1,34,389,89,3.6,1,300,7.5,12.7,2,0,0,36,2,3,2,2,1,0
