,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,4,29,49,0.592,311,6.3,11.8,0,0,77.8,4,31,14,1,0,11,37,132,3.6,0,6,18,6,2,4,0.5,46,1,0,0,0.0,0,30,7,229,32.7,24,0,0,0.0,0,0,6,33,5.5,0,13,1,6,49,45,4,1,20,0,0,2,0,0,2,3,4,0,9,23,6,14,10,21,0.48,0,1,0.0,6,3,45,29,6,443,132,3.6,0,311,6.3,11.8,0,0,33,45,13,0,0,0,0,0
ATL,11,22,34,0.647,256,7.5,12.4,1,1,84.9,3,17,13,0,0,12,26,130,5.0,1,8,3,12,3,4,0.75,42,0,3,3,1.0,0,5,2,101,50.5,18,1,14,14.0,0,0,1,0,0.0,0,0,27,33,62,46,16,4,23,1,0,1,1,1,7,5,6,0,12,21,8,13,6,12,0.5,0,1,0.0,9,0,70,6,30,386,130,5.0,1,256,7.5,12.4,1,14,0,70,7,1,1,1,1,0
BAL,14,25,44,0.568,234,5.3,9.9,0,2,52.7,2,14,11,0,0,30,11,11,1.0,0,0,4,10,3,3,1.0,50,0,1,1,1.0,0,4,6,305,50.8,24,0,0,0.0,0,0,3,9,3.0,0,0,17,24,71,31,40,5,26,0,0,1,2,1,2,3,5,0,29,11,0,11,3,14,0.21,0,1,0.0,4,0,35,22,16,245,11,1.0,0,234,5.3,9.9,0,0,9,35,19,-1,0,2,2,1
BUF,19,14,28,0.5,200,7.1,15.8,1,0,85.4,4,21,9,0,0,27,22,67,3.0,2,4,21,5,1,1,1.0,29,0,2,2,1.0,0,19,7,316,45.1,9,3,63,21.0,0,25,1,30,30.0,0,30,24,28,58,49,9,1,6,0,0,0,0,0,6,2,3,0,23,16,4,9,3,13,0.23,0,0,0.0,6,3,45,13,25,267,67,3.0,2,200,7.1,15.8,1,63,30,45,13,0,0,0,0,0
CHI,29,10,26,0.385,120,4.6,13.0,0,2,21.3,1,10,9,0,0,26,18,69,3.8,0,3,26,4,1,1,1.0,39,0,1,1,1.0,0,20,5,225,45.0,18,2,28,14.0,0,0,0,0,0.0,0,0,19,26,72,53,19,2,23,0,0,2,1,1,4,0,0,0,27,13,3,9,2,8,0.25,0,0,0.0,10,1,108,25,10,189,69,3.8,0,120,4.6,13.0,0,28,0,108,19,-1,0,1,2,0
CIN,6,19,28,0.679,288,10.3,16.2,2,0,125.3,3,20,12,0,0,1,30,271,9.0,2,11,16,7,1,3,0.333,36,0,4,4,1.0,0,21,2,89,44.5,7,1,23,23.0,0,23,2,3,1.5,0,3,10,17,56,40,16,2,10,2,0,0,0,0,7,3,8,0,9,23,11,12,5,10,0.5,0,0,0.0,3,0,30,5,31,559,271,9.0,2,288,10.3,16.2,2,23,3,30,7,1,2,0,0,1
CLE,25,21,35,0.6,172,4.9,8.7,0,2,48.8,2,10,11,0,0,5,26,180,6.9,2,10,21,5,1,1,1.0,28,0,2,2,1.0,0,25,5,209,41.8,15,1,18,18.0,0,18,1,3,3.0,0,3,26,31,55,37,18,3,20,0,0,1,1,0,2,1,2,0,11,22,10,11,6,14,0.43,0,0,0.0,5,1,35,18,17,352,180,6.9,2,172,4.9,8.7,0,18,3,35,19,-1,0,1,2,0
DEN,26,14,25,0.56,157,6.3,11.2,1,0,88.3,0,0,8,0,0,4,35,190,5.4,2,11,9,9,2,2,1.0,32,0,3,3,1.0,0,23,6,255,42.5,12,1,19,19.0,0,0,3,33,11.0,0,0,3,9,61,33,28,1,0,0,0,2,2,0,7,0,0,0,18,19,11,8,3,11,0.27,0,0,0.0,7,0,83,8,27,347,190,5.4,2,157,6.3,11.2,1,19,33,83,3,2,0,2,0,0
DET,12,18,29,0.621,250,8.6,14.8,1,0,101.2,3,16,13,1,0,20,19,94,4.9,1,5,12,8,2,3,0.667,43,0,2,2,1.0,0,2,3,153,51.0,24,0,0,0.0,0,0,0,0,0.0,0,0,10,17,71,50,21,2,18,0,0,3,2,0,3,0,0,0,18,19,5,13,3,9,0.33,0,0,0.0,4,1,30,17,20,344,94,4.9,1,250,8.6,14.8,1,0,0,30,3,2,0,2,0,0
GB,5,39,56,0.696,303,5.4,8.4,3,0,100.5,2,23,21,1,1,18,23,103,4.5,0,5,12,8,2,3,0.667,40,1,2,3,0.667,0,14,1,46,46.0,17,2,35,17.5,0,0,1,6,6.0,0,0,4,10,38,25,13,1,10,2,0,0,0,0,9,2,2,0,1,32,5,21,9,16,0.56,1,2,0.5,9,6,56,11,26,406,103,4.5,0,303,5.4,8.4,3,35,6,56,7,1,2,0,0,1
HOU,28,22,41,0.537,131,3.2,6.0,0,0,60.1,1,0,8,1,1,9,25,140,5.6,0,5,9,9,3,3,1.0,43,0,0,0,0.0,0,9,5,242,48.4,18,3,42,14.0,0,0,2,11,5.5,0,0,21,27,52,36,16,0,0,0,0,0,0,0,2,0,0,0,26,14,5,8,7,18,0.39,0,2,0.0,2,1,15,28,9,271,140,5.6,0,131,3.2,6.0,0,42,11,15,25,-2,0,0,0,2
IND,3,27,39,0.692,341,8.7,13.1,3,0,121.8,2,12,16,0,0,23,24,81,3.4,0,7,4,10,2,2,1.0,33,0,4,4,1.0,0,2,4,204,51.0,2,1,31,31.0,0,0,2,18,9.0,0,0,19,26,55,39,16,3,25,0,0,1,1,1,4,1,4,0,4,26,7,16,4,10,0.4,0,0,0.0,12,3,131,1,34,422,81,3.4,0,341,8.7,13.1,3,31,18,131,7,1,0,1,0,0
JAX,13,23,43,0.535,239,5.6,10.7,1,2,58.2,1,7,11,0,0,16,16,105,6.6,0,4,4,10,3,3,1.0,44,0,1,1,1.0,0,12,5,239,47.8,6,4,93,23.3,0,0,5,20,4.0,0,0,27,33,51,49,2,0,0,0,0,0,0,0,1,4,12,0,18,19,4,11,4,13,0.31,0,0,0.0,13,4,112,22,16,344,105,6.6,0,239,5.6,10.7,1,93,20,112,29,-3,0,0,2,1
KC,16,17,24,0.708,214,8.9,12.6,2,0,126.0,0,0,11,0,0,15,28,112,4.0,0,7,9,9,2,2,1.0,41,0,3,3,1.0,0,11,4,191,47.8,12,1,19,19.0,0,0,1,0,0.0,0,0,15,21,63,49,14,1,8,1,1,2,1,0,4,2,4,0,15,20,7,11,3,9,0.33,0,0,0.0,4,2,30,8,27,326,112,4.0,0,214,8.9,12.6,2,19,0,30,3,2,1,1,0,0
