,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ATL,12,30,45,0.667,285,6.3,10.1,1,0,91.4,2,18,15,0,0,26,14,17,1.2,0,2,7,10,3,3,1.0,44,0,1,1,1.0,0,14,7,304,43.4,4,4,115,28.8,0,50,4,76,19.0,0,41,4,17,58,45,13,0,0,2,0,0,0,0,4,3,5,0,22,17,2,15,5,15,0.33,0,0,0.0,6,0,63,24,16,302,17,1.2,0,285,6.3,10.1,1,115,76,63,2,2,2,0,0,0
BUF,24,11,12,0.917,154,12.8,16.5,1,0,146.5,3,27,7,0,0,1,36,266,7.4,3,10,13,7,1,1,1.0,43,0,4,4,1.0,0,3,3,150,50.0,23,3,32,10.7,0,17,0,0,0.0,0,0,4,17,58,50,8,2,27,0,0,1,1,0,5,1,2,1,19,18,10,7,8,13,0.62,0,0,0.0,13,1,94,5,33,420,266,7.4,3,154,12.8,16.5,1,32,0,94,5,1,0,1,0,0
CAR,9,15,30,0.5,297,9.9,19.8,3,1,104.4,0,0,10,0,0,12,36,130,3.6,1,9,2,13,3,4,0.75,49,0,4,4,1.0,0,6,6,289,48.2,17,2,33,16.5,0,25,5,35,7.0,0,11,18,29,57,35,22,5,38,1,0,2,1,0,7,2,2,0,15,20,9,10,5,15,0.33,0,0,0.0,6,1,45,2,37,427,130,3.6,1,297,9.9,19.8,3,33,35,45,5,1,1,1,1,0
CHI,5,27,40,0.675,337,8.4,12.8,2,1,99.7,1,8,20,1,1,16,29,109,3.8,1,5,26,2,0,2,0.0,0,0,2,2,1.0,0,16,2,85,42.5,13,2,46,23.0,0,30,2,22,11.0,0,12,8,19,53,46,7,2,18,0,0,1,1,0,6,0,0,0,6,25,5,20,9,15,0.6,0,0,0.0,6,0,55,17,22,446,109,3.8,1,337,8.4,12.8,2,46,22,55,16,-1,0,1,1,1
CIN,19,21,27,0.778,219,8.1,11.1,3,0,137.5,2,15,13,0,0,6,37,152,4.1,1,8,13,7,1,1,1.0,28,0,4,4,1.0,0,26,3,79,26.3,21,1,13,13.0,0,13,3,9,3.0,0,5,1,10,36,32,4,3,24,0,0,0,0,0,5,2,9,0,12,23,8,13,8,14,0.57,1,1,1.0,2,2,20,8,31,371,152,4.1,1,219,8.1,11.1,3,13,9,20,12,0,0,0,0,0
CLE,26,15,33,0.455,144,4.4,11.2,1,0,68.2,3,24,9,0,0,21,17,69,4.1,0,4,21,4,1,1,1.0,27,0,1,1,1.0,0,10,6,274,45.7,15,2,42,21.0,0,29,1,0,0.0,0,0,19,31,59,45,14,2,15,0,0,0,0,0,2,4,8,0,26,13,4,9,4,13,0.31,1,2,0.5,4,0,28,25,10,213,69,4.1,0,144,4.4,11.2,1,42,0,28,12,0,0,0,0,0
DAL,13,25,38,0.658,277,7.3,12.0,3,1,102.6,4,22,11,2,0,10,29,134,4.6,0,8,8,9,2,2,1.0,44,0,3,3,1.0,0,13,4,175,43.8,1,1,79,79.0,0,79,2,5,2.5,0,6,21,33,65,46,19,1,8,0,0,0,0,0,4,3,9,0,6,25,8,11,8,16,0.5,2,2,1.0,8,6,58,12,27,411,134,4.6,0,277,7.3,12.0,3,79,5,58,16,-1,0,0,1,0
DEN,14,21,36,0.583,274,7.6,13.4,2,2,77.8,1,7,13,0,0,24,14,35,2.5,0,2,17,6,1,1,1.0,29,0,3,3,1.0,0,15,5,215,43.0,2,2,69,34.5,0,41,1,83,83.0,1,83,13,27,80,36,44,1,7,0,0,0,0,0,7,6,12,0,23,16,2,13,6,12,0.5,0,0,0.0,8,1,56,15,24,309,35,2.5,0,274,7.6,13.4,2,69,83,56,23,-2,0,0,2,0
GB,6,25,48,0.521,331,6.9,14.8,4,1,93.3,5,38,16,1,0,20,19,71,3.7,0,3,25,3,0,0,0.0,0,0,3,3,1.0,0,12,8,357,44.6,12,3,71,23.7,0,30,4,18,4.5,0,15,25,37,62,32,30,0,0,1,0,0,0,0,4,5,24,0,13,21,3,16,3,14,0.21,2,3,0.67,7,2,87,9,29,402,71,3.7,0,331,6.9,14.8,4,71,18,87,16,-1,1,0,1,1
IND,18,21,36,0.583,245,6.8,12.0,2,0,97.6,1,7,13,0,0,13,40,120,3.0,1,7,8,9,2,2,1.0,55,0,3,3,1.0,0,11,5,226,45.2,17,2,33,16.5,0,23,3,2,0.7,0,3,12,24,36,28,8,1,7,2,0,0,0,0,5,4,10,0,3,27,7,13,12,20,0.6,0,0,0.0,4,7,30,12,27,365,120,3.0,1,245,6.8,12.0,2,33,2,30,2,2,2,0,0,0
