,Passing Rank,Completions,Attempts,Completion %,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Interceptions,QB Rating,Sacks,Passing Yardage Lost to Sacks,First Downs Passing,Fumbles,Fumbles Lost,Rushing Rank,Attempts,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,First Downs Rushing,Kicking Rank,Kicking Points,Field Goals Made,Field Goals Attempted,Field Goal %,Longest Field Goal,Field Goals Blocked,Extra Points Made,Extra Points Attempted,Extra Point %,Extra Points Blocked,Punting Rank,Punts,Punt Yards,Punt Yards Avg,Returning Rank,Kickoff Returns,Kickoff Return Yards,Kickoff Return Avg,Kickoff Return Touchdowns,Kickoff Return Long,Punt Returns,Punt Return Yards,Punt Return Avg,Punt Return Touchdowns,Punt Return Long,Defense Rank,Points Allowed,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Return Touchdowns,Forced Fumbles,Fumbles Opp Recovered,Fumbles Opp Recovered Touchdowns,Passes Defended,Stuffs,Stuff Yards,Safeties,Downs Rank,First Downs,First Downs Rushing,First Downs Passing,Third Downs Made,Third Downs Attempted,Third Down %,Fourth Downs Made,Fourth Downs Attempted,Fourth Down %,Penalties,First Downs Penalty,Penalty Yards,Yardage Rank,Points,Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Touchdowns,Passing Yards,Passing Yards / Attempt,Yards / Reception,Passing Touchdowns,Kickoff Return Yards,Punt Return Yards,Penalty Yards,Turnovers Rank,Turnover +/-,Interceptions,Fumbles Opp Recovered,Interceptions,Fumbles Lost
ARZ,6,25,35,0.714,296,8.5,12.4,2,0,115.9,2,14,16,0,0,17,29,97,3.3,0,6,4,11,3,3,1.0,47,0,2,2,1.0,0,25,3,133,44.3,9,1,23,23.0,0,23,1,4,4.0,0,4,14,20,53,48,5,3,18,0,0,3,3,0,2,6,17,0,10,22,6,16,6,13,0.46,1,1,1.0,4,0,30,13,23,393,97,3.3,0,296,8.5,12.4,2,23,4,30,2,3,0,3,0,0
ATL,26,25,41,0.61,176,4.3,9.4,0,2,50.5,5,59,11,2,1,27,16,54,3.4,0,3,31,0,0,0,0.0,0,0,0,0,0.0,0,16,5,228,45.6,2,2,62,31.0,0,35,3,10,3.3,0,11,31,38,60,33,27,2,19,0,0,0,0,0,3,1,3,0,25,15,3,11,4,14,0.29,1,4,0.25,6,1,54,32,0,230,54,3.4,0,176,4.3,9.4,0,62,10,54,32,-4,0,0,2,2
BAL,11,23,40,0.575,274,6.9,11.9,0,1,68.1,1,0,13,0,0,30,14,28,2.0,0,0,14,6,2,2,1.0,30,0,0,0,0.0,0,21,5,226,45.2,24,0,0,0.0,0,0,3,46,15.3,0,24,30,35,69,35,34,0,0,0,0,1,1,0,3,4,7,0,23,16,0,13,3,11,0.27,0,1,0.0,9,3,94,29,6,302,28,2.0,0,274,6.9,11.9,0,0,46,94,23,-1,0,1,1,1
BUF,14,19,36,0.528,260,7.2,14.1,1,1,73.8,1,8,11,0,0,7,32,152,4.8,1,7,9,8,2,2,1.0,40,0,2,2,1.0,0,22,7,315,45.0,22,1,5,5.0,0,5,5,50,10.0,0,14,19,23,56,48,8,1,15,1,0,0,0,0,5,3,5,0,18,18,7,11,6,16,0.38,0,0,0.0,15,0,101,17,20,412,152,4.8,1,260,7.2,14.1,1,5,50,101,23,-1,1,0,1,1
CAR,8,19,27,0.704,282,10.4,15.8,3,0,141.3,2,19,12,0,0,9,32,142,4.4,2,7,9,8,1,1,1.0,38,0,5,5,1.0,0,3,4,196,49.0,24,0,0,0.0,0,0,0,0,0.0,0,0,1,0,57,35,22,5,59,2,0,4,2,0,4,2,5,0,14,20,7,12,6,12,0.5,0,1,0.0,6,1,60,2,38,424,142,4.4,2,282,10.4,15.8,3,0,0,60,1,4,2,2,0,0
CHI,7,19,31,0.613,290,9.4,16.6,2,0,113.6,3,25,14,1,1,20,22,87,4.0,1,4,25,3,0,1,0.0,0,0,3,3,1.0,0,16,5,228,45.6,17,2,38,19.0,0,22,1,16,16.0,0,16,21,24,58,50,8,3,25,1,0,0,0,0,2,4,8,0,14,20,4,14,5,11,0.45,0,0,0.0,7,2,79,15,21,377,87,4.0,1,290,9.4,16.6,2,38,16,79,11,0,1,0,0,1
CIN,2,25,37,0.676,321,8.7,13.6,2,3,78.8,3,18,14,0,0,26,16,64,4.0,0,5,9,8,2,3,0.667,46,0,2,2,1.0,0,6,2,96,48.0,10,3,68,22.7,0,27,0,0,0.0,0,0,29,33,63,48,15,2,12,1,0,0,0,0,4,1,1,0,10,22,5,14,3,8,0.38,0,0,0.0,4,3,27,17,20,385,64,4.0,0,321,8.7,13.6,2,68,0,27,28,-2,1,0,3,0
CLE,16,21,31,0.677,251,8.1,12.9,1,1,89.6,2,19,14,0,0,1,41,230,5.6,2,11,14,6,1,2,0.5,26,1,3,3,1.0,0,31,3,119,39.7,24,0,0,0.0,0,0,3,11,3.7,0,11,7,10,48,40,8,9,44,0,0,1,0,0,4,1,1,0,2,28,11,14,6,12,0.5,0,0,0.0,8,3,71,9,24,481,230,5.6,2,251,8.1,12.9,1,0,11,71,28,-2,0,0,1,1
DAL,31,13,29,0.448,99,3.4,8.8,0,1,39.3,2,15,5,0,0,5,20,171,8.6,1,5,29,1,0,0,0.0,0,0,1,1,1.0,0,12,7,325,46.4,12,1,22,22.0,0,22,3,-6,-2.0,0,-2,26,28,84,53,31,2,13,0,0,0,0,0,1,6,14,0,30,11,5,5,1,11,0.09,0,2,0.0,6,1,30,28,7,270,171,8.6,1,99,3.4,8.8,0,22,-6,30,23,-1,0,0,1,0
DEN,9,35,51,0.686,276,5.4,8.8,0,0,81.8,5,32,14,1,0,29,21,34,1.6,0,3,2,12,4,5,0.8,41,0,0,0,0.0,0,24,4,178,44.5,24,0,0,0.0,0,0,3,17,5.7,0,9,11,15,32,32,0,3,36,0,0,2,0,0,6,1,5,0,14,20,3,14,4,18,0.22,1,3,0.33,4,3,27,24,12,310,34,1.6,0,276,5.4,8.8,0,0,17,27,28,-2,0,0,0,2
DET,22,30,46,0.652,220,4.8,8.2,2,1,81.8,4,25,13,1,0,15,20,111,5.6,0,9,28,2,0,0,0.0,0,0,2,2,1.0,0,13,7,322,46.0,15,1,21,21.0,0,21,2,11,5.5,0,7,17,21,42,40,2,1,10,1,0,0,0,0,2,4,11,0,10,22,9,13,5,13,0.38,0,1,0.0,5,0,45,23,14,331,111,5.6,0,220,4.8,8.2,2,21,11,45,11,0,1,0,1,0
GB,23,22,35,0.629,205,5.9,9.9,2,0,97.9,2,13,12,0,0,1,44,230,5.2,2,15,22,4,0,0,0.0,0,0,4,4,1.0,0,9,6,282,47.0,16,2,40,20.0,0,21,4,13,3.3,0,9,5,7,39,31,8,2,15,1,0,0,0,0,5,1,1,0,1,29,15,12,7,14,0.5,0,1,0.0,8,2,69,7,28,435,230,5.2,2,205,5.9,9.9,2,40,13,69,6,1,1,0,0,0
HOU,30,12,24,0.5,102,4.3,13.3,0,0,61.5,6,57,4,2,1,20,22,87,4.0,0,2,14,6,2,2,1.0,45,0,0,0,0.0,0,20,7,317,45.3,17,1,19,19.0,0,19,3,22,7.3,0,13,25,27,69,43,26,3,29,0,0,0,1,0,2,4,5,0,32,7,2,4,3,14,0.21,0,2,0.0,4,1,36,29,6,189,87,4.0,0,102,4.3,13.3,0,19,22,36,11,0,0,1,0,1
IND,20,20,43,0.465,227,5.3,13.0,0,1,53.1,3,33,9,1,1,18,23,95,4.1,0,7,6,10,3,3,1.0,32,0,1,1,1.0,0,7,7,335,47.9,24,0,0,0.0,0,0,3,7,2.3,0,4,32,51,45,39,6,3,24,0,0,2,2,1,7,1,1,0,22,17,7,9,4,16,0.25,1,2,0.5,8,1,85,21,16,322,95,4.1,0,227,5.3,13.0,0,0,7,85,11,0,0,2,1,1
JAX,21,16,30,0.533,226,7.5,15.6,3,0,111.3,3,24,12,2,1,6,29,154,5.3,2,9,7,9,1,1,1.0,46,0,6,7,0.857,0,16,5,228,45.6,24,0,0,0.0,0,0,2,73,36.5,1,73,12,16,49,41,8,3,33,1,0,1,1,1,9,1,1,0,6,24,9,12,2,9,0.22,1,1,1.0,5,3,40,1,51,380,154,5.3,2,226,7.5,15.6,3,0,73,40,11,0,1,1,0,2
KC,25,15,23,0.652,179,7.8,12.7,1,1,85.2,2,12,7,0,0,8,25,150,6.0,0,9,22,4,1,2,0.5,40,0,1,1,1.0,0,32,4,154,38.5,7,1,24,24.0,0,24,4,36,9.0,0,17,2,3,49,41,8,5,27,1,0,0,0,0,3,3,4,0,18,18,9,7,6,11,0.55,0,0,0.0,8,2,53,25,10,329,150,6.0,0,179,7.8,12.7,1,24,36,53,23,-1,1,0,1,1
MIA,18,25,41,0.61,235,5.7,9.4,1,0,84.9,1,1,10,0,0,10,22,128,5.8,2,6,14,6,1,1,1.0,36,0,3,3,1.0,0,11,6,280,46.7,6,4,109,27.3,0,36,2,30,15.0,0,20,28,31,55,47,8,0,0,0,0,0,1,0,2,5,13,0,23,16,6,10,7,16,0.44,1,2,0.5,12,0,123,9,24,363,128,5.8,2,235,5.7,9.4,1,109,30,123,11,0,0,1,0,1
MIN,3,25,36,0.694,317,8.8,13.4,1,0,105.9,3,18,17,1,1,24,24,72,3.0,1,4,9,8,2,2,1.0,54,0,2,2,1.0,0,19,2,91,45.5,2,3,93,31.0,0,41,1,0,0.0,0,0,19,23,55,48,7,2,14,0,0,0,0,0,6,2,9,0,9,23,4,17,6,11,0.55,0,0,0.0,3,2,25,17,20,389,72,3.0,1,317,8.8,13.4,1,93,0,25,31,-3,0,0,0,3
NE,24,22,30,0.733,197,6.6,10.3,2,0,112.8,3,29,11,0,0,12,31,116,3.7,1,7,7,9,2,2,1.0,49,0,3,3,1.0,0,26,6,264,44.0,11,3,67,22.3,0,23,4,46,11.5,0,21,3,6,51,34,17,6,57,0,0,2,1,0,7,3,4,0,18,18,7,11,7,16,0.44,0,0,0.0,6,0,46,8,27,313,116,3.7,1,197,6.6,10.3,2,67,46,46,11,0,0,1,0,1
NO,4,31,41,0.756,301,7.3,10.1,2,0,111.9,2,11,16,0,0,20,35,87,2.5,1,7,14,6,1,1,1.0,23,0,3,3,1.0,0,27,4,175,43.8,23,1,0,0.0,0,0,2,7,3.5,0,6,13,17,40,34,6,1,6,0,0,0,0,0,3,2,5,0,4,26,7,16,12,17,0.71,0,0,0.0,12,3,95,9,24,388,87,2.5,1,301,7.3,10.1,2,0,7,95,11,0,0,0,0,0
